relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,-0.08690476190476189,-0.5119047619047619,0.20208333333333345,1.0,8
birth_place,answer_f1,chat_template,qa,0.02083333333333333,-0.39114583333333336,0.3333333333333333,1.0,8
birth_place,answer_f1,chat_template,raw_question,0.09027777777777776,-0.36649305555555556,0.3649305555555556,0.6875,8
birth_place,answer_f1,declarative,qa,0.10773809523809522,-0.05000000000000002,0.2781696428571428,0.625,8
birth_place,answer_f1,declarative,raw_question,0.17718253968253966,-0.003968253968254006,0.38749999999999996,0.375,8
birth_place,answer_f1,qa,raw_question,0.06944444444444443,-0.18437499999999998,0.35416666666666663,0.625,8
capital,answer_f1,chat_template,declarative,-0.1597222222222222,-0.46875,0.15465277777777786,1.0,8
capital,answer_f1,chat_template,qa,-0.1652777777777778,-0.48454861111111114,0.16892361111111123,1.0,8
capital,answer_f1,chat_template,raw_question,-0.03333333333333334,-0.275,0.3,0.625,8
capital,answer_f1,declarative,qa,-0.005555555555555564,-0.16597222222222224,0.15546875,0.625,8
capital,answer_f1,declarative,raw_question,0.12638888888888888,-0.12890624999999997,0.37980902777777786,0.375,8
capital,answer_f1,qa,raw_question,0.13194444444444445,0.0125,0.275,0.375,8
currency,answer_f1,chat_template,declarative,0.17976190476190476,0.039434523809523815,0.292311507936508,0.125,8
currency,answer_f1,chat_template,qa,0.09375,-0.1,0.23125,0.375,8
currency,answer_f1,chat_template,raw_question,0.10000000000000002,-0.15000000000000002,0.35000000000000003,1.0,8
currency,answer_f1,declarative,qa,-0.08601190476190478,-0.19078125,0.026349206349206344,1.0,8
currency,answer_f1,declarative,raw_question,-0.07976190476190477,-0.24647817460317462,0.08749007936507942,1.0,8
currency,answer_f1,qa,raw_question,0.0062500000000000056,-0.1875,0.16875,1.0,8
headquarters,answer_f1,chat_template,declarative,0.03484848484848485,-0.1875,0.25201704545454556,1.0,8
headquarters,answer_f1,chat_template,qa,0.061742424242424265,-0.1944760101010101,0.29603851010101007,1.0,8
headquarters,answer_f1,chat_template,raw_question,-0.09583333333333333,-0.4083333333333333,0.09166666666666667,1.0,8
headquarters,answer_f1,declarative,qa,0.026893939393939408,-0.03421085858585857,0.09660669191919195,1.0,8
headquarters,answer_f1,declarative,raw_question,-0.13068181818181818,-0.3123579545454545,0.0,0.5,8
headquarters,answer_f1,qa,raw_question,-0.1575757575757576,-0.3289804292929293,-0.02394255050505051,1.0,8
official_language,answer_f1,chat_template,declarative,-0.225,-0.625,0.049999999999999996,1.0,8
official_language,answer_f1,chat_template,qa,-0.17500000000000002,-0.55,0.075,1.0,8
official_language,answer_f1,chat_template,raw_question,0.1333333333333333,-0.2096875,0.410625,0.6875,8
official_language,answer_f1,declarative,qa,0.049999999999999996,0.0,0.11937500000000013,0.5,8
official_language,answer_f1,declarative,raw_question,0.35833333333333334,0.1778125,0.4962500000000001,0.03125,8
official_language,answer_f1,qa,raw_question,0.30833333333333335,0.15000000000000002,0.4305208333333334,0.03125,8
