prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,model_name,model_family,model_variant
chat_template,309.875,-3.8171875,0.025,0.125,0.1006944444444444,0.2952162740632576,gemma_270m_base,gemma,base
declarative,97.05,-2.328125,0.0,0.35,0.1334181096681096,0.2889381786117188,gemma_270m_base,gemma,base
qa,92.025,-2.271875,0.0,0.25,0.1089700577200577,0.2730279615390924,gemma_270m_base,gemma,base
raw_question,448.825,-6.8921875,0.0,0.2,0.1054166666666666,0.26143323698213,gemma_270m_base,gemma,base
chat_template,4612.3,-13.23447265625,0.2,0.2,0.2491666666666666,0.5703658715510496,gemma_270m_it,gemma,instruct
declarative,696.225,-4.23046875,0.0,0.375,0.1977633477633477,0.3279275878808799,gemma_270m_it,gemma,instruct
qa,112.65,-4.08359375,0.025,0.4,0.2163762626262626,0.3661934977593207,gemma_270m_it,gemma,instruct
raw_question,925.5,-12.6734375,0.025,0.425,0.2880555555555555,0.4619864067979328,gemma_270m_it,gemma,instruct
chat_template,54074.0,-13.05400390625,0.0,0.425,0.2261868686868687,0.3423952234516078,qwen2_5_0_5b_base,qwen,base
declarative,37.075,-2.43359375,0.0,0.45,0.2209613997113997,0.3628565437760925,qwen2_5_0_5b_base,qwen,base
qa,53.5,-1.0875,0.275,0.525,0.4752651515151515,0.6480200465839995,qwen2_5_0_5b_base,qwen,base
raw_question,662.625,-5.853125,0.05,0.25,0.1769949494949494,0.346510479190148,qwen2_5_0_5b_base,qwen,base
chat_template,1101.325,-6.79306640625,0.275,0.3,0.3859523809523809,0.6220736677075582,qwen2_5_0_5b_instruct,qwen,instruct
declarative,68.425,-3.115625,0.0,0.325,0.1623304473304473,0.3150472543790254,qwen2_5_0_5b_instruct,qwen,instruct
qa,39.8,-1.23828125,0.0,0.475,0.2022348484848485,0.3246314526337426,qwen2_5_0_5b_instruct,qwen,instruct
raw_question,608.7,-6.3625,0.0,0.4,0.2121176046176046,0.3742248006289543,qwen2_5_0_5b_instruct,qwen,instruct
chat_template,108.275,-1.8484375,0.025,0.325,0.2351785714285714,0.4055550327484843,smollm2_360m_base,smollm2,base
declarative,42.7,-0.8484375,0.0,0.55,0.3014880952380953,0.4218781653340411,smollm2_360m_base,smollm2,base
qa,90.55,-1.6671875,0.05,0.55,0.3494444444444444,0.4697647847518498,smollm2_360m_base,smollm2,base
raw_question,314.575,-7.76875,0.1,0.35,0.2620039682539682,0.3917377778534982,smollm2_360m_base,smollm2,base
chat_template,2616.2,-10.390478515625,0.15,0.45,0.3077380952380952,0.4679945703984784,smollm2_360m_instruct,smollm2,instruct
declarative,42.075,-0.83984375,0.0,0.425,0.2388095238095238,0.370006762770682,smollm2_360m_instruct,smollm2,instruct
qa,982.225,-10.5484375,0.0,0.0,0.0,0.0037037037037037,smollm2_360m_instruct,smollm2,instruct
raw_question,3553.875,-14.040185546875,0.0,0.0,0.0,0.0265458937198067,smollm2_360m_instruct,smollm2,instruct
