model_name,model_family,model_variant,fact_id,relation,subject,expected_answer,prompt_family,split,generated_text,normalized_generated_text,top_prediction,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,same_subject_control_fact_id,same_relation_control_fact_id,lexical_distractor
qwen2_5_0_5b_base,qwen,base,capital:0,capital,Afghanistan,Kabul,raw_question,analysis,The capital of Afghanistan is Kabul.,kabul,The,5,-1.8125,1.0,1.0,1.0,1.0,official_language:0,capital:1,Tirana
qwen2_5_0_5b_base,qwen,base,capital:0,capital,Afghanistan,Kabul,declarative,analysis,located in the province of Kandahar.,located in the province of kandahar,located,5,-0.875,0.0,0.0,0.0,0.1,official_language:0,capital:1,Tirana
qwen2_5_0_5b_base,qwen,base,capital:0,capital,Afghanistan,Kabul,qa,analysis,Kabul,kabul,Kabul,1,1.6875,1.0,1.0,1.0,1.0,official_language:0,capital:1,Tirana
qwen2_5_0_5b_base,qwen,base,capital:0,capital,Afghanistan,Kabul,chat_template,analysis,ratulations! The capital of Afghanistan is Kabul.🤨,ratulations! the capital of afghanistan is kabul 🤨,ratulations,7,-2.375,0.0,1.0,0.2222222222222222,0.18181818181818182,official_language:0,capital:1,Tirana
qwen2_5_0_5b_base,qwen,base,capital:1,capital,Albania,Tirana,raw_question,analysis,Albania is a country in Southeastern Europe. It,lbania is a country in southeastern europe it,Albania,13,-4.4375,0.0,0.0,0.0,0.11764705882352941,official_language:1,capital:0,Kabul
qwen2_5_0_5b_base,qwen,base,capital:1,capital,Albania,Tirana,declarative,analysis,Tirana. It is the capital of the country,tirana it is the capital of the country,Tir,1,0.75,0.0,1.0,0.2222222222222222,0.26666666666666666,official_language:1,capital:0,Kabul
qwen2_5_0_5b_base,qwen,base,capital:1,capital,Albania,Tirana,qa,analysis,Tirana,tirana,Tir,1,2.5,1.0,1.0,1.0,1.0,official_language:1,capital:0,Kabul
qwen2_5_0_5b_base,qwen,base,capital:1,capital,Albania,Tirana,chat_template,analysis,Albania is a country in Europe. The capital city,lbania is a country in europe the capital city,Albania,366,-10.5,0.0,0.0,0.0,0.11538461538461539,official_language:1,capital:0,Kabul
qwen2_5_0_5b_base,qwen,base,capital:2,capital,Algeria,Algiers,raw_question,analysis,Algeria is a country in North Africa. The capital,lgeria is a country in north africa the capital,Algeria,13,-4.1875,0.0,0.0,0.0,0.18518518518518517,official_language:2,capital:0,Andorra la Vella
qwen2_5_0_5b_base,qwen,base,capital:2,capital,Algeria,Algiers,declarative,analysis,Algiers. It is the capital of the country,lgiers it is the capital of the country,Alg,1,1.4375,0.0,0.0,0.0,0.2608695652173913,official_language:2,capital:0,Andorra la Vella
qwen2_5_0_5b_base,qwen,base,capital:2,capital,Algeria,Algiers,qa,analysis,Algiers,lgiers,Alg,1,4.25,0.0,0.0,0.0,0.9230769230769231,official_language:2,capital:0,Andorra la Vella
qwen2_5_0_5b_base,qwen,base,capital:2,capital,Algeria,Algiers,chat_template,analysis,Algeria's capital city is Algiers. Lauderdale is,lgeria's capital city is algiers lauderdale is,Algeria,248,-9.6875,0.0,1.0,0.25,0.2641509433962264,official_language:2,capital:0,Andorra la Vella
qwen2_5_0_5b_base,qwen,base,capital:3,capital,Andorra,Andorra la Vella,raw_question,holdout,Andorra la Vella is the capital of And,ndorra la vella is the capital of and,And,1,1.0,0.0,0.0,0.36363636363636365,0.5660377358490566,official_language:3,capital:0,Algiers
qwen2_5_0_5b_base,qwen,base,capital:3,capital,Andorra,Andorra la Vella,declarative,holdout,Andorra la Vella. It is the seat,ndorra la vella it is the seat,And,1,0.25,0.0,0.0,0.4,0.6521739130434783,official_language:3,capital:0,Algiers
qwen2_5_0_5b_base,qwen,base,capital:3,capital,Andorra,Andorra la Vella,qa,holdout,Andorra la Vella,ndorra la vella,And,1,0.8125,0.0,0.0,0.6666666666666666,0.967741935483871,official_language:3,capital:0,Algiers
qwen2_5_0_5b_base,qwen,base,capital:3,capital,Andorra,Andorra la Vella,chat_template,holdout,The capital of Andorra is Andorra la V,ndorra la v,The,1172,-8.1875,0.0,0.0,0.3333333333333333,0.8148148148148148,official_language:3,capital:0,Algiers
qwen2_5_0_5b_base,qwen,base,official_language:0,official_language,Afghanistan,Dari,raw_question,analysis,"Afghanistan is a country in Central Asia, and it",fghanistan is a country in central asia and it,Afghanistan,112,-6.0,0.0,0.0,0.0,0.18867924528301888,capital:0,official_language:1,Albanian
qwen2_5_0_5b_base,qwen,base,official_language:0,official_language,Afghanistan,Dari,declarative,analysis,"____.
A. Pashto
B.",____ a pashto b,____,21,-2.875,0.0,1.0,0.4,0.5714285714285714,capital:0,official_language:1,Albanian
