relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.125,0.0,0.375,8
birth_place,chat_template,contains_expected,0.125,0.0,0.375,8
birth_place,chat_template,answer_f1,0.125,0.0,0.375,8
birth_place,chat_template,answer_similarity,0.37097086940836943,0.23392975514069264,0.5948908730158731,8
birth_place,declarative,full_exact_match,0.0,0.0,0.0,8
birth_place,declarative,contains_expected,0.25,0.0,0.5,8
birth_place,declarative,answer_f1,0.14285714285714288,0.0,0.28571428571428575,8
birth_place,declarative,answer_similarity,0.29255688206889546,0.13418642210398163,0.4511225399810234,8
birth_place,qa,full_exact_match,0.0,0.0,0.0,8
birth_place,qa,contains_expected,0.125,0.0,0.375,8
birth_place,qa,answer_f1,0.05555555555555556,0.0,0.16666666666666669,8
birth_place,qa,answer_similarity,0.2436478376695768,0.16703193093138746,0.3382200408287364,8
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,8
birth_place,raw_question,contains_expected,0.0,0.0,0.0,8
birth_place,raw_question,answer_f1,0.0,0.0,0.0,8
birth_place,raw_question,answer_similarity,0.22568123532305856,0.16694801710820756,0.2880098758477418,8
capital,chat_template,full_exact_match,0.5,0.125,0.875,8
capital,chat_template,contains_expected,0.5,0.125,0.875,8
capital,chat_template,answer_f1,0.5833333333333333,0.20833333333333331,0.9166666666666666,8
capital,chat_template,answer_similarity,0.7930831265508684,0.56462158808933,0.9919354838709677,8
capital,declarative,full_exact_match,0.0,0.0,0.0,8
capital,declarative,contains_expected,0.25,0.0,0.625,8
capital,declarative,answer_f1,0.07670454545454544,0.0,0.18465909090909088,8
capital,declarative,answer_similarity,0.25606110620645506,0.2114791285103785,0.3162000789907767,8
capital,qa,full_exact_match,0.0,0.0,0.0,8
capital,qa,contains_expected,0.625,0.25,0.875,8
capital,qa,answer_f1,0.19861111111111107,0.09027777777777778,0.28194444444444444,8
capital,qa,answer_similarity,0.303812910989206,0.24328540508930116,0.36952344938435794,8
capital,raw_question,full_exact_match,0.0,0.0,0.0,8
capital,raw_question,contains_expected,0.625,0.25,0.875,8
capital,raw_question,answer_f1,0.35416666666666663,0.14583333333333331,0.5208333333333333,8
