relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,8967.857142857143,-17.092633928571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.3809971541063978
birth_place,declarative,123.78571428571429,-4.369419642857143,0.0,0.2857142857142857,0.11700680272108845,0.2648990729075307
birth_place,qa,141.28571428571428,-6.595982142857143,0.07142857142857142,0.2857142857142857,0.20238095238095236,0.33401909039901084
birth_place,raw_question,781.4285714285714,-14.957589285714286,0.0,0.35714285714285715,0.24206349206349206,0.35844030448930436
capital,chat_template,1396.7142857142858,-9.754464285714286,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6452436452436452
capital,declarative,8.0,2.7410714285714284,0.0,0.7142857142857143,0.21031746031746032,0.27828568603252113
capital,qa,7.142857142857143,0.375,0.0,0.6428571428571429,0.23095238095238096,0.3869526593282734
capital,raw_question,65.14285714285714,-10.486607142857142,0.07142857142857142,0.5714285714285714,0.33690476190476193,0.5219395485744914
currency,chat_template,3492.0714285714284,-11.250279017857142,0.0,0.0,0.09285714285714286,0.5053317379583412
currency,declarative,132.21428571428572,-7.392857142857143,0.0,0.21428571428571427,0.24376417233560094,0.40472716449391094
currency,qa,168.0,-2.8482142857142856,0.0,0.21428571428571427,0.17023809523809524,0.4275771649428341
currency,raw_question,1595.7142857142858,-11.591517857142858,0.0,0.21428571428571427,0.31428571428571433,0.5221895979604443
headquarters,chat_template,6192.142857142857,-17.786830357142858,0.14285714285714285,0.14285714285714285,0.2619047619047619,0.5079167386498213
headquarters,declarative,99.5,-1.0,0.0,0.5,0.2641414141414141,0.4118485956709896
headquarters,qa,132.5,-6.689732142857143,0.0,0.42857142857142855,0.2793290043290043,0.4070325505210707
headquarters,raw_question,1262.9285714285713,-13.627232142857142,0.0,0.2857142857142857,0.16071428571428573,0.32408662666572136
official_language,chat_template,650.0,-11.194196428571429,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.6952045969903112
official_language,declarative,2066.785714285714,-9.774553571428571,0.0,0.14285714285714285,0.02857142857142857,0.14622242476708536
official_language,qa,23.5,-3.359375,0.0,0.2857142857142857,0.05873015873015873,0.18789380438299905
official_language,raw_question,152.21428571428572,-11.0625,0.0,0.6428571428571429,0.3261904761904762,0.5405830964711951
