relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.0,0.0,0.0,8
birth_place,chat_template,contains_expected,0.0,0.0,0.0,8
birth_place,chat_template,answer_f1,0.0,0.0,0.0,8
birth_place,chat_template,answer_similarity,0.16623994421101404,0.1148638546343851,0.22044151203987272,8
birth_place,declarative,full_exact_match,0.0,0.0,0.0,8
birth_place,declarative,contains_expected,0.125,0.0,0.375,8
birth_place,declarative,answer_f1,0.05,0.0,0.15000000000000002,8
birth_place,declarative,answer_similarity,0.22590303614309615,0.1633686287976423,0.3015237811388411,8
birth_place,qa,full_exact_match,0.0,0.0,0.0,8
birth_place,qa,contains_expected,0.125,0.0,0.375,8
birth_place,qa,answer_f1,0.03125,0.0,0.09375,8
birth_place,qa,answer_similarity,0.2094312859651461,0.1659842568820425,0.2513443233817584,8
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,8
birth_place,raw_question,contains_expected,0.25,0.0,0.5,8
birth_place,raw_question,answer_f1,0.14583333333333331,0.0,0.3125,8
birth_place,raw_question,answer_similarity,0.21423488487633227,0.07863892587371206,0.34171613139540774,8
capital,chat_template,full_exact_match,0.0,0.0,0.0,8
capital,chat_template,contains_expected,0.25,0.0,0.625,8
capital,chat_template,answer_f1,0.1638888888888889,0.005625000000000014,0.3611111111111111,8
capital,chat_template,answer_similarity,0.34437306071578927,0.22680008309180483,0.5083061427620875,8
capital,declarative,full_exact_match,0.0,0.0,0.0,8
capital,declarative,contains_expected,0.5,0.125,0.75,8
capital,declarative,answer_f1,0.14684343434343433,0.05277777777777777,0.22608270202020203,8
capital,declarative,answer_similarity,0.2685363717906269,0.21558480210265926,0.32114956503595277,8
capital,qa,full_exact_match,0.0,0.0,0.0,8
capital,qa,contains_expected,0.0,0.0,0.0,8
capital,qa,answer_f1,0.0,0.0,0.0,8
capital,qa,answer_similarity,0.18773970705749882,0.13593722814736117,0.25333545821074427,8
capital,raw_question,full_exact_match,0.0,0.0,0.0,8
capital,raw_question,contains_expected,0.0,0.0,0.0,8
capital,raw_question,answer_f1,0.08333333333333333,0.0,0.25,8
capital,raw_question,answer_similarity,0.2508396779184522,0.12417450290342733,0.4642315411442146,8
currency,chat_template,full_exact_match,0.0,0.0,0.0,8
currency,chat_template,contains_expected,0.125,0.0,0.375,8
currency,chat_template,answer_f1,0.18333333333333335,0.0,0.4212500000000001,8
currency,chat_template,answer_similarity,0.40886676311854614,0.24559659417932295,0.6010364325088273,8
currency,declarative,full_exact_match,0.0,0.0,0.0,8
currency,declarative,contains_expected,0.375,0.125,0.625,8
currency,declarative,answer_f1,0.23969155844155848,0.16022727272727272,0.3088189935064935,8
currency,declarative,answer_similarity,0.37526945679354473,0.29250620589370685,0.44543608493677206,8
currency,qa,full_exact_match,0.0,0.0,0.0,8
currency,qa,contains_expected,0.25,0.0,0.5,8
currency,qa,answer_f1,0.2130050505050505,0.08606060606060607,0.34721590909090916,8
currency,qa,answer_similarity,0.34946852425180597,0.23331015651874787,0.49459687822497417,8
currency,raw_question,full_exact_match,0.0,0.0,0.0,8
currency,raw_question,contains_expected,0.25,0.0,0.5,8
currency,raw_question,answer_f1,0.18333333333333335,0.0,0.38333333333333336,8
currency,raw_question,answer_similarity,0.41912665096187884,0.2646979394763732,0.5600741843560166,8
headquarters,chat_template,full_exact_match,0.125,0.0,0.375,8
headquarters,chat_template,contains_expected,0.125,0.0,0.375,8
headquarters,chat_template,answer_f1,0.125,0.0,0.375,8
headquarters,chat_template,answer_similarity,0.3444904531861053,0.22226926436335404,0.5377733566252588,8
headquarters,declarative,full_exact_match,0.0,0.0,0.0,8
headquarters,declarative,contains_expected,0.375,0.0,0.75,8
headquarters,declarative,answer_f1,0.15000000000000002,0.0,0.30000000000000004,8
headquarters,declarative,answer_similarity,0.3622566349075109,0.23931452525178806,0.4797269263971763,8
headquarters,qa,full_exact_match,0.0,0.0,0.0,8
headquarters,qa,contains_expected,0.375,0.0,0.75,8
headquarters,qa,answer_f1,0.18948412698412698,0.0,0.37229662698412713,8
headquarters,qa,answer_similarity,0.3903741354296094,0.23092913281914423,0.5331657236035787,8
headquarters,raw_question,full_exact_match,0.0,0.0,0.0,8
headquarters,raw_question,contains_expected,0.25,0.0,0.5968750000000007,8
headquarters,raw_question,answer_f1,0.05555555555555555,0.0,0.13263888888888906,8
headquarters,raw_question,answer_similarity,0.21933519045465477,0.18287152256560657,0.2576324672417291,8
official_language,chat_template,full_exact_match,0.0,0.0,0.0,8
official_language,chat_template,contains_expected,0.125,0.0,0.375,8
official_language,chat_template,answer_f1,0.03125,0.0,0.09375,8
official_language,chat_template,answer_similarity,0.2121111490848333,0.14530200501253132,0.281821504518873,8
official_language,declarative,full_exact_match,0.0,0.0,0.0,8
official_language,declarative,contains_expected,0.375,0.0,0.75,8
official_language,declarative,answer_f1,0.08055555555555555,0.0,0.1611111111111111,8
official_language,declarative,answer_similarity,0.2127253934238154,0.18681505969002316,0.23458602560772343,8
official_language,qa,full_exact_match,0.0,0.0,0.0,8
official_language,qa,contains_expected,0.5,0.25,0.875,8
official_language,qa,answer_f1,0.1111111111111111,0.05555555555555555,0.19444444444444442,8
official_language,qa,answer_similarity,0.22812615499140182,0.16534452952537076,0.28373740168030137,8
official_language,raw_question,full_exact_match,0.0,0.0,0.0,8
official_language,raw_question,contains_expected,0.25,0.0,0.5,8
official_language,raw_question,answer_f1,0.059027777777777776,0.0,0.11805555555555555,8
official_language,raw_question,answer_similarity,0.2036297806993319,0.15963270473674102,0.23773967925049633,8
