relation,prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
birth_place,chat_template,0.0,0.0,0.0,0.0,0.0,0.0
birth_place,declarative,0.09583333333333333,0.06249999999999999,0.0,0.03333333333333333,0.0,0.03333333333333333
birth_place,qa,0.07638888888888888,0.05555555555555555,0.0,0.020833333333333332,0.0,0.020833333333333332
birth_place,raw_question,0.09722222222222221,0.041666666666666664,0.0,0.05555555555555555,0.0,0.05555555555555555
capital,chat_template,0.2759259259259259,0.2759259259259259,0.0,0.0,0.0,0.0
capital,declarative,0.14974747474747474,0.14974747474747474,0.0,0.0,0.0,0.0
capital,qa,0.0,0.0,0.0,0.0,0.0,0.0
capital,raw_question,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
currency,chat_template,0.12222222222222223,0.10833333333333334,0.013888888888888888,0.0,0.0,0.013888888888888888
currency,declarative,0.2514069264069264,0.2166847041847042,0.013888888888888888,0.0,0.020833333333333332,0.03472222222222222
currency,qa,0.15867003367003366,0.15867003367003366,0.0,0.0,0.0,0.0
currency,raw_question,0.24305555555555558,0.22222222222222224,0.0,0.0,0.020833333333333332,0.020833333333333332
headquarters,chat_template,0.18055555555555555,0.15674603174603174,0.0,0.0,0.023809523809523808,0.023809523809523808
headquarters,declarative,0.15601851851851853,0.13935185185185187,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666
headquarters,qa,0.17745911495911496,0.15364959114959115,0.0,0.02380952380952381,0.02380952380952381,0.02380952380952381
headquarters,raw_question,0.05218855218855218,0.05218855218855218,0.0,0.0,0.0,0.0
official_language,chat_template,0.03935185185185185,0.03935185185185185,0.0,0.0,0.0,0.0
official_language,declarative,0.12453703703703704,0.05336700336700336,0.015151515151515152,0.0,0.056018518518518516,0.07117003367003367
official_language,qa,0.12962962962962962,0.07407407407407407,0.0,0.0,0.05555555555555555,0.05555555555555555
official_language,raw_question,0.03935185185185185,0.022685185185185183,0.016666666666666666,0.0,0.0,0.016666666666666666
