relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.05555555555555555,0.0,0.16666666666666666,18
birth_place,chat_template,contains_expected,0.05555555555555555,0.0,0.16666666666666666,18
birth_place,chat_template,answer_f1,0.05555555555555555,0.0,0.16666666666666666,18
birth_place,chat_template,answer_similarity,0.2992182971349638,0.21930257820882823,0.40157571787780116,18
birth_place,declarative,full_exact_match,0.0,0.0,0.0,18
birth_place,declarative,contains_expected,0.1111111111111111,0.0,0.2777777777777778,18
birth_place,declarative,answer_f1,0.07583774250440917,0.012345679012345678,0.17107583774250443,18
birth_place,declarative,answer_similarity,0.2577846009299678,0.18877729284874195,0.3450975863934496,18
birth_place,qa,full_exact_match,0.05555555555555555,0.0,0.16666666666666666,18
birth_place,qa,contains_expected,0.1111111111111111,0.0,0.2777777777777778,18
birth_place,qa,answer_f1,0.09135802469135802,0.0,0.2222222222222222,18
birth_place,qa,answer_similarity,0.2825257601011482,0.20502716944566257,0.3886421038577108,18
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,18
birth_place,raw_question,contains_expected,0.05555555555555555,0.0,0.16666666666666666,18
birth_place,raw_question,answer_f1,0.037037037037037035,0.0,0.1111111111111111,18
birth_place,raw_question,answer_similarity,0.25329279171005403,0.21067361886213215,0.2937337267538533,18
capital,chat_template,full_exact_match,0.6666666666666666,0.4444444444444444,0.8888888888888888,18
capital,chat_template,contains_expected,0.6666666666666666,0.4444444444444444,0.8888888888888888,18
capital,chat_template,answer_f1,0.7037037037037037,0.48148148148148145,0.8888888888888888,18
capital,chat_template,answer_similarity,0.8468283681356686,0.7180877398555667,0.969255075239795,18
capital,declarative,full_exact_match,0.0,0.0,0.0,18
capital,declarative,contains_expected,0.3888888888888889,0.16666666666666666,0.6124999999999988,18
capital,declarative,answer_f1,0.10904681738015072,0.050887345679012354,0.17972382555715885,18
capital,declarative,answer_similarity,0.24855966259190276,0.2047912434941941,0.3105600587092176,18
capital,qa,full_exact_match,0.0,0.0,0.0,18
capital,qa,contains_expected,0.7777777777777778,0.5555555555555556,0.9444444444444444,18
capital,qa,answer_f1,0.20476190476190476,0.15429783950617285,0.2488767636684303,18
capital,qa,answer_similarity,0.28252620569668524,0.2478732035966923,0.3183967025893432,18
capital,raw_question,full_exact_match,0.0,0.0,0.0,18
capital,raw_question,contains_expected,0.7777777777777778,0.5555555555555556,0.9444444444444444,18
capital,raw_question,answer_f1,0.35370370370370374,0.2572916666666667,0.45099537037037035,18
capital,raw_question,answer_similarity,0.5182004266257896,0.4400816197888988,0.5987840125283742,18
currency,chat_template,full_exact_match,0.05555555555555555,0.0,0.16666666666666666,18
currency,chat_template,contains_expected,0.2777777777777778,0.10972222222222229,0.5,18
currency,chat_template,answer_f1,0.3601410934744268,0.23145061728395064,0.48399691358024693,18
currency,chat_template,answer_similarity,0.6028133389433502,0.45474233788779944,0.7284009210056523,18
currency,declarative,full_exact_match,0.0,0.0,0.0,18
currency,declarative,contains_expected,0.4444444444444444,0.2222222222222222,0.6666666666666666,18
currency,declarative,answer_f1,0.2670875420875421,0.1883101851851852,0.35169121773288436,18
currency,declarative,answer_similarity,0.37105931514624996,0.290968069117488,0.45922413032926007,18
currency,qa,full_exact_match,0.0,0.0,0.0,18
currency,qa,contains_expected,0.3333333333333333,0.1111111111111111,0.5555555555555556,18
currency,qa,answer_f1,0.3459034792368126,0.21300785634118968,0.4809455667789001,18
currency,qa,answer_similarity,0.4969728460949329,0.38046245249744404,0.6044116130743488,18
currency,raw_question,full_exact_match,0.0,0.0,0.0,18
currency,raw_question,contains_expected,0.3333333333333333,0.1111111111111111,0.5555555555555556,18
currency,raw_question,answer_f1,0.32946127946127945,0.20637205387205387,0.4396338383838383,18
currency,raw_question,answer_similarity,0.4672868103603546,0.3554342904431231,0.5691344080995213,18
headquarters,chat_template,full_exact_match,0.3888888888888889,0.16666666666666666,0.6111111111111112,18
headquarters,chat_template,contains_expected,0.4444444444444444,0.2222222222222222,0.6666666666666666,18
headquarters,chat_template,answer_f1,0.5277777777777778,0.33310185185185187,0.7037037037037037,18
headquarters,chat_template,answer_similarity,0.6517535006949613,0.5172468775166629,0.7786612099897123,18
headquarters,declarative,full_exact_match,0.0,0.0,0.0,18
headquarters,declarative,contains_expected,0.3888888888888889,0.16666666666666666,0.6111111111111112,18
headquarters,declarative,answer_f1,0.20660573993907325,0.09062049062049063,0.3177048260381593,18
headquarters,declarative,answer_similarity,0.35836140006855105,0.27592017240286815,0.45418903126793614,18
headquarters,qa,full_exact_match,0.0,0.0,0.0,18
headquarters,qa,contains_expected,0.5555555555555556,0.3333333333333333,0.7777777777777778,18
headquarters,qa,answer_f1,0.22794612794612798,0.14769921436588104,0.309783950617284,18
headquarters,qa,answer_similarity,0.3014473762224657,0.24402770753383315,0.37506775494354827,18
headquarters,raw_question,full_exact_match,0.0,0.0,0.0,18
headquarters,raw_question,contains_expected,0.4444444444444444,0.2222222222222222,0.6666666666666666,18
headquarters,raw_question,answer_f1,0.18719737053070384,0.10674873737373736,0.2604369087702421,18
headquarters,raw_question,answer_similarity,0.30746126217978664,0.2483064495109654,0.36204104868271897,18
official_language,chat_template,full_exact_match,0.4444444444444444,0.2222222222222222,0.6666666666666666,18
official_language,chat_template,contains_expected,0.5555555555555556,0.3333333333333333,0.7777777777777778,18
official_language,chat_template,answer_f1,0.49074074074074076,0.2777777777777778,0.7131944444444442,18
official_language,chat_template,answer_similarity,0.7046918957097503,0.5243346111277087,0.8515069831617045,18
official_language,declarative,full_exact_match,0.0,0.0,0.0,18
