relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,0.030423280423280435,-0.20238095238095236,0.22751322751322756,0.625,12
birth_place,answer_f1,chat_template,qa,-0.02962962962962963,-0.23374999999999996,0.11111111111111112,1.0,12
birth_place,answer_f1,chat_template,raw_question,-0.08333333333333333,-0.25,0.0,1.0,12
birth_place,answer_f1,declarative,qa,-0.06005291005291006,-0.16402116402116407,0.0,0.25,12
birth_place,answer_f1,declarative,raw_question,-0.11375661375661376,-0.23809523809523814,0.0,0.25,12
birth_place,answer_f1,qa,raw_question,-0.053703703703703705,-0.1277777777777778,0.0,0.5,12
capital,answer_f1,chat_template,declarative,-0.6009800384800386,-0.800065386002886,-0.3780505952380955,0.00390625,12
capital,answer_f1,chat_template,qa,-0.5081349206349206,-0.6964781746031747,-0.2700446428571429,0.0654296875,12
capital,answer_f1,chat_template,raw_question,-0.35694444444444445,-0.5071180555555554,-0.15267361111111122,0.021484375,12
capital,answer_f1,declarative,qa,0.09284511784511784,0.01893127705627705,0.1609650072150071,0.34375,12
capital,answer_f1,declarative,raw_question,0.24403559403559402,0.1120508658008658,0.3750825216450216,0.00390625,12
capital,answer_f1,qa,raw_question,0.1511904761904762,0.04423445767195766,0.2688525132275132,0.109375,12
currency,answer_f1,chat_template,declarative,-0.1554052429052429,-0.31940010221260223,-0.015557659932660036,0.2890625,12
currency,answer_f1,chat_template,qa,-0.12135642135642137,-0.31502765752765755,0.054617303992303946,0.2890625,12
currency,answer_f1,chat_template,raw_question,-0.06546416546416549,-0.2835278379028379,0.10678270803270797,1.0,12
currency,answer_f1,declarative,qa,0.03404882154882156,-0.06615845959595959,0.1590119949494949,1.0,12
currency,answer_f1,declarative,raw_question,0.08994107744107743,-0.05773569023569023,0.23936132154882128,1.0,12
currency,answer_f1,qa,raw_question,0.05589225589225588,-0.10648989898989901,0.20398148148148124,0.625,12
headquarters,answer_f1,chat_template,declarative,-0.3403439153439154,-0.5871263227513227,-0.10228835978835991,0.0703125,12
headquarters,answer_f1,chat_template,qa,-0.20631313131313134,-0.4236700336700337,-0.01824705387205398,0.75390625,12
headquarters,answer_f1,chat_template,raw_question,-0.2343554593554594,-0.42454575517075516,-0.058675745550745576,0.2890625,12
headquarters,answer_f1,declarative,qa,0.13403078403078403,0.016924001924001918,0.2884644059644059,0.75390625,12
headquarters,answer_f1,declarative,raw_question,0.10598845598845598,-0.0018638768638768698,0.24920454545454526,1.0,12
headquarters,answer_f1,qa,raw_question,-0.028042328042328046,-0.10060125060125058,0.03138528138528136,1.0,12
official_language,answer_f1,chat_template,declarative,-0.1357142857142857,-0.38324404761904757,0.14217261904761896,1.0,12
official_language,answer_f1,chat_template,qa,-0.23148148148148148,-0.4791782407407408,-0.003854166666666973,0.7265625,12
official_language,answer_f1,chat_template,raw_question,-0.2689814814814815,-0.5252083333333333,-0.03182870370370381,0.453125,12
official_language,answer_f1,declarative,qa,-0.09576719576719578,-0.1829249338624339,-0.003169642857142878,0.34375,12
official_language,answer_f1,declarative,raw_question,-0.13326719576719578,-0.2389616402116402,-0.033720238095238116,0.0390625,12
official_language,answer_f1,qa,raw_question,-0.0375,-0.10973379629629629,0.031030092592592574,0.6875,12
