relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,-0.16190476190476188,-0.3451785714285714,-0.03601190476190471,0.125,8
birth_place,answer_f1,chat_template,qa,-0.058333333333333334,-0.25,0.04999999999999999,1.0,8
birth_place,answer_f1,chat_template,raw_question,-0.16666666666666666,-0.3979166666666666,0.0,0.5,8
birth_place,answer_f1,declarative,qa,0.10357142857142856,0.0,0.18214285714285716,0.25,8
birth_place,answer_f1,declarative,raw_question,-0.004761904761904759,-0.12142857142857144,0.09047619047619049,1.0,8
birth_place,answer_f1,qa,raw_question,-0.10833333333333332,-0.25,0.0,0.5,8
capital,answer_f1,chat_template,declarative,-0.036489898989898996,-0.13926767676767676,0.05127051767676773,0.6875,8
capital,answer_f1,chat_template,qa,0.5833333333333333,0.29322916666666665,0.7951388888888888,0.0703125,8
capital,answer_f1,chat_template,raw_question,0.10795454545454547,-0.12121212121212122,0.39476010101010117,1.0,8
capital,answer_f1,declarative,qa,0.6198232323232323,0.387477904040404,0.8243371212121213,0.015625,8
capital,answer_f1,declarative,raw_question,0.14444444444444446,-0.09946969696969697,0.48636363636363644,1.0,8
capital,answer_f1,qa,raw_question,-0.47537878787878785,-0.75,-0.16287878787878787,0.0625,8
currency,answer_f1,chat_template,declarative,0.05498737373737373,-0.0469760101010101,0.17848169191919194,0.6875,8
currency,answer_f1,chat_template,qa,0.18055555555555558,0.06715277777777777,0.28378472222222223,0.03125,8
currency,answer_f1,chat_template,raw_question,-0.18611111111111112,-0.3121875,-0.0005208333333332127,0.375,8
currency,answer_f1,declarative,qa,0.12556818181818183,-0.0030744949494949454,0.212449494949495,0.125,8
currency,answer_f1,declarative,raw_question,-0.24109848484848484,-0.3855129419191919,-0.060749684343434314,0.125,8
currency,answer_f1,qa,raw_question,-0.3666666666666667,-0.5291666666666667,-0.14260416666666664,0.0625,8
headquarters,answer_f1,chat_template,declarative,-0.09938672438672438,-0.26346410533910536,0.04721139971139976,1.0,8
headquarters,answer_f1,chat_template,qa,0.03358585858585859,-0.1020580808080808,0.20762626262626271,0.625,8
headquarters,answer_f1,chat_template,raw_question,-0.003914141414141412,-0.11207386363636361,0.11136363636363636,1.0,8
headquarters,answer_f1,declarative,qa,0.13297258297258296,-0.07181998556998556,0.3086480880230881,0.6875,8
headquarters,answer_f1,declarative,raw_question,0.09547258297258297,-0.08761047979797978,0.31567054473304473,0.453125,8
headquarters,answer_f1,qa,raw_question,-0.03749999999999999,-0.3101641414141414,0.19595012626262628,0.6875,8
official_language,answer_f1,chat_template,declarative,0.2166666666666667,0.08520833333333336,0.33333333333333337,0.125,8
official_language,answer_f1,chat_template,qa,0.50625,0.17015625,0.8693750000000001,0.21875,8
official_language,answer_f1,chat_template,raw_question,0.0027777777777777783,-0.075,0.08333333333333333,1.0,8
official_language,answer_f1,declarative,qa,0.2895833333333333,-0.03375000000000001,0.6643229166666667,1.0,8
official_language,answer_f1,declarative,raw_question,-0.2138888888888889,-0.29937500000000006,-0.126875,0.03125,8
official_language,answer_f1,qa,raw_question,-0.5034722222222222,-0.8194444444444444,-0.21875,0.0625,8
