relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,10546.5,-18.0859375,0.25,0.25,0.25,0.5064171122994653
birth_place,declarative,18.75,-3.8125,0.0,0.25,0.14285714285714288,0.3470496894409938
birth_place,qa,44.25,-7.296875,0.25,0.5,0.375,0.47459893048128343
birth_place,raw_question,479.0,-14.734375,0.0,0.5,0.3472222222222222,0.4664811379097093
capital,chat_template,1630.0,-8.21875,0.25,0.25,0.25,0.6311188811188811
capital,declarative,1.0,3.71875,0.0,0.5,0.2125,0.3464689298476097
capital,qa,2.25,1.53125,0.0,0.25,0.09722222222222221,0.40562770562770567
capital,raw_question,28.25,-9.84375,0.0,0.25,0.16666666666666666,0.5454517704517705
currency,chat_template,195.5,-8.515625,0.0,0.0,0.0,0.3337710084033613
currency,declarative,111.75,-7.921875,0.0,0.25,0.2380952380952381,0.35155473007916616
currency,qa,427.5,-4.140625,0.0,0.25,0.2625,0.36380413242408344
currency,raw_question,3455.0,-12.4140625,0.0,0.25,0.30000000000000004,0.48115942028985503
headquarters,chat_template,8609.25,-18.046875,0.25,0.25,0.41666666666666663,0.5216450216450217
headquarters,declarative,80.75,-1.21875,0.0,0.5,0.35,0.49501374053019065
headquarters,qa,229.75,-7.2109375,0.0,0.5,0.3585858585858586,0.5128319477175526
headquarters,raw_question,1997.25,-14.3515625,0.0,0.25,0.225,0.37542124542124544
official_language,chat_template,335.25,-10.71875,0.0,0.0,0.0,0.6654671717171717
official_language,declarative,5436.75,-12.1171875,0.0,0.0,0.0,0.1376240172145326
official_language,qa,63.0,-5.140625,0.0,0.25,0.049999999999999996,0.1798728813559322
official_language,raw_question,400.75,-12.4921875,0.0,0.5,0.29166666666666663,0.5274170274170273
