candidate_type,prompt_family,answer_f1_drop,contains_drop,model_name
invariant,chat_template,0.08,0.1,gemma_270m_base
invariant,declarative,-0.0208080808080808,-0.1,gemma_270m_base
invariant,qa,-0.04,0.0,gemma_270m_base
invariant,raw_question,0.0,0.0,gemma_270m_base
prompt_sensitive,chat_template,0.105,0.2,gemma_270m_base
prompt_sensitive,declarative,-0.0066666666666666,0.0,gemma_270m_base
prompt_sensitive,qa,-0.0772222222222222,0.0,gemma_270m_base
prompt_sensitive,raw_question,0.0616666666666666,0.2,gemma_270m_base
invariant,chat_template,-0.0766666666666666,-0.3,gemma_270m_it
invariant,declarative,0.043015873015873,0.2,gemma_270m_it
invariant,qa,0.0809595959595959,0.2,gemma_270m_it
invariant,raw_question,0.2133333333333333,0.4,gemma_270m_it
prompt_sensitive,chat_template,0.3399999999999999,0.3,gemma_270m_it
prompt_sensitive,declarative,-0.0222222222222222,0.1,gemma_270m_it
prompt_sensitive,qa,0.0188888888888888,0.0,gemma_270m_it
prompt_sensitive,raw_question,0.1233333333333333,0.3,gemma_270m_it
invariant,chat_template,0.0199999999999999,0.1,qwen2_5_0_5b_base
invariant,declarative,-0.0222222222222222,-0.1,qwen2_5_0_5b_base
invariant,qa,0.0666666666666666,0.1,qwen2_5_0_5b_base
invariant,raw_question,0.0222222222222222,0.1,qwen2_5_0_5b_base
prompt_sensitive,chat_template,-0.1458585858585858,0.0,qwen2_5_0_5b_base
prompt_sensitive,declarative,0.0805050505050505,0.2,qwen2_5_0_5b_base
prompt_sensitive,qa,0.0666666666666666,0.1,qwen2_5_0_5b_base
prompt_sensitive,raw_question,-0.0555555555555555,0.0,qwen2_5_0_5b_base
invariant,chat_template,0.0,0.0,qwen2_5_0_5b_instruct
invariant,declarative,0.0333333333333333,0.1,qwen2_5_0_5b_instruct
invariant,qa,0.0,0.0,qwen2_5_0_5b_instruct
invariant,raw_question,-0.0022222222222222,0.0,qwen2_5_0_5b_instruct
prompt_sensitive,chat_template,0.04,0.0,qwen2_5_0_5b_instruct
prompt_sensitive,declarative,-0.0161111111111111,-0.2,qwen2_5_0_5b_instruct
prompt_sensitive,qa,-0.1057936507936508,-0.2,qwen2_5_0_5b_instruct
prompt_sensitive,raw_question,-0.0045454545454545,-0.1,qwen2_5_0_5b_instruct
invariant,chat_template,-0.0011904761904761,0.0,smollm2_360m_base
invariant,declarative,0.0,0.0,smollm2_360m_base
invariant,qa,-0.0266666666666666,-0.1,smollm2_360m_base
invariant,raw_question,-0.0266666666666666,0.0,smollm2_360m_base
prompt_sensitive,chat_template,0.1307936507936508,0.0,smollm2_360m_base
prompt_sensitive,declarative,-0.0054329004329004,-0.1,smollm2_360m_base
prompt_sensitive,qa,0.0485714285714285,0.1,smollm2_360m_base
prompt_sensitive,raw_question,0.0071428571428571,0.0,smollm2_360m_base
invariant,chat_template,0.0,0.0,smollm2_360m_instruct
invariant,declarative,0.0083333333333333,0.0,smollm2_360m_instruct
invariant,qa,0.0,0.0,smollm2_360m_instruct
invariant,raw_question,0.0,0.0,smollm2_360m_instruct
prompt_sensitive,chat_template,-0.0285714285714285,0.0,smollm2_360m_instruct
prompt_sensitive,declarative,0.0412698412698412,0.1,smollm2_360m_instruct
prompt_sensitive,qa,-0.065,-0.1,smollm2_360m_instruct
prompt_sensitive,raw_question,-0.08,-0.1,smollm2_360m_instruct
