relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.25,0.0,0.625,8
birth_place,chat_template,contains_expected,0.25,0.0,0.625,8
birth_place,chat_template,answer_f1,0.25,0.0,0.625,8
birth_place,chat_template,answer_similarity,0.5181852461264226,0.35196541203894144,0.7428758741258742,8
birth_place,declarative,full_exact_match,0.0,0.0,0.0,8
birth_place,declarative,contains_expected,0.375,0.0,0.625,8
birth_place,declarative,answer_f1,0.16309523809523813,0.0,0.28571428571428575,8
birth_place,declarative,answer_similarity,0.3110401072357594,0.19238941312310878,0.4323644622285927,8
birth_place,qa,full_exact_match,0.125,0.0,0.375,8
birth_place,qa,contains_expected,0.375,0.125,0.7218750000000007,8
birth_place,qa,answer_f1,0.2708333333333333,0.0625,0.5161458333333334,8
birth_place,qa,answer_similarity,0.38367107608593676,0.17236543062200957,0.5868796322356694,8
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,8
birth_place,raw_question,contains_expected,0.5,0.125,0.75,8
birth_place,raw_question,answer_f1,0.3402777777777778,0.14583333333333331,0.5416666666666666,8
birth_place,raw_question,answer_similarity,0.425104604042574,0.26941327751196176,0.5664188209972985,8
capital,chat_template,full_exact_match,0.375,0.125,0.75,8
capital,chat_template,contains_expected,0.375,0.125,0.75,8
capital,chat_template,answer_f1,0.375,0.125,0.75,8
capital,chat_template,answer_similarity,0.6387917637917637,0.434583818958819,0.8529744560994562,8
capital,declarative,full_exact_match,0.0,0.0,0.0,8
capital,declarative,contains_expected,0.625,0.25,1.0,8
capital,declarative,answer_f1,0.2152777777777778,0.09027777777777778,0.3627083333333334,8
capital,declarative,answer_similarity,0.31673385719680813,0.23505771657885574,0.419354854918987,8
capital,qa,full_exact_match,0.0,0.0,0.0,8
capital,qa,contains_expected,0.5,0.125,0.875,8
capital,qa,answer_f1,0.2097222222222222,0.06975694444444444,0.35954861111111114,8
capital,qa,answer_similarity,0.42792033018741094,0.2660508041820154,0.579421457812374,8
capital,raw_question,full_exact_match,0.125,0.0,0.375,8
capital,raw_question,contains_expected,0.5,0.125,0.875,8
capital,raw_question,answer_f1,0.3416666666666666,0.08333333333333333,0.6193750000000001,8
capital,raw_question,answer_similarity,0.5930577710819647,0.4188016279195715,0.7832376041297413,8
currency,chat_template,full_exact_match,0.0,0.0,0.0,8
currency,chat_template,contains_expected,0.0,0.0,0.0,8
currency,chat_template,answer_f1,0.1,0.0,0.25,8
currency,chat_template,answer_similarity,0.464986727346441,0.28442811783804434,0.628369189706385,8
currency,declarative,full_exact_match,0.0,0.0,0.0,8
currency,declarative,contains_expected,0.25,0.0,0.5,8
currency,declarative,answer_f1,0.27976190476190477,0.1763888888888889,0.34920634920634924,8
currency,declarative,answer_similarity,0.41029564848028033,0.3152379333352037,0.49238498748014725,8
currency,qa,full_exact_match,0.0,0.0,0.0,8
currency,qa,contains_expected,0.25,0.0,0.5,8
currency,qa,answer_f1,0.19375,0.0625,0.32984375000000005,8
currency,qa,answer_similarity,0.3655546488017128,0.22633311019370048,0.499125132092111,8
currency,raw_question,full_exact_match,0.0,0.0,0.0,8
currency,raw_question,contains_expected,0.125,0.0,0.375,8
currency,raw_question,answer_f1,0.2,0.05,0.3887500000000003,8
currency,raw_question,answer_similarity,0.4022820888284383,0.24747984503419287,0.5503836792669853,8
headquarters,chat_template,full_exact_match,0.125,0.0,0.375,8
headquarters,chat_template,contains_expected,0.125,0.0,0.375,8
headquarters,chat_template,answer_f1,0.2708333333333333,0.0625,0.5369791666666668,8
headquarters,chat_template,answer_similarity,0.5137987012987013,0.38310335497835496,0.6783279220779221,8
headquarters,declarative,full_exact_match,0.0,0.0,0.0,8
headquarters,declarative,contains_expected,0.5,0.125,0.75,8
headquarters,declarative,answer_f1,0.30568181818181817,0.15281250000000002,0.44292613636363637,8
headquarters,declarative,answer_similarity,0.45943555122145624,0.30446082161850724,0.5954593178858484,8
headquarters,qa,full_exact_match,0.0,0.0,0.0,8
headquarters,qa,contains_expected,0.5,0.125,0.75,8
headquarters,qa,answer_f1,0.3325757575757576,0.22146464646464648,0.4456881313131314,8
headquarters,qa,answer_similarity,0.4657138314007076,0.3718908462150601,0.5444511051221026,8
headquarters,raw_question,full_exact_match,0.0,0.0,0.0,8
headquarters,raw_question,contains_expected,0.25,0.0,0.5968750000000007,8
headquarters,raw_question,answer_f1,0.175,0.0,0.35,8
headquarters,raw_question,answer_similarity,0.33702782262602804,0.2206242009901033,0.45807325160714996,8
official_language,chat_template,full_exact_match,0.25,0.0,0.625,8
official_language,chat_template,contains_expected,0.25,0.0,0.625,8
official_language,chat_template,answer_f1,0.25,0.0,0.625,8
official_language,chat_template,answer_similarity,0.7160669191919191,0.4612965593434344,0.9096654040404041,8
official_language,declarative,full_exact_match,0.0,0.0,0.0,8
official_language,declarative,contains_expected,0.125,0.0,0.375,8
official_language,declarative,answer_f1,0.024999999999999998,0.0,0.075,8
official_language,declarative,answer_similarity,0.14213277527009582,0.116624251966741,0.16563966981920653,8
official_language,qa,full_exact_match,0.0,0.0,0.0,8
official_language,qa,contains_expected,0.375,0.0,0.75,8
official_language,qa,answer_f1,0.075,0.0,0.15,8
official_language,qa,answer_similarity,0.18810760232083584,0.1566558285421164,0.21635266327081482,8
official_language,raw_question,full_exact_match,0.0,0.0,0.0,8
official_language,raw_question,contains_expected,0.75,0.375,1.0,8
official_language,raw_question,answer_f1,0.3833333333333333,0.189375,0.5147916666666666,8
official_language,raw_question,answer_similarity,0.5524597474106591,0.4280051862713153,0.6586805787454455,8
