model_name,model_family,model_variant,fact_id,relation,subject,expected_answer,prompt_family,split,generated_text,normalized_generated_text,top_prediction,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,same_subject_control_fact_id,same_relation_control_fact_id,lexical_distractor
smollm2_360m_instruct,smollm2,instruct,capital:0,capital,Afghanistan,Kabul,raw_question,analysis,,,<|im_end|>,3723,-15.171875,0.0,0.0,0.0,0.0,official_language:0,capital:1,Tirana
smollm2_360m_instruct,smollm2,instruct,capital:0,capital,Afghanistan,Kabul,declarative,analysis,"Kabul.

The capital of Afghanistan is Kabul",kabul the capital of afghanistan is kabul,Kabul,1,5.0625,0.0,1.0,0.25,0.21739130434782608,official_language:0,capital:1,Tirana
smollm2_360m_instruct,smollm2,instruct,capital:0,capital,Afghanistan,Kabul,qa,analysis,,,<|im_end|>,122,-9.8125,0.0,0.0,0.0,0.0,official_language:0,capital:1,Tirana
smollm2_360m_instruct,smollm2,instruct,capital:0,capital,Afghanistan,Kabul,chat_template,analysis,Baghdad,baghdad,B,7,-3.1875,0.0,0.0,0.0,0.16666666666666666,official_language:0,capital:1,Tirana
smollm2_360m_instruct,smollm2,instruct,capital:1,capital,Albania,Tirana,raw_question,analysis,A:,,Ċ,17634,-19.046875,0.0,0.0,0.0,0.0,official_language:1,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:1,capital,Albania,Tirana,declarative,analysis,"Tirana, which is located in the north of",tirana which is located in the north of,Tir,1,5.625,0.0,1.0,0.2222222222222222,0.26666666666666666,official_language:1,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:1,capital,Albania,Tirana,qa,analysis,,,<|im_end|>,491,-11.5625,0.0,0.0,0.0,0.0,official_language:1,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:1,capital,Albania,Tirana,chat_template,analysis,The capital of Albania is Tirana.,tirana,The,19,-3.75,1.0,1.0,1.0,1.0,official_language:1,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:2,capital,Algeria,Algiers,raw_question,analysis,,,<|im_end|>,15362,-18.359375,0.0,0.0,0.0,0.0,official_language:2,capital:0,Andorra la Vella
smollm2_360m_instruct,smollm2,instruct,capital:2,capital,Algeria,Algiers,declarative,analysis,"Algiers.

Algeria is a",lgiers algeria is a,Alg,1,3.75,0.0,0.0,0.0,0.46153846153846156,official_language:2,capital:0,Andorra la Vella
smollm2_360m_instruct,smollm2,instruct,capital:2,capital,Algeria,Algiers,qa,analysis,,,<|im_end|>,432,-11.125,0.0,0.0,0.0,0.0,official_language:2,capital:0,Andorra la Vella
smollm2_360m_instruct,smollm2,instruct,capital:2,capital,Algeria,Algiers,chat_template,analysis,The capital of Algeria is Algiers.,lgiers,The,281,-8.8125,0.0,0.0,0.0,0.9230769230769231,official_language:2,capital:0,Andorra la Vella
smollm2_360m_instruct,smollm2,instruct,capital:3,capital,Andorra,Andorra la Vella,raw_question,analysis,,,<|im_end|>,11,-4.1875,0.0,0.0,0.0,0.0,official_language:3,capital:0,Algiers
smollm2_360m_instruct,smollm2,instruct,capital:3,capital,Andorra,Andorra la Vella,declarative,analysis,"Pamplona, which is located in the province",pamplona which is located in the province,P,13,-3.5625,0.0,0.0,0.0,0.24561403508771928,official_language:3,capital:0,Algiers
smollm2_360m_instruct,smollm2,instruct,capital:3,capital,Andorra,Andorra la Vella,qa,analysis,,,<|im_end|>,6,-6.4375,0.0,0.0,0.0,0.0,official_language:3,capital:0,Algiers
smollm2_360m_instruct,smollm2,instruct,capital:3,capital,Andorra,Andorra la Vella,chat_template,analysis,Andorra La Vella,ndorra la vella,And,297,-8.4375,0.0,0.0,0.6666666666666666,0.967741935483871,official_language:3,capital:0,Algiers
smollm2_360m_instruct,smollm2,instruct,capital:4,capital,Angola,Luanda,raw_question,analysis,A:,,Ċ,1633,-13.515625,0.0,0.0,0.0,0.0,official_language:4,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:4,capital,Angola,Luanda,declarative,analysis,"Luanda.

Angola is a country",luanda angola is a country,Lu,1,5.0625,0.0,1.0,0.33333333333333337,0.375,official_language:4,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:4,capital,Angola,Luanda,qa,analysis,,,<|im_end|>,406,-10.65625,0.0,0.0,0.0,0.0,official_language:4,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:4,capital,Angola,Luanda,chat_template,analysis,Luanda,luanda,L,211,-7.3125,1.0,1.0,1.0,1.0,official_language:4,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,raw_question,analysis,,,<|im_end|>,405,-11.125,0.0,0.0,0.0,0.0,official_language:5,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,declarative,analysis,"Saint John's.

Antigua and",saint john's antigua and,Saint,1,1.625,0.0,1.0,0.6666666666666666,0.6666666666666666,official_language:5,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,qa,analysis,,,<|im_end|>,49,-8.5,0.0,0.0,0.0,0.0,official_language:5,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,chat_template,analysis,Saint John's,saint john's,Saint,566,-9.71875,1.0,1.0,1.0,1.0,official_language:5,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:6,capital,Argentina,Buenos Aires,raw_question,holdout,A:,,Ċ,1162,-12.5625,0.0,0.0,0.0,0.0,official_language:6,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:6,capital,Argentina,Buenos Aires,declarative,holdout,"Buenos Aires.

The capital of Argentina is",buenos aires the capital of argentina is,Buenos,1,2.0,0.0,1.0,0.4444444444444445,0.46153846153846156,official_language:6,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:6,capital,Argentina,Buenos Aires,qa,holdout,,,<|im_end|>,18,-6.875,0.0,0.0,0.0,0.0,official_language:6,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:6,capital,Argentina,Buenos Aires,chat_template,holdout,Buenos Aires,buenos aires,Bu,88,-6.8125,1.0,1.0,1.0,1.0,official_language:6,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:7,capital,Armenia,Yerevan,raw_question,holdout,,,<|im_end|>,1139,-12.28125,0.0,0.0,0.0,0.0,official_language:7,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:7,capital,Armenia,Yerevan,declarative,holdout,"Yerevan.

The capital of Armenia",yerevan the capital of armenia,Y,1,2.5,0.0,1.0,0.33333333333333337,0.3783783783783784,official_language:7,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:7,capital,Armenia,Yerevan,qa,holdout,,,<|im_end|>,410,-12.40625,0.0,0.0,0.0,0.0,official_language:7,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,capital:7,capital,Armenia,Yerevan,chat_template,holdout,Armenia's capital is Yerevan.,rmenia's capital is yerevan,Ar,360,-8.9375,0.0,1.0,0.4,0.4117647058823529,official_language:7,capital:0,Kabul
smollm2_360m_instruct,smollm2,instruct,official_language:0,official_language,Afghanistan,Dari,raw_question,analysis,,,<|im_end|>,386,-11.96875,0.0,0.0,0.0,0.0,capital:0,official_language:1,Albanian
smollm2_360m_instruct,smollm2,instruct,official_language:0,official_language,Afghanistan,Dari,declarative,analysis,"Pashto, which is spoken by the Pashtun",pashto which is spoken by the pashtun,Pash,1,2.9375,0.0,1.0,0.25,0.27906976744186046,capital:0,official_language:1,Albanian
smollm2_360m_instruct,smollm2,instruct,official_language:0,official_language,Afghanistan,Dari,qa,analysis,,,<|im_end|>,76,-8.6875,0.0,0.0,0.0,0.0,capital:0,official_language:1,Albanian
smollm2_360m_instruct,smollm2,instruct,official_language:0,official_language,Afghanistan,Dari,chat_template,analysis,Afghanistan has no official language.,fghanistan has no official language,Af,35,-6.1875,0.0,0.0,0.0,0.14634146341463414,capital:0,official_language:1,Albanian
smollm2_360m_instruct,smollm2,instruct,official_language:1,official_language,Albania,Albanian,raw_question,analysis,(Note: The official language of Albania,note the official language of albania,Ċ,11487,-18.07421875,0.0,0.0,0.0,0.3111111111111111,capital:1,official_language:0,Arabic
smollm2_360m_instruct,smollm2,instruct,official_language:1,official_language,Albania,Albanian,declarative,analysis,"Albanian, which is the native language of the majority",lbanian which is the native language of the majority,Albanian,1,0.8125,0.0,0.0,0.0,0.23333333333333334,capital:1,official_language:0,Arabic
smollm2_360m_instruct,smollm2,instruct,official_language:1,official_language,Albania,Albanian,qa,analysis,,,<|im_end|>,1334,-12.40625,0.0,0.0,0.0,0.0,capital:1,official_language:0,Arabic
smollm2_360m_instruct,smollm2,instruct,official_language:1,official_language,Albania,Albanian,chat_template,analysis,Albanian is the official language of Albania.,lbanian is the official language of albania,Al,5,-3.75,0.0,0.0,0.0,0.27450980392156865,capital:1,official_language:0,Arabic
smollm2_360m_instruct,smollm2,instruct,official_language:2,official_language,Algeria,Arabic,raw_question,analysis,,,<|im_end|>,2316,-14.796875,0.0,0.0,0.0,0.0,capital:2,official_language:0,Albanian
smollm2_360m_instruct,smollm2,instruct,official_language:2,official_language,Algeria,Arabic,declarative,analysis,"Arabic, which is the native language of the majority",rabic which is the native language of the majority,Arabic,1,1.0,0.0,0.0,0.0,0.17857142857142858,capital:2,official_language:0,Albanian
smollm2_360m_instruct,smollm2,instruct,official_language:2,official_language,Algeria,Arabic,qa,analysis,,,<|im_end|>,180,-10.0625,0.0,0.0,0.0,0.0,capital:2,official_language:0,Albanian
smollm2_360m_instruct,smollm2,instruct,official_language:2,official_language,Algeria,Arabic,chat_template,analysis,Algeria's official language is Arabic.,lgeria's official language is arabic,Al,59,-7.0625,0.0,1.0,0.33333333333333337,0.2857142857142857,capital:2,official_language:0,Albanian
smollm2_360m_instruct,smollm2,instruct,official_language:3,official_language,Andorra,Catalan,raw_question,analysis,,,<|im_end|>,2970,-14.6953125,0.0,0.0,0.0,0.0,capital:3,official_language:0,Dari
smollm2_360m_instruct,smollm2,instruct,official_language:3,official_language,Andorra,Catalan,declarative,analysis,"Spanish, and the official language of the European Union",spanish and the official language of the european union,Spanish,3,-0.4375,0.0,0.0,0.0,0.16129032258064516,capital:3,official_language:0,Dari
smollm2_360m_instruct,smollm2,instruct,official_language:3,official_language,Andorra,Catalan,qa,analysis,,,<|im_end|>,406,-11.15625,0.0,0.0,0.0,0.0,capital:3,official_language:0,Dari
smollm2_360m_instruct,smollm2,instruct,official_language:3,official_language,Andorra,Catalan,chat_template,analysis,Andorra has two official languages: Spanish and,ndorra has two official languages spanish and,And,480,-9.1875,0.0,0.0,0.0,0.19230769230769232,capital:3,official_language:0,Dari
smollm2_360m_instruct,smollm2,instruct,official_language:4,official_language,Angola,Portuguese,raw_question,analysis,(Note: The official language of Angola,note the official language of angola,Ċ,675,-12.8125,0.0,0.0,0.0,0.21739130434782608,capital:4,official_language:0,Dari
smollm2_360m_instruct,smollm2,instruct,official_language:4,official_language,Angola,Portuguese,declarative,analysis,"Portuguese.

Angola is a country in",portuguese angola is a country in,Portuguese,1,1.0,0.0,1.0,0.2857142857142857,0.46511627906976744,capital:4,official_language:0,Dari
