relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,0.14642857142857146,0.0,0.2844642857142859,0.25,8
birth_place,answer_f1,chat_template,qa,0.24305555555555552,0.09722222222222224,0.40277777777777773,0.125,8
birth_place,answer_f1,chat_template,raw_question,0.25,0.0,0.5,0.5,8
birth_place,answer_f1,declarative,qa,0.09662698412698412,-0.09007936507936509,0.29654265873015884,1.0,8
birth_place,answer_f1,declarative,raw_question,0.10357142857142856,-0.041607142857142856,0.2785714285714286,1.0,8
birth_place,answer_f1,qa,raw_question,0.006944444444444461,-0.2708333333333333,0.3425347222222223,1.0,8
capital,answer_f1,chat_template,declarative,0.02232142857142856,-0.20177331349206348,0.19444444444444445,1.0,8
capital,answer_f1,chat_template,qa,0.023809523809523815,-0.19751984126984126,0.20634920634920637,1.0,8
capital,answer_f1,chat_template,raw_question,0.07380952380952381,-0.1998511904761905,0.3677083333333334,1.0,8
capital,answer_f1,declarative,qa,0.0014880952380952502,-0.03124999999999996,0.03273809523809525,1.0,8
capital,answer_f1,declarative,raw_question,0.05148809523809525,-0.1306175595238095,0.23207589285714286,1.0,8
capital,answer_f1,qa,raw_question,0.049999999999999996,-0.12623015873015875,0.22746031746031747,1.0,8
currency,answer_f1,chat_template,declarative,-0.09345238095238095,-0.2935069444444444,0.1670833333333334,0.7265625,8
currency,answer_f1,chat_template,qa,0.029166666666666674,-0.06666666666666665,0.1875,1.0,8
currency,answer_f1,chat_template,raw_question,-0.20416666666666666,-0.4064583333333333,-0.0018749999999999308,0.21875,8
currency,answer_f1,declarative,qa,0.12261904761904761,-0.10430555555555554,0.2718601190476191,0.2890625,8
currency,answer_f1,declarative,raw_question,-0.11071428571428571,-0.32250496031746034,0.10031746031746049,0.7265625,8
currency,answer_f1,qa,raw_question,-0.23333333333333334,-0.3990625,-0.075,0.0625,8
headquarters,answer_f1,chat_template,declarative,0.20535714285714285,0.07048115079365079,0.3917906746031746,0.015625,8
headquarters,answer_f1,chat_template,qa,0.24761904761904763,0.06666666666666665,0.45026785714285733,0.125,8
headquarters,answer_f1,chat_template,raw_question,0.051984126984126994,-0.10267857142857142,0.19434523809523815,1.0,8
headquarters,answer_f1,declarative,qa,0.042261904761904764,-0.1159375,0.22886904761904764,1.0,8
headquarters,answer_f1,declarative,raw_question,-0.15337301587301588,-0.29709821428571426,0.04327380952380954,0.125,8
headquarters,answer_f1,qa,raw_question,-0.19563492063492063,-0.40436507936507937,0.033333333333333354,0.21875,8
official_language,answer_f1,chat_template,declarative,0.05089285714285713,-0.06198660714285716,0.1976785714285715,1.0,8
official_language,answer_f1,chat_template,qa,0.027678571428571414,-0.08062500000000002,0.1353125,1.0,8
official_language,answer_f1,chat_template,raw_question,-0.037500000000000006,-0.15484375,0.075,1.0,8
official_language,answer_f1,declarative,qa,-0.023214285714285715,-0.07142857142857144,0.016964285714285716,0.625,8
official_language,answer_f1,declarative,raw_question,-0.08839285714285713,-0.24631696428571428,0.017857142857142863,0.6875,8
official_language,answer_f1,qa,raw_question,-0.06517857142857142,-0.19017857142857142,0.0392857142857143,0.6875,8
