model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
gemma_270m_it,capital,raw_question,invariant,capital:3,0.0,0.18181818181818182,-0.18181818181818182,0.0,0.0,0.0,3,3
gemma_270m_it,capital,declarative,invariant,capital:3,0.6,0.36363636363636365,0.23636363636363633,1.0,0.0,1.0,1,1
gemma_270m_it,capital,qa,invariant,capital:3,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,1,1
gemma_270m_it,capital,chat_template,invariant,capital:3,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.0,0.0,3,3
gemma_270m_it,official_language,raw_question,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,106,80
gemma_270m_it,official_language,declarative,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,4939,9490
gemma_270m_it,official_language,qa,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,179,187
gemma_270m_it,official_language,chat_template,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,1029,3830
gemma_270m_it,currency,raw_question,invariant,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,13739,16020
gemma_270m_it,currency,declarative,invariant,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,417,539
gemma_270m_it,currency,qa,invariant,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,1702,6931
gemma_270m_it,currency,chat_template,invariant,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,347,780
gemma_270m_it,headquarters,raw_question,invariant,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,1755,965
gemma_270m_it,headquarters,declarative,invariant,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,64,112
gemma_270m_it,headquarters,qa,invariant,headquarters:3,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,167,151
gemma_270m_it,headquarters,chat_template,invariant,headquarters:3,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,5943,9334
gemma_270m_it,birth_place,raw_question,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,721,751
gemma_270m_it,birth_place,declarative,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,69,55
gemma_270m_it,birth_place,qa,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,112,228
gemma_270m_it,birth_place,chat_template,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,41149,96075
gemma_270m_it,capital,raw_question,prompt_sensitive,capital:3,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.0,0.0,3,4
gemma_270m_it,capital,declarative,prompt_sensitive,capital:3,0.6,0.6,0.0,1.0,1.0,0.0,1,1
gemma_270m_it,capital,qa,prompt_sensitive,capital:3,0.16666666666666666,0.2,-0.033333333333333354,0.0,0.0,0.0,1,1
gemma_270m_it,capital,chat_template,prompt_sensitive,capital:3,0.0,0.0,0.0,0.0,0.0,0.0,3,2
gemma_270m_it,official_language,raw_question,prompt_sensitive,official_language:3,0.0,0.19999999999999998,-0.19999999999999998,0.0,1.0,-1.0,106,111
gemma_270m_it,official_language,declarative,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,4939,6155
gemma_270m_it,official_language,qa,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,179,141
gemma_270m_it,official_language,chat_template,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,1029,65845
gemma_270m_it,currency,raw_question,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,1.0,-1.0,13739,11334
gemma_270m_it,currency,declarative,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,417,413
gemma_270m_it,currency,qa,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,1702,612
gemma_270m_it,currency,chat_template,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,347,41885
gemma_270m_it,headquarters,raw_question,prompt_sensitive,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,1755,1786
gemma_270m_it,headquarters,declarative,prompt_sensitive,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,64,75
gemma_270m_it,headquarters,qa,prompt_sensitive,headquarters:3,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,167,252
gemma_270m_it,headquarters,chat_template,prompt_sensitive,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,5943,13480
gemma_270m_it,birth_place,raw_question,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,721,772
gemma_270m_it,birth_place,declarative,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,69,111
gemma_270m_it,birth_place,qa,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,112,197
gemma_270m_it,birth_place,chat_template,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,41149,125535
