relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,-0.0042328042328042175,-0.19584656084656082,0.16246031746031744,0.453125,18
birth_place,answer_f1,chat_template,qa,0.04629629629629628,-0.12986111111111112,0.2222222222222222,1.0,18
birth_place,answer_f1,chat_template,raw_question,0.0993827160493827,-0.07098765432098766,0.2808796296296296,0.2890625,18
birth_place,answer_f1,declarative,qa,0.05052910052910051,-0.03387566137566139,0.14206349206349206,0.6875,18
birth_place,answer_f1,declarative,raw_question,0.10361552028218693,0.007444885361552017,0.21181878306878307,0.125,18
birth_place,answer_f1,qa,raw_question,0.053086419753086415,-0.07407407407407408,0.17041666666666663,0.375,18
capital,answer_f1,chat_template,declarative,-0.17054673721340388,-0.3861496913580247,0.046150793650793616,1.0,18
capital,answer_f1,chat_template,qa,-0.15987654320987654,-0.36976851851851855,0.06172839506172837,0.7744140625,18
capital,answer_f1,chat_template,raw_question,-0.08240740740740742,-0.30192129629629627,0.14180555555555543,0.548828125,18
capital,answer_f1,declarative,qa,0.01067019400352733,-0.09008818342151675,0.1132716049382716,0.266845703125,18
capital,answer_f1,declarative,raw_question,0.08813932980599648,-0.05449184303350969,0.22808641975308644,0.1795654296875,18
capital,answer_f1,qa,raw_question,0.07746913580246914,-0.045679012345679004,0.18581790123456787,0.3876953125,18
currency,answer_f1,chat_template,declarative,0.12380952380952384,0.0354298941798942,0.20939373897707234,0.11846923828125,18
currency,answer_f1,chat_template,qa,0.05339506172839507,-0.05498456790123456,0.1597453703703702,0.5078125,18
currency,answer_f1,chat_template,raw_question,0.22777777777777775,0.06481481481481483,0.37037037037037046,0.012939453125,18
currency,answer_f1,declarative,qa,-0.07041446208112874,-0.17173721340388004,0.02615079365079363,0.803619384765625,18
currency,answer_f1,declarative,raw_question,0.10396825396825399,-0.01737433862433862,0.22463844797178126,0.076812744140625,18
currency,answer_f1,qa,raw_question,0.17438271604938274,0.040000000000000015,0.32412808641975305,0.09228515625,18
headquarters,answer_f1,chat_template,declarative,-0.02295173961840628,-0.191084455667789,0.13835578002244664,1.0,18
headquarters,answer_f1,chat_template,qa,0.0027497194163860882,-0.19025392817059483,0.1735528900112233,1.0,18
headquarters,answer_f1,chat_template,raw_question,-0.08752204585537919,-0.2585405643738977,0.08636684303350958,0.7265625,18
headquarters,answer_f1,declarative,qa,0.02570145903479238,-0.034828142536475856,0.0979496352413019,1.0,18
headquarters,answer_f1,declarative,raw_question,-0.06457030623697291,-0.15215658569825236,0.014365079365079332,1.0,18
headquarters,answer_f1,qa,raw_question,-0.09027176527176528,-0.1878376022126022,-0.016953763828763877,1.0,18
official_language,answer_f1,chat_template,declarative,-0.24166666666666664,-0.466875,-0.033194444444444575,0.7265625,18
official_language,answer_f1,chat_template,qa,-0.23209876543209879,-0.4543518518518519,-0.040679012345679076,0.7265625,18
official_language,answer_f1,chat_template,raw_question,0.04814814814814815,-0.19449074074074074,0.2630555555555555,0.4239501953125,18
official_language,answer_f1,declarative,qa,0.009567901234567898,-0.040462962962962964,0.06060956790123446,1.0,18
official_language,answer_f1,declarative,raw_question,0.2898148148148148,0.1730787037037037,0.3963425925925926,0.00341796875,18
official_language,answer_f1,qa,raw_question,0.2802469135802469,0.1832716049382716,0.3722530864197531,0.00048828125,18
