relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.0,0.0,0.0,8
birth_place,chat_template,contains_expected,0.0,0.0,0.0,8
birth_place,chat_template,answer_f1,0.0,0.0,0.0,8
birth_place,chat_template,answer_similarity,0.17139003043100892,0.12420658957550818,0.22446359684384262,8
birth_place,declarative,full_exact_match,0.0,0.0,0.0,8
birth_place,declarative,contains_expected,0.25,0.0,0.5,8
birth_place,declarative,answer_f1,0.14642857142857146,0.0,0.2844642857142859,8
birth_place,declarative,answer_similarity,0.28616606772856773,0.18305763767482516,0.4223533775252525,8
birth_place,qa,full_exact_match,0.0,0.0,0.0,8
birth_place,qa,contains_expected,0.5,0.25,0.75,8
birth_place,qa,answer_f1,0.24305555555555552,0.09722222222222224,0.40277777777777773,8
birth_place,qa,answer_similarity,0.3666387532536103,0.21540062054503561,0.5096391693639178,8
birth_place,raw_question,full_exact_match,0.25,0.0,0.5,8
birth_place,raw_question,contains_expected,0.25,0.0,0.5,8
birth_place,raw_question,answer_f1,0.25,0.0,0.5,8
birth_place,raw_question,answer_similarity,0.3224310251960022,0.09267161410018553,0.5938416422287389,8
capital,chat_template,full_exact_match,0.125,0.0,0.375,8
capital,chat_template,contains_expected,0.375,0.125,0.75,8
capital,chat_template,answer_f1,0.27976190476190477,0.08333333333333334,0.5,8
capital,chat_template,answer_similarity,0.48172609858953136,0.2874164254143968,0.6861528376840735,8
capital,declarative,full_exact_match,0.0,0.0,0.0,8
capital,declarative,contains_expected,0.75,0.375,1.0,8
capital,declarative,answer_f1,0.3020833333333333,0.19600694444444444,0.4270833333333333,8
capital,declarative,answer_similarity,0.3739850962417143,0.2862309224997173,0.49306029893529896,8
capital,qa,full_exact_match,0.0,0.0,0.0,8
capital,qa,contains_expected,0.625,0.25,0.875,8
capital,qa,answer_f1,0.3035714285714286,0.2087797619047619,0.4027777777777778,8
capital,qa,answer_similarity,0.47343592798588263,0.35825109193875176,0.6177906612249643,8
capital,raw_question,full_exact_match,0.125,0.0,0.375,8
capital,raw_question,contains_expected,0.625,0.25,0.875,8
capital,raw_question,answer_f1,0.35357142857142854,0.15714285714285714,0.51625,8
capital,raw_question,answer_similarity,0.4717816162275335,0.320978783444816,0.6192651997172146,8
currency,chat_template,full_exact_match,0.0,0.0,0.0,8
currency,chat_template,contains_expected,0.375,0.125,0.625,8
currency,chat_template,answer_f1,0.4791666666666667,0.24583333333333332,0.6666666666666667,8
currency,chat_template,answer_similarity,0.607056960210985,0.4163942190545809,0.7532444852941177,8
currency,declarative,full_exact_match,0.0,0.0,0.0,8
currency,declarative,contains_expected,0.5,0.125,0.875,8
currency,declarative,answer_f1,0.38571428571428573,0.2664087301587302,0.5172619047619048,8
currency,declarative,answer_similarity,0.506238383800465,0.3788661006142283,0.6480238217526353,8
currency,qa,full_exact_match,0.0,0.0,0.0,8
currency,qa,contains_expected,0.375,0.125,0.625,8
currency,qa,answer_f1,0.5083333333333333,0.3028125,0.6448958333333334,8
currency,qa,answer_similarity,0.6465667641325535,0.45216054459064325,0.7953577302631579,8
currency,raw_question,full_exact_match,0.0,0.0,0.0,8
currency,raw_question,contains_expected,0.0,0.0,0.0,8
currency,raw_question,answer_f1,0.275,0.1125,0.4,8
currency,raw_question,answer_similarity,0.5081244210585812,0.393125911530238,0.6428356500110731,8
headquarters,chat_template,full_exact_match,0.0,0.0,0.0,8
headquarters,chat_template,contains_expected,0.5,0.125,0.75,8
headquarters,chat_template,answer_f1,0.2857142857142857,0.11450892857142858,0.4353125,8
headquarters,chat_template,answer_similarity,0.4370903515373863,0.3130414436861744,0.5430935592614181,8
headquarters,declarative,full_exact_match,0.0,0.0,0.0,8
headquarters,declarative,contains_expected,0.625,0.25,0.875,8
headquarters,declarative,answer_f1,0.49107142857142855,0.3005952380952381,0.6632192460317461,8
headquarters,declarative,answer_similarity,0.6082792678879829,0.4419065974063358,0.7357577737709593,8
headquarters,qa,full_exact_match,0.25,0.0,0.5,8
headquarters,qa,contains_expected,0.625,0.25,0.875,8
headquarters,qa,answer_f1,0.5333333333333333,0.275,0.7869791666666668,8
headquarters,qa,answer_similarity,0.5735540775014459,0.38470126208378086,0.7663736263736264,8
headquarters,raw_question,full_exact_match,0.125,0.0,0.375,8
headquarters,raw_question,contains_expected,0.5,0.125,0.75,8
headquarters,raw_question,answer_f1,0.3376984126984127,0.1659325396825397,0.5643055555555556,8
headquarters,raw_question,answer_similarity,0.4211660807146443,0.2845027493026809,0.6165837352089062,8
official_language,chat_template,full_exact_match,0.0,0.0,0.0,8
official_language,chat_template,contains_expected,0.375,0.125,0.75,8
official_language,chat_template,answer_f1,0.13125,0.03125,0.2625,8
official_language,chat_template,answer_similarity,0.3305117229735103,0.23211327920630243,0.42423078307780937,8
official_language,declarative,full_exact_match,0.0,0.0,0.0,8
official_language,declarative,contains_expected,0.625,0.375,1.0,8
official_language,declarative,answer_f1,0.18214285714285713,0.09642857142857142,0.28767857142857145,8
official_language,declarative,answer_similarity,0.3347220110114757,0.28435359081281103,0.3826134989152935,8
official_language,qa,full_exact_match,0.0,0.0,0.0,8
official_language,qa,contains_expected,0.625,0.375,1.0,8
official_language,qa,answer_f1,0.15892857142857142,0.08611607142857142,0.2400669642857143,8
official_language,qa,answer_similarity,0.2886284008857567,0.23130736327838192,0.34283181899409676,8
