relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,144.75,-4.90625,0.0,0.0,0.0,0.20596035624211856
birth_place,declarative,27.5,-3.1875,0.0,0.25,0.1,0.2723648444578677
birth_place,qa,63.75,-3.03125,0.0,0.0,0.0,0.19441170900061028
birth_place,raw_question,343.75,-7.9375,0.0,0.0,0.0,0.07366071428571429
capital,chat_template,22.75,-1.640625,0.0,0.25,0.21666666666666667,0.45312271464092435
capital,declarative,2.0,-0.09375,0.0,0.5,0.15277777777777776,0.27090741381298283
capital,qa,4.25,-1.40625,0.0,0.0,0.0,0.2111832570556827
capital,raw_question,22.5,-4.125,0.0,0.0,0.16666666666666666,0.3611815156169995
currency,chat_template,72.5,-2.90625,0.0,0.0,0.125,0.38104847494553373
currency,declarative,15.25,-4.671875,0.0,0.25,0.23392857142857143,0.38063978728920617
currency,qa,37.0,-2.625,0.0,0.0,0.226010101010101,0.3626797385620915
currency,raw_question,626.5,-6.671875,0.0,0.25,0.16666666666666666,0.4235569813209565
headquarters,chat_template,576.75,-5.140625,0.25,0.25,0.25,0.4620535714285714
headquarters,declarative,56.25,-1.546875,0.0,0.5,0.2,0.41407485468007044
headquarters,qa,71.0,-2.5625,0.0,0.5,0.2361111111111111,0.46078635055458117
headquarters,raw_question,573.75,-7.6875,0.0,0.25,0.05555555555555555,0.22331644585497878
official_language,chat_template,73.25,-3.0,0.0,0.0,0.0,0.17642857142857143
official_language,declarative,1.75,0.203125,0.0,0.25,0.05555555555555555,0.20705998224992964
official_language,qa,8.75,-1.125,0.0,0.25,0.05555555555555555,0.1662518896447468
official_language,raw_question,143.0,-6.421875,0.0,0.25,0.05555555555555555,0.186421140560243
