model_name,model_family,model_variant,fact_id,relation,subject,expected_answer,prompt_family,split,generated_text,normalized_generated_text,top_prediction,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,same_subject_control_fact_id,same_subject_control_answer,same_subject_control_f1,same_subject_control_contains,same_relation_control_answer,same_relation_control_fact_id,same_relation_control_f1,same_relation_control_contains,lexical_distractor,lexical_distractor_f1,lexical_distractor_contains,max_control_f1,max_control_contains,target_selectivity,target_contains_selectivity,dominant_control
smollm2_360m_base,smollm2,base,capital:0,capital,Afghanistan,Kabul,raw_question,analysis,Kabul is the capital of Afghanistan,kabul is the capital of afghanistan,Ċ,2,-1.75,0.0,1.0,0.2857142857142857,0.25,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,none
smollm2_360m_base,smollm2,base,capital:0,capital,Afghanistan,Kabul,declarative,analysis,Kabul. The capital of Pakistan is Islamabad.,kabul the capital of pakistan is islamabad,Kabul,1,1.375,0.0,1.0,0.25,0.2127659574468085,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.25,1.0,none
smollm2_360m_base,smollm2,base,capital:0,capital,Afghanistan,Kabul,qa,analysis,"Kabul
Q: What is the capital of Pakistan",kabul q what is the capital of pakistan,Kabul,1,3.625,0.0,1.0,0.2222222222222222,0.22727272727272727,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,none
smollm2_360m_base,smollm2,base,capital:0,capital,Afghanistan,Kabul,chat_template,analysis,"Kabul.

Question 2: What is",kabul question 2 what is,Kabul,1,2.5,0.0,1.0,0.33333333333333337,0.3448275862068966,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.33333333333333337,1.0,none
smollm2_360m_base,smollm2,base,capital:1,capital,Albania,Tirana,raw_question,analysis,The capital of Albania is Tirana.,tirana,Ċ,21,-6.3125,1.0,1.0,1.0,1.0,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,1.0,1.0,none
smollm2_360m_base,smollm2,base,capital:1,capital,Albania,Tirana,declarative,analysis,Tirana. The capital of Albania is Tirana,tirana the capital of albania is tirana,Tir,1,3.125,0.0,1.0,0.25,0.26666666666666666,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.25,1.0,none
smollm2_360m_base,smollm2,base,capital:1,capital,Albania,Tirana,qa,analysis,"Tirana

Q: What is the capital",tirana q what is the capital,Tir,1,4.0,0.0,1.0,0.2857142857142857,0.35294117647058826,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,none
smollm2_360m_base,smollm2,base,capital:1,capital,Albania,Tirana,chat_template,analysis,"Albania.
Teacher: What is the capital of",lbania teacher what is the capital of,Albania,2,-0.25,0.0,0.0,0.0,0.13953488372093023,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
smollm2_360m_base,smollm2,base,capital:2,capital,Algeria,Algiers,raw_question,analysis,Algiers is the capital of Algeria.,lgiers is the capital of algeria,Ċ,18,-6.0,0.0,0.0,0.0,0.3076923076923077,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
smollm2_360m_base,smollm2,base,capital:2,capital,Algeria,Algiers,declarative,analysis,Algiers. It is the largest city in the,lgiers it is the largest city in the,Alg,1,2.125,0.0,0.0,0.0,0.27906976744186046,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
smollm2_360m_base,smollm2,base,capital:2,capital,Algeria,Algiers,qa,analysis,"Algiers

Q: What is the capital",lgiers q what is the capital,Alg,1,2.75,0.0,0.0,0.0,0.34285714285714286,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
smollm2_360m_base,smollm2,base,capital:2,capital,Algeria,Algiers,chat_template,analysis,The capital of Algeria is Algiers.,lgiers,The,4,-1.1875,0.0,0.0,0.0,0.9230769230769231,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
smollm2_360m_base,smollm2,base,capital:3,capital,Andorra,Andorra la Vella,raw_question,analysis,Andorra capital is Andorra,ndorra capital is andorra,Ċ,4,-3.625,0.0,0.0,0.28571428571428575,0.43902439024390244,official_language:3,Catalan,0.0,0.0,Kabul,capital:0,0.0,0.0,Algiers,0.0,0.0,0.0,0.0,0.28571428571428575,0.0,none
smollm2_360m_base,smollm2,base,capital:3,capital,Andorra,Andorra la Vella,declarative,analysis,the city of Andorra la Vella.,the city of andorra la vella,the,2,-1.0,0.0,1.0,0.6666666666666666,0.7272727272727273,official_language:3,Catalan,0.0,0.0,Kabul,capital:0,0.0,0.0,Algiers,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,none
smollm2_360m_base,smollm2,base,capital:3,capital,Andorra,Andorra la Vella,qa,analysis,"Andorra la Vella

Q:",ndorra la vella q,And,1,1.25,0.0,0.0,0.5714285714285715,0.9090909090909091,official_language:3,Catalan,0.0,0.0,Kabul,capital:0,0.0,0.0,Algiers,0.0,0.0,0.0,0.0,0.5714285714285715,0.0,none
