model_name,model_family,model_variant,fact_id,relation,subject,expected_answer,prompt_family,split,generated_text,normalized_generated_text,top_prediction,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,same_subject_control_fact_id,same_relation_control_fact_id,lexical_distractor
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,raw_question,analysis,"The capital of Afghanistan is Kabul.
The",kabul the,"

",35,-11.0625,0.0,1.0,0.6666666666666666,0.7142857142857143,official_language:0,capital:1,Tirana
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,declarative,analysis,"Kabul.

The capital of Afghanistan is Kabul.",kabul the capital of afghanistan is kabul,Kabul,1,8.5,0.0,1.0,0.25,0.21739130434782608,official_language:0,capital:1,Tirana
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,qa,analysis,"Kabul
Q: What is the capital of Pakistan",kabul q what is the capital of pakistan,Kabul,1,3.75,0.0,1.0,0.2222222222222222,0.22727272727272727,official_language:0,capital:1,Tirana
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,chat_template,analysis,Kabul,kabul,Kabul,1,1.5,1.0,1.0,1.0,1.0,official_language:0,capital:1,Tirana
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,raw_question,analysis,"The capital of Albania is Berat.
The",berat the,"

",54,-12.0,0.0,0.0,0.0,0.26666666666666666,official_language:1,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,declarative,analysis,"Tirja, and the capital of Albania is Berat",tirja and the capital of albania is berat,Tir,1,3.75,0.0,0.0,0.0,0.2553191489361702,official_language:1,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,qa,analysis,"Tirja
Q: What is the capital of",tirja q what is the capital of,Tir,1,1.0,0.0,0.0,0.0,0.2777777777777778,official_language:1,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,chat_template,analysis,Berat,berat,Berat,75,-9.75,0.0,0.0,0.0,0.36363636363636365,official_language:1,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:2,capital,Algeria,Algiers,raw_question,analysis,The capital of Algeria is Algiers.,lgiers,"

",21,-10.5625,0.0,0.0,0.0,0.9230769230769231,official_language:2,capital:0,Andorra la Vella
gemma_270m_it,gemma,instruct,capital:2,capital,Algeria,Algiers,declarative,analysis,"Algiers.
The capital of Algeria is Al",lgiers the capital of algeria is al,Al,1,2.375,0.0,0.0,0.0,0.2857142857142857,official_language:2,capital:0,Andorra la Vella
gemma_270m_it,gemma,instruct,capital:2,capital,Algeria,Algiers,qa,analysis,"The capital of Algeria is Algiers.

Q",lgiers q,The,6,-2.625,0.0,0.0,0.0,0.8,official_language:2,capital:0,Andorra la Vella
gemma_270m_it,gemma,instruct,capital:2,capital,Algeria,Algiers,chat_template,analysis,Algeria,lgeria,Alger,6441,-21.875,0.0,0.0,0.0,0.6153846153846154,official_language:2,capital:0,Andorra la Vella
gemma_270m_it,gemma,instruct,capital:3,capital,Andorra,Andorra la Vella,raw_question,analysis,"A) Barcelona
B) Madrid
C",barcelona b madrid c,"

",3,-5.75,0.0,0.0,0.0,0.2777777777777778,official_language:3,capital:0,Algiers
gemma_270m_it,gemma,instruct,capital:3,capital,Andorra,Andorra la Vella,declarative,analysis,Andorra la Vella. Andorra la Vella is,ndorra la vella andorra la vella is,Andorra,1,0.25,0.0,1.0,0.6,0.6274509803921569,official_language:3,capital:0,Algiers
gemma_270m_it,gemma,instruct,capital:3,capital,Andorra,Andorra la Vella,qa,analysis,Andorra is the capital of the Kingdom of Andorra.,ndorra is the capital of the kingdom of andorra,Andorra,1,4.0,0.0,0.0,0.16666666666666666,0.31746031746031744,official_language:3,capital:0,Algiers
gemma_270m_it,gemma,instruct,capital:3,capital,Andorra,Andorra la Vella,chat_template,analysis,Andorra,ndorra,And,3,-2.75,0.0,0.0,0.0,0.5454545454545454,official_language:3,capital:0,Algiers
gemma_270m_it,gemma,instruct,capital:4,capital,Angola,Luanda,raw_question,analysis,The capital of Angola is Luanda.,luanda,"

",24,-10.6875,1.0,1.0,1.0,1.0,official_language:4,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:4,capital,Angola,Luanda,declarative,analysis,"Luanda, and the capital of the country is",luanda and the capital of the country is,Lu,1,2.5,0.0,1.0,0.2222222222222222,0.2608695652173913,official_language:4,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:4,capital,Angola,Luanda,qa,analysis,"The capital of Angola is Luanda.

Q",luanda q,The,8,-3.3125,0.0,1.0,0.6666666666666666,0.8571428571428571,official_language:4,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:4,capital,Angola,Luanda,chat_template,analysis,Angola,ngola,Ang,926,-19.875,0.0,0.0,0.0,0.36363636363636365,official_language:4,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,raw_question,analysis,"A) Barbados
B) Antigua
C",barbados b antigua c,"

",86,-13.0,0.0,0.0,0.0,0.25,official_language:5,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,declarative,analysis,"Antigua.

The capital of Antigua and Barbuda",ntigua the capital of antigua and barbuda,Antigua,96,-6.75,0.0,0.0,0.0,0.18867924528301888,official_language:5,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,qa,analysis,The capital of Antigua and Barbuda is the capital,the capital,The,25,-5.3125,0.0,0.0,0.0,0.17391304347826086,official_language:5,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,chat_template,analysis,Antigua,ntigua,Ant,5724,-20.3125,0.0,0.0,0.0,0.2222222222222222,official_language:5,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:6,capital,Argentina,Buenos Aires,raw_question,holdout,"A) Buenos Aires
B) Lima",buenos aires b lima,"

",15,-9.1875,0.0,1.0,0.6666666666666666,0.7741935483870968,official_language:6,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:6,capital,Argentina,Buenos Aires,declarative,holdout,"Buenos Aires.
The capital of Argentina is Buenos",buenos aires the capital of argentina is buenos,Buenos,1,3.75,0.0,1.0,0.4,0.4067796610169492,official_language:6,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:6,capital,Argentina,Buenos Aires,qa,holdout,"Buenos Aires
Q: What is the capital of",buenos aires q what is the capital of,Buenos,1,2.875,0.0,1.0,0.4,0.4897959183673469,official_language:6,capital:0,Kabul
