relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,8070.583333333333,-18.826822916666668,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4143553702030269
birth_place,declarative,128.5,-4.807291666666667,0.0,0.25,0.13253968253968254,0.31833132246175727
birth_place,qa,1452.0,-7.583984375,0.08333333333333333,0.25,0.18055555555555555,0.3014630044522219
birth_place,raw_question,5367.833333333333,-15.73828125,0.0,0.3333333333333333,0.2601851851851852,0.4035596423484776
capital,chat_template,1102.25,-8.536458333333334,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6438098938098938
capital,declarative,8.916666666666666,3.1979166666666665,0.0,0.75,0.22453703703703706,0.29452020820934527
capital,qa,4.0,0.7291666666666666,0.0,0.6666666666666666,0.25092592592592594,0.4218603067050272
capital,raw_question,33.916666666666664,-10.270833333333334,0.08333333333333333,0.5833333333333334,0.33749999999999997,0.5360723304797639
currency,chat_template,4073.5,-12.242513020833334,0.0,0.0,0.10833333333333334,0.5076823492554917
currency,declarative,152.58333333333334,-7.515625,0.0,0.25,0.26587301587301587,0.4215534583545
currency,qa,195.66666666666666,-3.3333333333333335,0.0,0.25,0.1708333333333333,0.40836383529044934
currency,raw_question,1853.8333333333333,-12.002604166666666,0.0,0.16666666666666666,0.26666666666666666,0.4684804568797776
headquarters,chat_template,6361.833333333333,-15.588541666666666,0.16666666666666666,0.16666666666666666,0.3194444444444444,0.5529763673146025
headquarters,declarative,117.08333333333333,-1.625,0.0,0.5,0.24082491582491583,0.38912563619175256
headquarters,qa,147.91666666666666,-5.783854166666667,0.0,0.5,0.28190235690235693,0.3941991669051464
headquarters,raw_question,1382.75,-13.299479166666666,0.0,0.3333333333333333,0.1798280423280423,0.3144911472507424
official_language,chat_template,753.6666666666666,-11.673177083333334,0.25,0.25,0.25,0.6519811207311207
official_language,declarative,2310.5,-9.981770833333334,0.0,0.16666666666666666,0.03333333333333333,0.15398618623787008
official_language,qa,26.333333333333332,-3.328125,0.0,0.25,0.049999999999999996,0.18333642257381633
official_language,raw_question,161.58333333333334,-10.971354166666666,0.0,0.6666666666666666,0.33888888888888885,0.5543615362309845
