relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.0,0.0,0.0,8
birth_place,chat_template,contains_expected,0.5,0.125,0.8468750000000007,8
birth_place,chat_template,answer_f1,0.36666666666666664,0.1,0.6091666666666669,8
birth_place,chat_template,answer_similarity,0.4828838924233661,0.28660009398496245,0.6424981022267208,8
birth_place,declarative,full_exact_match,0.0,0.0,0.0,8
birth_place,declarative,contains_expected,0.375,0.0,0.625,8
birth_place,declarative,answer_f1,0.20476190476190476,0.0,0.38642857142857157,8
birth_place,declarative,answer_similarity,0.36929746963305465,0.19257691158900836,0.5386962079615648,8
birth_place,qa,full_exact_match,0.125,0.0,0.375,8
birth_place,qa,contains_expected,0.375,0.0,0.625,8
birth_place,qa,answer_f1,0.30833333333333335,0.0,0.5693750000000001,8
birth_place,qa,answer_similarity,0.4945617679035181,0.2890119012463465,0.6971200266631501,8
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,8
birth_place,raw_question,contains_expected,0.25,0.0,0.5,8
birth_place,raw_question,answer_f1,0.2,0.0,0.4,8
birth_place,raw_question,answer_similarity,0.3814999644450653,0.18764812601815978,0.574852700676523,8
capital,chat_template,full_exact_match,0.0,0.0,0.0,8
capital,chat_template,contains_expected,0.5,0.25,0.875,8
capital,chat_template,answer_f1,0.1875,0.06718750000000001,0.2881944444444444,8
capital,chat_template,answer_similarity,0.2676242924232455,0.14990073605639642,0.4395499418713221,8
capital,declarative,full_exact_match,0.0,0.0,0.0,8
capital,declarative,contains_expected,0.375,0.125,0.625,8
capital,declarative,answer_f1,0.151010101010101,0.027777777777777776,0.26766414141414147,8
capital,declarative,answer_similarity,0.2867224880382775,0.18254323122529645,0.4188708740725332,8
capital,qa,full_exact_match,0.625,0.25,0.875,8
capital,qa,contains_expected,0.625,0.25,0.875,8
capital,qa,answer_f1,0.7708333333333333,0.5046875,0.9583333333333333,8
capital,qa,answer_similarity,0.9684952144629564,0.9275068681318682,0.9959677419354839,8
capital,raw_question,full_exact_match,0.25,0.0,0.625,8
capital,raw_question,contains_expected,0.25,0.0,0.625,8
capital,raw_question,answer_f1,0.29545454545454547,0.010227272727272751,0.625,8
capital,raw_question,answer_similarity,0.40975959468570017,0.16975316772453725,0.6864729973185855,8
currency,chat_template,full_exact_match,0.0,0.0,0.0,8
currency,chat_template,contains_expected,0.375,0.028125000000000067,0.625,8
currency,chat_template,answer_f1,0.23611111111111113,0.11111111111111112,0.3541666666666667,8
currency,chat_template,answer_similarity,0.38315955977352967,0.2958962536684838,0.4492594870861596,8
currency,declarative,full_exact_match,0.0,0.0,0.0,8
currency,declarative,contains_expected,0.375,0.0,0.625,8
currency,declarative,answer_f1,0.2910984848484849,0.16311868686868689,0.4018465909090909,8
currency,declarative,answer_similarity,0.4090208668086422,0.30157701656382,0.5162204571859694,8
currency,qa,full_exact_match,0.0,0.0,0.0,8
currency,qa,contains_expected,0.25,0.0,0.5,8
currency,qa,answer_f1,0.41666666666666663,0.20697916666666666,0.5750000000000001,8
currency,qa,answer_similarity,0.6344889026427858,0.40843350330433126,0.8106573769493178,8
currency,raw_question,full_exact_match,0.0,0.0,0.0,8
currency,raw_question,contains_expected,0.0,0.0,0.0,8
currency,raw_question,answer_f1,0.05,0.0,0.15000000000000002,8
currency,raw_question,answer_similarity,0.2919762570515975,0.1980320311885438,0.4128017403911167,8
headquarters,chat_template,full_exact_match,0.0,0.0,0.0,8
