model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank,baseline_target_selectivity,ablated_target_selectivity,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase
qwen2_5_0_5b_base,capital,raw_question,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,139,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,declarative,invariant,capital:14,0.25,0.25,0.0,1.0,1.0,0.0,7,8,0.25,0.25,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,qa,invariant,capital:14,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,chat_template,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,101609,108810,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,raw_question,invariant,capital:15,0.0,0.0,0.0,0.0,0.0,0.0,194,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,declarative,invariant,capital:15,0.25,0.25,0.0,1.0,1.0,0.0,1,1,0.25,0.25,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,qa,invariant,capital:15,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,chat_template,invariant,capital:15,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,105023,93525,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,raw_question,invariant,capital:16,1.0,1.0,0.0,1.0,1.0,0.0,10,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,declarative,invariant,capital:16,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,5,5,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,qa,invariant,capital:16,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,chat_template,invariant,capital:16,0.5,0.5,0.0,1.0,1.0,0.0,452,662,0.5,0.5,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,raw_question,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,39,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,declarative,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,45,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,qa,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,chat_template,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,48923,32352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,raw_question,invariant,official_language:14,0.0,0.0,0.0,1.0,1.0,0.0,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,declarative,invariant,official_language:14,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,qa,invariant,official_language:14,1.0,1.0,0.0,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,chat_template,invariant,official_language:14,0.0,0.0,0.0,0.0,0.0,0.0,22425,17481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,raw_question,invariant,official_language:15,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,declarative,invariant,official_language:15,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,qa,invariant,official_language:15,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,chat_template,invariant,official_language:15,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,raw_question,invariant,official_language:16,0.0,0.0,0.0,0.0,0.0,0.0,15,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,declarative,invariant,official_language:16,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,8,8,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,qa,invariant,official_language:16,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,chat_template,invariant,official_language:16,0.0,0.0,0.0,0.0,0.0,0.0,8590,9287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,raw_question,invariant,official_language:17,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,declarative,invariant,official_language:17,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,2,2,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,qa,invariant,official_language:17,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,chat_template,invariant,official_language:17,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,currency,raw_question,invariant,currency:14,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,currency,declarative,invariant,currency:14,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,3,3,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.0,0.0
