model_name,fact_id,relation,prompt_family,layer,hidden_norm,attention_norm,mlp_mean_abs
smollm2_360m_base,capital:0,capital,raw_question,0,59.848419189453125,4.552065849304199,0.09477321058511734
smollm2_360m_base,capital:0,capital,raw_question,1,80.11956787109375,16.99641227722168,0.09408845007419586
smollm2_360m_base,capital:0,capital,raw_question,2,92.26862335205078,13.65139389038086,0.12569493055343628
smollm2_360m_base,capital:0,capital,raw_question,3,84.65444946289062,15.72217082977295,0.13208997249603271
smollm2_360m_base,capital:0,capital,raw_question,4,99.01115417480469,19.081687927246094,0.15749402344226837
smollm2_360m_base,capital:0,capital,raw_question,5,114.8468017578125,20.857606887817383,0.1600624918937683
smollm2_360m_base,capital:0,capital,raw_question,6,130.9899444580078,11.812700271606445,0.16803209483623505
smollm2_360m_base,capital:0,capital,raw_question,7,147.7998809814453,24.60452651977539,0.1877097338438034
smollm2_360m_base,capital:0,capital,raw_question,8,157.58404541015625,16.41237449645996,0.20528976619243622
smollm2_360m_base,capital:0,capital,raw_question,9,163.73965454101562,15.94619369506836,0.2011793553829193
smollm2_360m_base,capital:0,capital,raw_question,10,164.8169403076172,12.75810718536377,0.17694097757339478
smollm2_360m_base,capital:0,capital,raw_question,11,180.37159729003906,18.643871307373047,0.19215190410614014
smollm2_360m_base,capital:0,capital,raw_question,12,186.90484619140625,18.17625617980957,0.20687183737754822
smollm2_360m_base,capital:0,capital,raw_question,13,187.90208435058594,26.281221389770508,0.19912074506282806
smollm2_360m_base,capital:0,capital,raw_question,14,201.20999145507812,38.291015625,0.20110535621643066
smollm2_360m_base,capital:0,capital,raw_question,15,235.85769653320312,41.80502700805664,0.2195650041103363
smollm2_360m_base,capital:0,capital,raw_question,16,251.68858337402344,35.980186462402344,0.21191687881946564
smollm2_360m_base,capital:0,capital,raw_question,17,260.88104248046875,30.51702880859375,0.21008403599262238
smollm2_360m_base,capital:0,capital,raw_question,18,253.79046630859375,39.03043746948242,0.20248660445213318
smollm2_360m_base,capital:0,capital,raw_question,19,271.3351135253906,27.022369384765625,0.22511306405067444
smollm2_360m_base,capital:0,capital,raw_question,20,276.5696105957031,24.267351150512695,0.24084243178367615
smollm2_360m_base,capital:0,capital,raw_question,21,344.57281494140625,51.760372161865234,0.26880842447280884
