relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,1781.5,-6.546875,0.0,0.0,0.0,0.18952512765262353
birth_place,declarative,176.16666666666666,-3.7708333333333335,0.0,0.16666666666666666,0.09583333333333333,0.28651534293554554
birth_place,qa,351.0,-4.0625,0.0,0.16666666666666666,0.07638888888888888,0.26552166148676365
birth_place,raw_question,1487.5,-9.1484375,0.0,0.16666666666666666,0.09722222222222221,0.20111142279921698
capital,chat_template,27.333333333333332,-2.0885416666666665,0.0,0.4166666666666667,0.2759259259259259,0.42482694005645777
capital,declarative,20.666666666666668,-0.1875,0.0,0.5833333333333334,0.14974747474747474,0.24845894571616842
capital,qa,7.333333333333333,-1.953125,0.0,0.0,0.0,0.17001020249123236
capital,raw_question,36.333333333333336,-4.979166666666667,0.0,0.08333333333333333,0.1111111111111111,0.25165072553103796
currency,chat_template,100.75,-2.7864583333333335,0.0,0.08333333333333333,0.12222222222222223,0.3631636224189095
currency,declarative,137.75,-5.161458333333333,0.0,0.4166666666666667,0.2514069264069264,0.3962470803316047
currency,qa,55.5,-2.5885416666666665,0.0,0.16666666666666666,0.15867003367003366,0.3498555002422177
currency,raw_question,406.8333333333333,-6.822916666666667,0.0,0.3333333333333333,0.24305555555555558,0.46046202729954766
headquarters,chat_template,418.1666666666667,-4.375,0.08333333333333333,0.25,0.18055555555555555,0.3457317306954988
headquarters,declarative,95.75,-1.7708333333333333,0.0,0.4166666666666667,0.15601851851851853,0.32064456673119834
headquarters,qa,94.58333333333333,-1.765625,0.0,0.3333333333333333,0.17745911495911496,0.338777718995861
headquarters,raw_question,453.3333333333333,-7.135416666666667,0.0,0.16666666666666666,0.05218855218855218,0.21529408372155268
official_language,chat_template,31.583333333333332,-2.0,0.0,0.16666666666666666,0.03935185185185185,0.19961319179010759
official_language,declarative,1.75,-0.020833333333333332,0.0,0.5833333333333334,0.12453703703703704,0.22928762848887532
official_language,qa,3.75,-0.041666666666666664,0.0,0.5833333333333334,0.12962962962962962,0.24702141335799635
official_language,raw_question,68.08333333333333,-5.552083333333333,0.0,0.16666666666666666,0.03935185185185185,0.19588311179948673
