relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,-0.2501984126984127,-0.4349603174603175,-0.08323412698412706,0.0625,12
birth_place,answer_f1,chat_template,qa,-0.32936507936507936,-0.5793650793650794,-0.10267857142857188,0.0625,12
birth_place,answer_f1,chat_template,raw_question,-0.32936507936507936,-0.5793650793650794,-0.10267857142857188,0.0625,12
birth_place,answer_f1,declarative,qa,-0.07916666666666666,-0.2208333333333333,0.0,0.5,12
birth_place,answer_f1,declarative,raw_question,-0.07916666666666666,-0.2208333333333333,0.0,0.5,12
birth_place,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,12
capital,answer_f1,chat_template,declarative,-0.34861111111111104,-0.5621412037037038,-0.12307870370370375,0.0654296875,12
capital,answer_f1,chat_template,qa,-0.6222222222222222,-0.8388888888888889,-0.38305555555555576,0.00390625,12
capital,answer_f1,chat_template,raw_question,-0.6222222222222222,-0.8388888888888889,-0.38305555555555576,0.00390625,12
capital,answer_f1,declarative,qa,-0.27361111111111114,-0.3712962962962963,-0.1874074074074075,0.001953125,12
capital,answer_f1,declarative,raw_question,-0.27361111111111114,-0.3712962962962963,-0.1874074074074075,0.001953125,12
capital,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,12
currency,answer_f1,chat_template,declarative,0.06593314093314094,-0.04452801827801827,0.18183110870610858,1.0,12
currency,answer_f1,chat_template,qa,-0.16693722943722944,-0.27978670634920627,-0.06663961038961047,0.03125,12
currency,answer_f1,chat_template,raw_question,-0.16693722943722944,-0.27978670634920627,-0.06663961038961047,0.03125,12
currency,answer_f1,declarative,qa,-0.2328703703703704,-0.30142361111111116,-0.15964120370370377,0.001953125,12
currency,answer_f1,declarative,raw_question,-0.2328703703703704,-0.30142361111111116,-0.15964120370370377,0.001953125,12
currency,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,12
headquarters,answer_f1,chat_template,declarative,0.1778559403559404,0.08239162457912456,0.303185125060125,0.00390625,12
headquarters,answer_f1,chat_template,qa,-0.26494708994708993,-0.3846825396825397,-0.1493551587301588,0.0078125,12
headquarters,answer_f1,chat_template,raw_question,-0.26494708994708993,-0.3846825396825397,-0.1493551587301588,0.0078125,12
headquarters,answer_f1,declarative,qa,-0.4428030303030303,-0.6075482503607503,-0.27936372655122665,0.00390625,12
headquarters,answer_f1,declarative,raw_question,-0.4428030303030303,-0.6075482503607503,-0.27936372655122665,0.00390625,12
headquarters,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,12
official_language,answer_f1,chat_template,declarative,0.0020502645502645405,-0.07441964285714288,0.07640046296296295,1.0,12
official_language,answer_f1,chat_template,qa,-0.1527777777777778,-0.22239583333333335,-0.08333333333333333,0.015625,12
official_language,answer_f1,chat_template,raw_question,-0.13425925925925927,-0.2152777777777778,-0.06481481481481481,0.015625,12
official_language,answer_f1,declarative,qa,-0.1548280423280423,-0.21431547619047617,-0.09464285714285714,0.0078125,12
official_language,answer_f1,declarative,raw_question,-0.1363095238095238,-0.1976653439153439,-0.07497023809523812,0.0078125,12
official_language,answer_f1,qa,raw_question,0.018518518518518517,0.0,0.05555555555555555,1.0,12
