model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,layer_strategy,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
qwen2_5_0_5b_base,base,capital,capital:14,capital:15,qa,raw_question,primary,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.21674925088882446,0.05860358476638794,-0.15814566612243652,1.0,0.0,1.0,0.0,0.2256794571876526,0.008930206298828125,1.0,0.0,1.0,0.0,0.21790069341659546,0.001151442527770996,0.0,0.0,0.0,0.0,0.0,0.0,0.019993960857391357,-0.004959464073181152,-0.02495342493057251,0.0,0.0,0.0,0.0,-0.04215407371520996,-0.06214803457260132,0.0,0.0,0.0,0.0,-0.04526442289352417,-0.06525838375091553
qwen2_5_0_5b_base,base,capital,capital:15,capital:16,qa,raw_question,primary,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.24371623992919922,0.24781179428100586,0.004095554351806641,1.0,0.0,1.0,0.0,0.2503129839897156,0.006596744060516357,1.0,0.0,1.0,0.0,0.24425381422042847,0.000537574291229248,0.0,0.0,0.0,0.0,0.0,0.0,0.0038459300994873047,0.013339638710021973,0.009493708610534668,0.0,0.0,0.0,0.0,0.009563982486724854,0.005718052387237549,0.0,0.0,0.0,0.0,0.00778430700302124,0.0039383769035339355
qwen2_5_0_5b_base,base,capital,capital:16,capital:17,qa,raw_question,primary,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.1660405993461609,0.16603994369506836,-6.556510925292969e-07,1.0,0.0,1.0,0.0,0.16514801979064941,-0.0008925795555114746,1.0,0.0,1.0,0.0,0.16505664587020874,-0.0009839534759521484,1.0,1.0,0.0,1.0,1.0,0.0,0.03254789113998413,0.041597068309783936,0.009049177169799805,1.0,0.0,1.0,0.0,0.041996896266937256,0.009449005126953125,1.0,0.0,1.0,0.0,0.02385270595550537,-0.00869518518447876
qwen2_5_0_5b_base,base,capital,capital:17,capital:2,qa,raw_question,primary,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.22410935163497925,0.21651041507720947,-0.007598936557769775,0.0,0.0,0.0,0.0,0.21463602781295776,-0.009473323822021484,0.0,0.0,0.0,0.0,0.2229669690132141,-0.0011423826217651367,0.0,0.0,0.0,0.0,0.0,0.0,0.04658830165863037,0.05655902624130249,0.00997072458267212,0.0,0.0,0.0,0.0,0.0519450306892395,0.005356729030609131,0.0,0.0,0.0,0.0,0.043316543102264404,-0.003271758556365967
qwen2_5_0_5b_base,base,official_language,official_language:14,official_language:15,qa,raw_question,primary,0,21,1.0,1.0,0.0,0.0,0.0,0.0,0.056174516677856445,0.0028937458992004395,-0.053280770778656006,1.0,0.0,0.0,0.0,0.05516958236694336,-0.001004934310913086,1.0,0.0,0.0,0.0,0.05567222833633423,-0.0005022883415222168,0.0,0.0,0.0,0.0,0.0,0.0,0.024525880813598633,0.013756275177001953,-0.01076960563659668,0.0,0.0,0.0,0.0,-0.005957245826721191,-0.030483126640319824,0.0,0.0,0.0,0.0,-0.004136800765991211,-0.028662681579589844
qwen2_5_0_5b_base,base,official_language,official_language:15,official_language:16,qa,raw_question,primary,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.06928175687789917,0.07544273138046265,0.0061609745025634766,1.0,0.0,1.0,0.0,0.07699233293533325,0.007710576057434082,1.0,0.0,1.0,0.0,0.06823992729187012,-0.0010418295860290527,0.0,0.0,0.0,0.0,0.0,0.0,0.024187803268432617,0.026654481887817383,0.0024666786193847656,0.0,0.0,0.0,0.0,0.026912033557891846,0.0027242302894592285,0.0,0.0,0.0,0.0,0.020238220691680908,-0.003949582576751709
qwen2_5_0_5b_base,base,official_language,official_language:16,official_language:17,qa,raw_question,primary,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.0494915246963501,0.05344194173812866,0.0039504170417785645,1.0,0.0,1.0,0.0,0.054606854915618896,0.005115330219268799,1.0,0.0,1.0,0.0,0.04985785484313965,0.0003663301467895508,0.0,0.0,0.0,0.0,0.0,0.0,0.024981975555419922,0.02852320671081543,0.003541231155395508,0.0,0.0,0.0,0.0,0.028786063194274902,0.0038040876388549805,0.0,0.0,0.0,0.0,0.02523714303970337,0.00025516748428344727
qwen2_5_0_5b_base,base,official_language,official_language:17,official_language:2,qa,raw_question,primary,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.07294213771820068,0.07024556398391724,-0.0026965737342834473,1.0,0.0,1.0,0.0,0.06750339269638062,-0.005438745021820068,1.0,0.0,1.0,0.0,0.07193905115127563,-0.0010030865669250488,0.0,0.0,0.0,0.0,0.0,0.0,0.021337687969207764,0.025682151317596436,0.004344463348388672,0.0,0.0,0.0,0.0,0.025151073932647705,0.0038133859634399414,0.0,0.0,0.0,0.0,0.023958563804626465,0.002620875835418701
qwen2_5_0_5b_base,base,currency,currency:14,currency:15,qa,raw_question,primary,0,21,0.8,0.8,0.0,0.4,0.4,0.0,0.08035331964492798,0.009674906730651855,-0.07067841291427612,0.8,0.0,0.4,0.0,0.07952529191970825,-0.0008280277252197266,0.8,0.0,0.4,0.0,0.07952708005905151,-0.0008262395858764648,0.0,0.0,0.0,0.0,0.0,0.0,0.021249353885650635,0.01394498348236084,-0.007304370403289795,0.0,0.0,0.0,0.0,-0.004160881042480469,-0.025410234928131104,0.8,0.8,0.4,0.4,-0.0065947771072387695,-0.027844130992889404
qwen2_5_0_5b_base,base,currency,currency:15,currency:16,qa,raw_question,primary,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.08839207887649536,0.09321963787078857,0.004827558994293213,1.0,0.0,1.0,0.0,0.09392297267913818,0.005530893802642822,1.0,0.0,1.0,0.0,0.09070408344268799,0.002312004566192627,0.0,0.0,0.0,0.0,0.0,0.0,0.016037821769714355,0.017631351947784424,0.0015935301780700684,0.0,0.0,0.0,0.0,0.017511367797851562,0.001473546028137207,0.0,0.0,0.0,0.0,0.015115797519683838,-0.0009220242500305176
