model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank,baseline_target_selectivity,ablated_target_selectivity,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase
qwen2_5_0_5b_instruct,capital,raw_question,invariant,capital:14,0.33333333333333337,0.0,0.33333333333333337,1.0,0.0,1.0,37,18,0.33333333333333337,0.0,0.33333333333333337,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,declarative,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,qa,invariant,capital:14,0.25,0.25,0.0,1.0,1.0,0.0,1,1,0.25,0.25,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,chat_template,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,raw_question,invariant,capital:15,0.5,0.5,0.0,1.0,1.0,0.0,90,70,0.5,0.5,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,declarative,invariant,capital:15,0.0,0.0,0.0,0.0,0.0,0.0,10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,qa,invariant,capital:15,0.2222222222222222,0.2222222222222222,0.0,1.0,1.0,0.0,1,1,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,chat_template,invariant,capital:15,1.0,1.0,0.0,1.0,1.0,0.0,70,69,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,raw_question,invariant,capital:16,0.4,0.4,0.0,1.0,1.0,0.0,3,3,0.4,0.4,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,declarative,invariant,capital:16,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,3,5,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,qa,invariant,capital:16,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,chat_template,invariant,capital:16,1.0,1.0,0.0,1.0,1.0,0.0,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0
