model_name,model_family,model_variant,fact_id,relation,subject,expected_answer,prompt_family,split,generated_text,normalized_generated_text,top_prediction,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,same_subject_control_fact_id,same_subject_control_answer,same_subject_control_f1,same_subject_control_contains,same_relation_control_answer,same_relation_control_fact_id,same_relation_control_f1,same_relation_control_contains,lexical_distractor,lexical_distractor_f1,lexical_distractor_contains,max_control_f1,max_control_contains,target_selectivity,target_contains_selectivity,dominant_control
smollm2_360m_instruct,smollm2,instruct,capital:0,capital,Afghanistan,Kabul,raw_question,analysis,,,<|im_end|>,3723,-15.171875,0.0,0.0,0.0,0.0,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.0,0.0,none
smollm2_360m_instruct,smollm2,instruct,capital:0,capital,Afghanistan,Kabul,declarative,analysis,"Kabul.

The capital of Afghanistan is Kabul",kabul the capital of afghanistan is kabul,Kabul,1,5.0625,0.0,1.0,0.25,0.21739130434782608,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.25,1.0,none
smollm2_360m_instruct,smollm2,instruct,capital:0,capital,Afghanistan,Kabul,qa,analysis,,,<|im_end|>,122,-9.8125,0.0,0.0,0.0,0.0,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.0,0.0,none
smollm2_360m_instruct,smollm2,instruct,capital:0,capital,Afghanistan,Kabul,chat_template,analysis,Baghdad,baghdad,B,7,-3.1875,0.0,0.0,0.0,0.16666666666666666,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.0,0.0,none
smollm2_360m_instruct,smollm2,instruct,capital:1,capital,Albania,Tirana,raw_question,analysis,A:,,Ċ,17634,-19.046875,0.0,0.0,0.0,0.0,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
smollm2_360m_instruct,smollm2,instruct,capital:1,capital,Albania,Tirana,declarative,analysis,"Tirana, which is located in the north of",tirana which is located in the north of,Tir,1,5.625,0.0,1.0,0.2222222222222222,0.26666666666666666,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,none
smollm2_360m_instruct,smollm2,instruct,capital:1,capital,Albania,Tirana,qa,analysis,,,<|im_end|>,491,-11.5625,0.0,0.0,0.0,0.0,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
smollm2_360m_instruct,smollm2,instruct,capital:1,capital,Albania,Tirana,chat_template,analysis,The capital of Albania is Tirana.,tirana,The,19,-3.75,1.0,1.0,1.0,1.0,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,1.0,1.0,none
smollm2_360m_instruct,smollm2,instruct,capital:2,capital,Algeria,Algiers,raw_question,analysis,,,<|im_end|>,15362,-18.359375,0.0,0.0,0.0,0.0,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
smollm2_360m_instruct,smollm2,instruct,capital:2,capital,Algeria,Algiers,declarative,analysis,"Algiers.

Algeria is a",lgiers algeria is a,Alg,1,3.75,0.0,0.0,0.0,0.46153846153846156,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
