country,prompt,prompt_family,expected_capital,top_prediction,generated_text,normalized_generated_text,target_rank,target_margin,exact_match,contains_expected
Afghanistan,What is the capital of Afghanistan?,raw_question,Kabul,"

",The capital of Afghanistan is Kabul.,kabul.,35,-9.3125,1.0,1.0
Afghanistan,The capital of Afghanistan is,declarative,Kabul,Kabul,"Kabul.

The capital of Afghanistan is",kabul.,1,8.5,1.0,1.0
Afghanistan,"Q: What is the capital of Afghanistan?
A:",qa,Kabul,Kabul,"Kabul
Q: What is the capital",kabul,1,3.75,1.0,1.0
Afghanistan,What is the capital of Afghanistan? Answer with only the capital city.,chat_template,Kabul,Kabul,Kabul,kabul,1,1.5,1.0,1.0
Albania,What is the capital of Albania?,raw_question,Tirana,"

",The capital of Albania is Berat.,berat.,54,-11.0,0.0,0.0
Albania,The capital of Albania is,declarative,Tirana,Tir,"Tirja, and the capital of Albania","tirja, and the capital of albania",1,3.75,0.0,0.0
Albania,"Q: What is the capital of Albania?
A:",qa,Tirana,Tir,"Tirja
Q: What is the",tirja,1,1.0,0.0,0.0
Albania,What is the capital of Albania? Answer with only the capital city.,chat_template,Tirana,Berat,Berat,berat,75,-8.75,0.0,0.0
Algeria,What is the capital of Algeria?,raw_question,Algiers,"

",The capital of Algeria is Algiers,lgiers,21,-9.8125,0.0,0.0
Algeria,The capital of Algeria is,declarative,Algiers,Al,"Algiers.
The capital of Algeria",lgiers.,1,2.375,0.0,0.0
Algeria,"Q: What is the capital of Algeria?
A:",qa,Algiers,The,The capital of Algeria is Algiers.,lgiers.,6,-0.875,0.0,0.0
Algeria,What is the capital of Algeria? Answer with only the capital city.,chat_template,Algiers,Alger,Algeria,lgeria,6441,-21.625,0.0,0.0
Andorra,What is the capital of Andorra?,raw_question,Andorra la Vella,"

","A) Barcelona
B) Madrid",barcelona,3,-3.25,0.0,0.0
Andorra,The capital of Andorra is,declarative,Andorra la Vella,Andorra,Andorra la Vella. Andorra la V,ndorra la vella. andorra la v,1,0.25,0.0,0.0
Andorra,"Q: What is the capital of Andorra?
A:",qa,Andorra la Vella,Andorra,Andorra is the capital of the Kingdom of,ndorra is the capital of the kingdom of,1,4.0,0.0,0.0
Andorra,What is the capital of Andorra? Answer with only the capital city.,chat_template,Andorra la Vella,And,Andorra,ndorra,3,-0.75,0.0,0.0
Angola,What is the capital of Angola?,raw_question,Luanda,"

",The capital of Angola is Luanda,luanda,24,-9.5625,1.0,1.0
Angola,The capital of Angola is,declarative,Luanda,Lu,"Luanda, and the capital of the","luanda, and the capital of the",1,2.5,1.0,1.0
Angola,"Q: What is the capital of Angola?
A:",qa,Luanda,The,The capital of Angola is Luanda.,luanda.,8,-3.0625,1.0,1.0
Angola,What is the capital of Angola? Answer with only the capital city.,chat_template,Luanda,Ang,Angola,ngola,926,-18.0,0.0,0.0
Antigua and Barbuda,What is the capital of Antigua and Barbuda?,raw_question,Saint John's,"

","A) Barbados
B) Antigua",barbados,86,-12.25,0.0,0.0
Antigua and Barbuda,The capital of Antigua and Barbuda is,declarative,Saint John's,Antigua,"Antigua.

The capital of Antigua and",ntigua.,96,-6.375,0.0,0.0
Antigua and Barbuda,"Q: What is the capital of Antigua and Barbuda?
A:",qa,Saint John's,The,The capital of Antigua and Barbuda is,,25,-5.0625,0.0,0.0
Antigua and Barbuda,What is the capital of Antigua and Barbuda? Answer with only the capital city.,chat_template,Saint John's,Ant,Antigua,ntigua,5724,-19.6875,0.0,0.0
Argentina,What is the capital of Argentina?,raw_question,Buenos Aires,"

","A) Buenos Aires
B)",buenos aires,15,-8.0625,1.0,1.0
Argentina,The capital of Argentina is,declarative,Buenos Aires,Buenos,"Buenos Aires.
The capital of Argentina",buenos aires.,1,3.75,1.0,1.0
Argentina,"Q: What is the capital of Argentina?
A:",qa,Buenos Aires,Buenos,"Buenos Aires
Q: What is the",buenos aires,1,2.875,1.0,1.0
Argentina,What is the capital of Argentina? Answer with only the capital city.,chat_template,Buenos Aires,Buenos,Buenos Aires,buenos aires,8,-7.25,1.0,1.0
Armenia,What is the capital of Armenia?,raw_question,Yerevan,"

","A) Yerevan
B) Yerevan",yerevan,26,-9.75,1.0,1.0
Armenia,The capital of Armenia is,declarative,Yerevan,Yerevan,"Yerevan.
The capital of Azerbaijan is",yerevan.,1,5.25,1.0,1.0
Armenia,"Q: What is the capital of Armenia?
A:",qa,Yerevan,Yerevan,"Yerevan
Q: What is the capital",yerevan,1,3.5,1.0,1.0
Armenia,What is the capital of Armenia? Answer with only the capital city.,chat_template,Yerevan,Yerevan,Yerevan,yerevan,1,4.25,1.0,1.0
Australia,What is the capital of Australia?,raw_question,Canberra,"

","A) Sydney
B) Melbourne",sydney,6,-6.0,0.0,0.0
Australia,The capital of Australia is,declarative,Canberra,Canberra,"Canberra.

The capital of Australia is",canberra.,1,3.0,1.0,1.0
Australia,"Q: What is the capital of Australia?
A:",qa,Canberra,Canberra,"Canberra
Q: What is the capital",canberra,1,0.75,1.0,1.0
Australia,What is the capital of Australia? Answer with only the capital city.,chat_template,Canberra,Can,Canberra,canberra,3,-3.0,1.0,1.0
Austria,What is the capital of Austria?,raw_question,Vienna,"

","A) Vienna
B) Berlin",vienna,9,-7.125,1.0,1.0
Austria,The capital of Austria is,declarative,Vienna,Vienna,"Vienna.

The capital of Austria is",vienna.,1,5.125,1.0,1.0
Austria,"Q: What is the capital of Austria?
A:",qa,Vienna,Vienna,"Vienna
Q: What is the capital",vienna,1,2.625,1.0,1.0
Austria,What is the capital of Austria? Answer with only the capital city.,chat_template,Vienna,Vienna,Vienna,vienna,33,-6.625,1.0,1.0
Azerbaijan,What is the capital of Azerbaijan?,raw_question,Baku,"

",The capital of Azerbaijan is Baku.,baku.,43,-10.8125,1.0,1.0
Azerbaijan,The capital of Azerbaijan is,declarative,Baku,Baku,"Baku.
The capital of Turkmenistan is",baku.,1,5.75,1.0,1.0
Azerbaijan,"Q: What is the capital of Azerbaijan?
A:",qa,Baku,Baku,"Baku
Q: What is the capital",baku,1,1.5,1.0,1.0
Azerbaijan,What is the capital of Azerbaijan? Answer with only the capital city.,chat_template,Baku,Azer,Azerbaijan,zerbaijan,7,-2.25,0.0,0.0
Bahamas,What is the capital of Bahamas?,raw_question,Nassau,"

",The capital of the Bahamas is Nassau,the capital of the bahamas is nassau,85,-10.9375,0.0,1.0
Bahamas,The capital of Bahamas is,declarative,Nassau,Nassau,"Nassau.

The capital of the United",nassau.,1,4.875,1.0,1.0
Bahamas,"Q: What is the capital of Bahamas?
A:",qa,Nassau,The,The capital of Bahamas is Nassau.,nassau.,1,0.0,1.0,1.0
Bahamas,What is the capital of Bahamas? Answer with only the capital city.,chat_template,Nassau,Bah,Bahamas,bahamas,5,-0.875,0.0,0.0
Bahrain,What is the capital of Bahrain?,raw_question,Manama,"

",The capital of Bahrain is the capital,the capital,496,-13.6875,0.0,0.0
Bahrain,The capital of Bahrain is,declarative,Manama,the,the capital of the city of Riyadh.,the capital of the city of riyadh.,4,-0.75,0.0,0.0
Bahrain,"Q: What is the capital of Bahrain?
A:",qa,Manama,Bahrain,Bahrain is the capital of the Kingdom of,bahrain is the capital of the kingdom of,51,-7.0,0.0,0.0
Bahrain,What is the capital of Bahrain? Answer with only the capital city.,chat_template,Manama,Bah,Bahrain,bahrain,6323,-23.125,0.0,0.0
Bangladesh,What is the capital of Bangladesh?,raw_question,Dhaka,"

",The capital of Bangladesh is Dhaka.,dhaka.,9,-7.5,1.0,1.0
Bangladesh,The capital of Bangladesh is,declarative,Dhaka,Dhaka,"Dhaka.
The capital of Bangladesh is",dhaka.,1,4.0,1.0,1.0
Bangladesh,"Q: What is the capital of Bangladesh?
A:",qa,Dhaka,Dhaka,"Dhaka
Q: What is the capital",dhaka,1,3.75,1.0,1.0
Bangladesh,What is the capital of Bangladesh? Answer with only the capital city.,chat_template,Dhaka,Dh,Dhaka,dhaka,4,-2.0,1.0,1.0
Barbados,What is the capital of Barbados?,raw_question,Bridgetown,"

",The capital of Barbados is located in,located in,68,-11.375,0.0,0.0
Barbados,The capital of Barbados is,declarative,Bridgetown,Bridget,"Bridgetown.
The capital of Barbados",bridgetown.,1,2.125,1.0,1.0
Barbados,"Q: What is the capital of Barbados?
A:",qa,Bridgetown,Barbados,Barbados is the capital of the United Kingdom,barbados is the capital of the united kingdom,3,-1.75,0.0,0.0
Barbados,What is the capital of Barbados? Answer with only the capital city.,chat_template,Bridgetown,Barb,Barbados,barbados,5,-1.25,0.0,0.0
Belarus,What is the capital of Belarus?,raw_question,Minsk,"

","A) Minsk
B) Moscow",minsk,134,-12.0,1.0,1.0
Belarus,The capital of Belarus is,declarative,Minsk,Minsk,"Minsk, and the capital of the United","minsk, and the capital of the united",1,5.0,1.0,1.0
Belarus,"Q: What is the capital of Belarus?
A:",qa,Minsk,Minsk,"Minsk

Q: What is the capital",minsk,1,1.0,1.0,1.0
Belarus,What is the capital of Belarus? Answer with only the capital city.,chat_template,Minsk,Vil,Vilnius,vilnius,6,-3.0,0.0,0.0
Belgium,What is the capital of Belgium?,raw_question,Brussels,"

","A) Brussels
B) Amsterdam",brussels,26,-9.75,1.0,1.0
Belgium,The capital of Belgium is,declarative,Brussels,Brussels,"Brussels.

The capital of Belgium is",brussels.,1,4.375,1.0,1.0
Belgium,"Q: What is the capital of Belgium?
A:",qa,Brussels,The,The capital of Belgium is Brussels.,brussels.,2,0.0,1.0,1.0
Belgium,What is the capital of Belgium? Answer with only the capital city.,chat_template,Brussels,Brussels,Brussels,brussels,16,-6.75,1.0,1.0
Belize,What is the capital of Belize?,raw_question,Belmopan,"

","A) San Juan
B)",san juan,5,-5.875,0.0,0.0
Belize,The capital of Belize is,declarative,Belmopan,Bel,"Belmopan.

The capital of",belmopan.,1,2.625,1.0,1.0
Belize,"Q: What is the capital of Belize?
A:",qa,Belmopan,Belize,"Belize
Q: What is the capital",belize,2,0.0,0.0,0.0
Belize,What is the capital of Belize? Answer with only the capital city.,chat_template,Belmopan,Bel,Belize,belize,235,-10.75,0.0,0.0
Benin,What is the capital of Benin?,raw_question,Porto-Novo,"

",The capital of Benin is located in,located in,437,-13.8125,0.0,0.0
Benin,The capital of Benin is,declarative,Porto-Novo,As,"Asunción, and the capital of Nigeria","sunción, and the capital of nigeria",8,-2.5,0.0,0.0
