relation,prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
birth_place,chat_template,0.32857142857142857,0.2928571428571428,0.0,0.03571428571428571,0.0,0.03571428571428571
birth_place,declarative,0.170578231292517,0.14200680272108843,0.0,0.028571428571428574,0.0,0.028571428571428574
birth_place,qa,0.2952380952380952,0.25952380952380955,0.0,0.03571428571428571,0.0,0.03571428571428571
birth_place,raw_question,0.1619047619047619,0.1261904761904762,0.0,0.03571428571428571,0.0,0.03571428571428571
capital,chat_template,0.24285714285714285,0.24285714285714285,0.0,0.0,0.0,0.0
capital,declarative,0.1497835497835498,0.1497835497835498,0.0,0.0,0.0,0.0
capital,qa,0.869047619047619,0.869047619047619,0.0,0.0,0.0,0.0
capital,raw_question,0.25811688311688313,0.25811688311688313,0.0,0.0,0.0,0.0
currency,chat_template,0.20748299319727895,0.20748299319727895,0.0,0.0,0.0,0.0
currency,declarative,0.3293805400948258,0.3150948258091115,0.0,0.0,0.014285714285714285,0.014285714285714285
currency,qa,0.48809523809523814,0.45238095238095244,0.0,0.0,0.03571428571428571,0.03571428571428571
currency,raw_question,0.1261904761904762,0.09047619047619047,0.0,0.0,0.03571428571428571,0.03571428571428571
headquarters,chat_template,0.39754689754689754,0.2709235209235209,0.0,0.1266233766233766,0.11363636363636363,0.1266233766233766
headquarters,declarative,0.25301999587713875,0.05962172747887034,0.0,0.1933982683982684,0.18041125541125538,0.1933982683982684
headquarters,qa,0.4235930735930736,0.2824675324675324,0.0,0.14112554112554113,0.12813852813852813,0.14112554112554113
headquarters,raw_question,0.3643939393939394,0.18863636363636363,0.0,0.17575757575757575,0.16277056277056276,0.17575757575757575
official_language,chat_template,0.014285714285714285,0.0012987012987012972,0.012987012987012988,0.0,0.0,0.012987012987012988
official_language,declarative,0.2619047619047619,0.2,0.0,0.0,0.06190476190476191,0.06190476190476191
official_language,qa,0.5892857142857143,0.375,0.0,0.0,0.21428571428571427,0.21428571428571427
official_language,raw_question,0.047619047619047616,0.015873015873015872,0.0,0.0,0.031746031746031744,0.031746031746031744
