relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,target_selectivity,chat_template,declarative,0.07777777777777778,-0.022222222222222223,0.19166666666666665,0.375,18
birth_place,target_selectivity,chat_template,qa,0.02716049382716049,-0.058333333333333334,0.1358024691358025,1.0,18
birth_place,target_selectivity,chat_template,raw_question,0.027777777777777776,-0.08333333333333333,0.13888888888888887,1.0,18
birth_place,target_selectivity,declarative,qa,-0.050617283950617285,-0.1271682098765432,0.016087962962962932,0.453125,18
birth_place,target_selectivity,declarative,raw_question,-0.04999999999999999,-0.18333333333333332,0.07502314814814814,0.453125,18
birth_place,target_selectivity,qa,raw_question,0.000617283950617288,-0.13275462962962964,0.12407407407407407,1.0,18
capital,target_selectivity,chat_template,declarative,-0.1730078563411897,-0.2827665544332211,-0.05427469135802474,0.0654296875,18
capital,target_selectivity,chat_template,qa,-0.29506172839506173,-0.42962962962962964,-0.1469135802469136,0.00390625,18
capital,target_selectivity,chat_template,raw_question,-0.22098765432098763,-0.3580246913580247,-0.06888888888888912,0.0703125,18
capital,target_selectivity,declarative,qa,-0.12205387205387204,-0.17744528619528618,-0.06727974186307518,0.001953125,18
capital,target_selectivity,declarative,raw_question,-0.04797979797979797,-0.13671997755331083,0.06362654320987651,0.109375,18
capital,target_selectivity,qa,raw_question,0.07407407407407407,0.0,0.18518518518518517,0.5,18
currency,target_selectivity,chat_template,declarative,0.09300545133878466,-0.011441398108064766,0.2047920675004008,0.1795654296875,18
currency,target_selectivity,chat_template,qa,0.011912778579445242,-0.09062209395542731,0.11156565656565656,0.75390625,18
currency,target_selectivity,chat_template,raw_question,0.11415744749078084,-0.10701619368286037,0.35745370370370366,1.0,18
currency,target_selectivity,declarative,qa,-0.08109267275933944,-0.14030272967772967,-0.02220648949815619,0.01171875,18
currency,target_selectivity,declarative,raw_question,0.021151996151996148,-0.10631222943722943,0.16225018037518027,1.0,18
currency,target_selectivity,qa,raw_question,0.1022446689113356,-0.04570987654320988,0.26421717171717174,0.75390625,18
headquarters,target_selectivity,chat_template,declarative,0.09317380150713483,-0.010297418630751957,0.19134960718294045,0.14599609375,18
headquarters,target_selectivity,chat_template,qa,0.10353936187269525,-0.027453904120570756,0.23782166907166905,0.14599609375,18
headquarters,target_selectivity,chat_template,raw_question,0.03607503607503608,-0.08554743867243865,0.1560615079365078,0.266845703125,18
headquarters,target_selectivity,declarative,qa,0.010365560365560376,-0.06030383197049863,0.0823651194484528,0.34375,18
headquarters,target_selectivity,declarative,raw_question,-0.05709876543209876,-0.1257610830527497,0.012286756453423099,0.548828125,18
headquarters,target_selectivity,qa,raw_question,-0.06746432579765914,-0.1325182379349046,-0.0069386323552990264,0.5078125,18
official_language,target_selectivity,chat_template,declarative,0.024466891133557798,-0.025456649831649834,0.07470889450056115,1.0,18
official_language,target_selectivity,chat_template,qa,0.049074074074074076,-0.026550925925925922,0.1234567901234568,0.34375,18
official_language,target_selectivity,chat_template,raw_question,-0.022222222222222223,-0.06793209876543209,0.014814814814814812,0.625,18
official_language,target_selectivity,declarative,qa,0.024607182940516274,-0.03457000561167228,0.08357884399551065,0.75390625,18
official_language,target_selectivity,declarative,raw_question,-0.046689113355780014,-0.08889309764309763,-0.009562289562289565,0.21875,18
official_language,target_selectivity,qa,raw_question,-0.07129629629629629,-0.13580246913580246,-0.007692901234567919,0.109375,18
