prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,model_name,model_family,model_variant
chat_template,178.0,-3.51875,0.05,0.1,0.1183333333333333,0.3357227377371439,gemma_270m_base,gemma,base
declarative,20.55,-1.859375,0.0,0.35,0.1484523809523809,0.3090093764980113,gemma_270m_base,gemma,base
qa,36.95,-2.15,0.0,0.15,0.1035353535353535,0.2790625889635424,gemma_270m_base,gemma,base
raw_question,341.9,-6.56875,0.0,0.15,0.0888888888888888,0.2536273595277784,gemma_270m_base,gemma,base
chat_template,4263.3,-12.7171875,0.15,0.15,0.1833333333333333,0.5316838390367802,gemma_270m_it,gemma,instruct
declarative,1129.8,-4.2703125,0.0,0.3,0.1886904761904762,0.3355422214224985,gemma_270m_it,gemma,instruct
qa,153.35,-4.4515625,0.05,0.35,0.2286616161616161,0.3873471195213114,gemma_270m_it,gemma,instruct
raw_question,1272.05,-12.7671875,0.0,0.35,0.2661111111111111,0.4791861202979215,gemma_270m_it,gemma,instruct
chat_template,36930.95,-11.6205078125,0.0,0.5,0.300580808080808,0.4109119464662387,qwen2_5_0_5b_base,qwen,base
declarative,31.8,-2.34375,0.0,0.5,0.2695238095238095,0.4192358364322309,qwen2_5_0_5b_base,qwen,base
qa,14.0,-0.74375,0.25,0.6,0.4851262626262625,0.6790799253126161,qwen2_5_0_5b_base,qwen,base
raw_question,200.6,-5.2125,0.05,0.3,0.2504545454545454,0.4057109156642802,qwen2_5_0_5b_base,qwen,base
chat_template,1302.05,-6.0087890625,0.25,0.25,0.3866666666666666,0.6261523768553923,qwen2_5_0_5b_instruct,qwen,instruct
declarative,59.7,-2.9484375,0.0,0.35,0.1852417027417027,0.3442328489515769,qwen2_5_0_5b_instruct,qwen,instruct
qa,7.8,-0.821875,0.0,0.5,0.2251262626262626,0.3645456088161581,qwen2_5_0_5b_instruct,qwen,instruct
raw_question,240.8,-5.6484375,0.0,0.4,0.208073593073593,0.3905278718308545,qwen2_5_0_5b_instruct,qwen,instruct
chat_template,1427.95,-9.48154296875,0.15,0.4,0.3436904761904761,0.4939285038821838,smollm2_360m_instruct,smollm2,instruct
declarative,9.75,-0.540625,0.0,0.35,0.2168650793650793,0.3518693527077616,smollm2_360m_instruct,smollm2,instruct
qa,845.55,-10.453125,0.0,0.0,0.0,0.0,smollm2_360m_instruct,smollm2,instruct
raw_question,5277.6,-14.41259765625,0.0,0.0,0.0,0.0155555555555555,smollm2_360m_instruct,smollm2,instruct
