relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.25,0.0,0.5,12
birth_place,chat_template,contains_expected,0.4166666666666667,0.16666666666666666,0.6666666666666666,12
birth_place,chat_template,answer_f1,0.32936507936507936,0.10714285714285714,0.5560515873015869,12
birth_place,chat_template,answer_similarity,0.4093482146113725,0.2193797643797644,0.6100886311412627,12
birth_place,declarative,full_exact_match,0.0,0.0,0.0,12
birth_place,declarative,contains_expected,0.08333333333333333,0.0,0.25,12
birth_place,declarative,answer_f1,0.07916666666666666,0.0,0.20416666666666664,12
birth_place,declarative,answer_similarity,0.25158758066421877,0.1623312891407888,0.3721748475014856,12
birth_place,qa,full_exact_match,0.0,0.0,0.0,12
birth_place,qa,contains_expected,0.0,0.0,0.0,12
birth_place,qa,answer_f1,0.0,0.0,0.0,12
birth_place,qa,answer_similarity,0.0,0.0,0.0,12
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,12
birth_place,raw_question,contains_expected,0.0,0.0,0.0,12
birth_place,raw_question,answer_f1,0.0,0.0,0.0,12
birth_place,raw_question,answer_similarity,0.0,0.0,0.0,12
capital,chat_template,full_exact_match,0.5,0.25,0.75,12
capital,chat_template,contains_expected,0.6666666666666666,0.3333333333333333,0.9166666666666666,12
capital,chat_template,answer_f1,0.6222222222222222,0.38333333333333336,0.8388888888888889,12
capital,chat_template,answer_similarity,0.7411651178254594,0.53653146742568,0.9162901502619244,12
capital,declarative,full_exact_match,0.0,0.0,0.0,12
capital,declarative,contains_expected,0.8333333333333334,0.5833333333333334,1.0,12
capital,declarative,answer_f1,0.27361111111111114,0.1758564814814815,0.3773148148148148,12
capital,declarative,answer_similarity,0.347967832732194,0.27835279198568774,0.4236196047124423,12
capital,qa,full_exact_match,0.0,0.0,0.0,12
capital,qa,contains_expected,0.0,0.0,0.0,12
capital,qa,answer_f1,0.0,0.0,0.0,12
capital,qa,answer_similarity,0.0,0.0,0.0,12
capital,raw_question,full_exact_match,0.0,0.0,0.0,12
capital,raw_question,contains_expected,0.0,0.0,0.0,12
capital,raw_question,answer_f1,0.0,0.0,0.0,12
capital,raw_question,answer_similarity,0.0,0.0,0.0,12
currency,chat_template,full_exact_match,0.0,0.0,0.0,12
currency,chat_template,contains_expected,0.16666666666666666,0.0,0.4166666666666667,12
currency,chat_template,answer_f1,0.16693722943722944,0.05958919552669553,0.2867627164502164,12
currency,chat_template,answer_similarity,0.46992834827248253,0.34708542482221444,0.6028393130792807,12
currency,declarative,full_exact_match,0.0,0.0,0.0,12
currency,declarative,contains_expected,0.25,0.08125000000000011,0.5,12
currency,declarative,answer_f1,0.2328703703703704,0.16418981481481482,0.30329861111111106,12
currency,declarative,answer_similarity,0.3685933435555857,0.27305981123869943,0.46890969020414525,12
currency,qa,full_exact_match,0.0,0.0,0.0,12
currency,qa,contains_expected,0.0,0.0,0.0,12
currency,qa,answer_f1,0.0,0.0,0.0,12
currency,qa,answer_similarity,0.012345679012345678,0.0,0.037037037037037035,12
currency,raw_question,full_exact_match,0.0,0.0,0.0,12
currency,raw_question,contains_expected,0.0,0.0,0.0,12
currency,raw_question,answer_f1,0.0,0.0,0.0,12
currency,raw_question,answer_similarity,0.027777777777777776,0.0,0.08333333333333333,12
headquarters,chat_template,full_exact_match,0.0,0.0,0.0,12
headquarters,chat_template,contains_expected,0.5833333333333334,0.3312500000000001,0.8333333333333334,12
headquarters,chat_template,answer_f1,0.26494708994708993,0.14405753968253968,0.38698082010582,12
headquarters,chat_template,answer_similarity,0.3303237690056547,0.2478811504055326,0.4244299595563289,12
headquarters,declarative,full_exact_match,0.0,0.0,0.0,12
headquarters,declarative,contains_expected,0.5833333333333334,0.3333333333333333,0.8333333333333334,12
headquarters,declarative,answer_f1,0.4428030303030303,0.2539109848484849,0.5948435245310244,12
headquarters,declarative,answer_similarity,0.5415048005937214,0.37948882133056705,0.6952164638265025,12
headquarters,qa,full_exact_match,0.0,0.0,0.0,12
headquarters,qa,contains_expected,0.0,0.0,0.0,12
headquarters,qa,answer_f1,0.0,0.0,0.0,12
headquarters,qa,answer_similarity,0.0,0.0,0.0,12
headquarters,raw_question,full_exact_match,0.0,0.0,0.0,12
headquarters,raw_question,contains_expected,0.0,0.0,0.0,12
headquarters,raw_question,answer_f1,0.0,0.0,0.0,12
headquarters,raw_question,answer_similarity,0.0,0.0,0.0,12
official_language,chat_template,full_exact_match,0.0,0.0,0.0,12
official_language,chat_template,contains_expected,0.5833333333333334,0.25,0.8333333333333334,12
official_language,chat_template,answer_f1,0.1527777777777778,0.06944444444444445,0.22222222222222224,12
official_language,chat_template,answer_similarity,0.3225461271551659,0.23994765919756955,0.44976153340123914,12
official_language,declarative,full_exact_match,0.0,0.0,0.0,12
official_language,declarative,contains_expected,0.6666666666666666,0.4166666666666667,0.9166666666666666,12
official_language,declarative,answer_f1,0.15482804232804231,0.0911574074074074,0.21428571428571427,12
official_language,declarative,answer_similarity,0.2722800172538283,0.23460356798998397,0.3246266138296807,12
official_language,qa,full_exact_match,0.0,0.0,0.0,12
official_language,qa,contains_expected,0.0,0.0,0.0,12
official_language,qa,answer_f1,0.0,0.0,0.0,12
official_language,qa,answer_similarity,0.0,0.0,0.0,12
official_language,raw_question,full_exact_match,0.0,0.0,0.0,12
official_language,raw_question,contains_expected,0.08333333333333333,0.0,0.25,12
official_language,raw_question,answer_f1,0.018518518518518517,0.0,0.05555555555555555,12
official_language,raw_question,answer_similarity,0.08231347289318304,0.021604938271604937,0.1522812667740204,12
