relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,target_selectivity,chat_template,declarative,-0.22797619047619047,-0.4281894841269841,-0.036433531746031825,0.21875,12
birth_place,target_selectivity,chat_template,qa,-0.2738095238095238,-0.5484126984126984,0.004067460317460231,0.21875,12
birth_place,target_selectivity,chat_template,raw_question,-0.2738095238095238,-0.5484126984126984,0.004067460317460231,0.21875,12
birth_place,target_selectivity,declarative,qa,-0.04583333333333333,-0.18749999999999997,0.10000000000000002,1.0,12
birth_place,target_selectivity,declarative,raw_question,-0.04583333333333333,-0.18749999999999997,0.10000000000000002,1.0,12
birth_place,target_selectivity,qa,raw_question,0.0,0.0,0.0,1.0,12
capital,target_selectivity,chat_template,declarative,-0.34861111111111104,-0.5621412037037038,-0.12307870370370375,0.0654296875,12
capital,target_selectivity,chat_template,qa,-0.6222222222222222,-0.8388888888888889,-0.38305555555555576,0.00390625,12
capital,target_selectivity,chat_template,raw_question,-0.6222222222222222,-0.8388888888888889,-0.38305555555555576,0.00390625,12
capital,target_selectivity,declarative,qa,-0.27361111111111114,-0.3712962962962963,-0.1874074074074075,0.001953125,12
capital,target_selectivity,declarative,raw_question,-0.27361111111111114,-0.3712962962962963,-0.1874074074074075,0.001953125,12
capital,target_selectivity,qa,raw_question,0.0,0.0,0.0,1.0,12
currency,target_selectivity,chat_template,declarative,0.07287758537758539,-0.03519119769119768,0.18864493145743147,0.75390625,12
currency,target_selectivity,chat_template,qa,-0.13915945165945165,-0.2533143939393939,-0.03896103896103897,0.0625,12
currency,target_selectivity,chat_template,raw_question,-0.13915945165945165,-0.2533143939393939,-0.03896103896103897,0.0625,12
currency,target_selectivity,declarative,qa,-0.21203703703703705,-0.29773148148148154,-0.13053240740740743,0.00390625,12
currency,target_selectivity,declarative,raw_question,-0.21203703703703705,-0.29773148148148154,-0.13053240740740743,0.00390625,12
currency,target_selectivity,qa,raw_question,0.0,0.0,0.0,1.0,12
headquarters,target_selectivity,chat_template,declarative,0.1709114959114959,0.07586189273689274,0.29751863876863877,0.00390625,12
headquarters,target_selectivity,chat_template,qa,-0.2441137566137566,-0.3619064153439153,-0.13089451058201065,0.0078125,12
headquarters,target_selectivity,chat_template,raw_question,-0.2441137566137566,-0.3619064153439153,-0.13089451058201065,0.0078125,12
headquarters,target_selectivity,declarative,qa,-0.41502525252525246,-0.5770008116883116,-0.2520495129870131,0.00390625,12
headquarters,target_selectivity,declarative,raw_question,-0.41502525252525246,-0.5770008116883116,-0.2520495129870131,0.00390625,12
headquarters,target_selectivity,qa,raw_question,0.0,0.0,0.0,1.0,12
official_language,target_selectivity,chat_template,declarative,0.006216931216931208,-0.06909226190476192,0.08235449735449735,1.0,12
official_language,target_selectivity,chat_template,qa,-0.09027777777777779,-0.16684027777777777,-0.020833333333333332,0.125,12
official_language,target_selectivity,chat_template,raw_question,-0.09027777777777779,-0.16684027777777777,-0.020833333333333332,0.125,12
official_language,target_selectivity,declarative,qa,-0.09649470899470898,-0.1585598544973545,-0.0375,0.0625,12
official_language,target_selectivity,declarative,raw_question,-0.09649470899470898,-0.1585598544973545,-0.0375,0.0625,12
official_language,target_selectivity,qa,raw_question,0.0,0.0,0.0,1.0,12
