relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.25,0.0,0.75,4
birth_place,chat_template,contains_expected,0.25,0.0,0.75,4
birth_place,chat_template,answer_f1,0.25,0.0,0.75,4
birth_place,chat_template,answer_similarity,0.5064171122994653,0.2983689839572193,0.8444117647058822,4
birth_place,declarative,full_exact_match,0.0,0.0,0.0,4
birth_place,declarative,contains_expected,0.25,0.0,0.75,4
birth_place,declarative,answer_f1,0.14285714285714288,0.0,0.4285714285714286,4
birth_place,declarative,answer_similarity,0.3470496894409938,0.18353260869565216,0.5988392857142856,4
birth_place,qa,full_exact_match,0.25,0.0,0.75,4
birth_place,qa,contains_expected,0.5,0.0,0.75,4
birth_place,qa,answer_f1,0.375,0.0,0.75,4
birth_place,qa,answer_similarity,0.47459893048128343,0.13636363636363635,0.75,4
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,4
birth_place,raw_question,contains_expected,0.5,0.0,0.75,4
birth_place,raw_question,answer_f1,0.3472222222222222,0.08194444444444444,0.5701388888888885,4
birth_place,raw_question,answer_similarity,0.4664811379097093,0.292567254174397,0.6333333333333333,4
capital,chat_template,full_exact_match,0.25,0.0,0.75,4
capital,chat_template,contains_expected,0.25,0.0,0.75,4
capital,chat_template,answer_f1,0.25,0.0,0.75,4
capital,chat_template,answer_similarity,0.6311188811188811,0.42657342657342656,0.8863636363636364,4
capital,declarative,full_exact_match,0.0,0.0,0.0,4
capital,declarative,contains_expected,0.5,0.0,1.0,4
capital,declarative,answer_f1,0.2125,0.0,0.4828124999999994,4
capital,declarative,answer_similarity,0.3464689298476097,0.24756343332892822,0.542016806722689,4
capital,qa,full_exact_match,0.0,0.0,0.0,4
capital,qa,contains_expected,0.25,0.0,0.75,4
capital,qa,answer_f1,0.09722222222222221,0.0,0.20173611111111098,4
capital,qa,answer_similarity,0.4056277056277056,0.2498196248196248,0.6694444444444445,4
capital,raw_question,full_exact_match,0.0,0.0,0.0,4
capital,raw_question,contains_expected,0.25,0.0,0.75,4
capital,raw_question,answer_f1,0.16666666666666666,0.0,0.5,4
capital,raw_question,answer_similarity,0.5454517704517705,0.27222222222222225,0.8186813186813187,4
currency,chat_template,full_exact_match,0.0,0.0,0.0,4
currency,chat_template,contains_expected,0.0,0.0,0.0,4
currency,chat_template,answer_f1,0.0,0.0,0.0,4
currency,chat_template,answer_similarity,0.3337710084033613,0.1221047794117647,0.7310924369747899,4
currency,declarative,full_exact_match,0.0,0.0,0.0,4
currency,declarative,contains_expected,0.25,0.0,0.75,4
currency,declarative,answer_f1,0.2380952380952381,0.05555555555555556,0.3700396825396822,4
currency,declarative,answer_similarity,0.35155473007916616,0.1863425925925926,0.45177626606198024,4
currency,qa,full_exact_match,0.0,0.0,0.0,4
currency,qa,contains_expected,0.25,0.0,0.75,4
currency,qa,answer_f1,0.2625,0.0625,0.36250000000000004,4
currency,qa,answer_similarity,0.3638041324240835,0.137281430319986,0.4992248062015504,4
currency,raw_question,full_exact_match,0.0,0.0,0.0,4
currency,raw_question,contains_expected,0.25,0.0,0.75,4
currency,raw_question,answer_f1,0.30000000000000004,0.0,0.6000000000000001,4
currency,raw_question,answer_similarity,0.48115942028985503,0.20496894409937888,0.7111801242236019,4
headquarters,chat_template,full_exact_match,0.25,0.0,0.75,4
headquarters,chat_template,contains_expected,0.25,0.0,0.75,4
headquarters,chat_template,answer_f1,0.41666666666666663,0.0,0.7937499999999993,4
headquarters,chat_template,answer_similarity,0.5216450216450217,0.25757575757575757,0.8333333333333334,4
headquarters,declarative,full_exact_match,0.0,0.0,0.0,4
headquarters,declarative,contains_expected,0.5,0.0,0.75,4
headquarters,declarative,answer_f1,0.35,0.1,0.475,4
headquarters,declarative,answer_similarity,0.4950137405301906,0.29952764656849123,0.6056100466135954,4
headquarters,qa,full_exact_match,0.0,0.0,0.0,4
headquarters,qa,contains_expected,0.5,0.0,0.75,4
headquarters,qa,answer_f1,0.3585858585858586,0.2272727272727273,0.4242424242424243,4
headquarters,qa,answer_similarity,0.5128319477175526,0.44590643274853803,0.5592560770707864,4
headquarters,raw_question,full_exact_match,0.0,0.0,0.0,4
headquarters,raw_question,contains_expected,0.25,0.0,0.75,4
headquarters,raw_question,answer_f1,0.225,0.0,0.4631249999999998,4
headquarters,raw_question,answer_similarity,0.3754212454212455,0.20563095238095236,0.558653846153846,4
official_language,chat_template,full_exact_match,0.0,0.0,0.0,4
official_language,chat_template,contains_expected,0.0,0.0,0.0,4
official_language,chat_template,answer_f1,0.0,0.0,0.0,4
official_language,chat_template,answer_similarity,0.6654671717171717,0.4006076388888889,0.9243939393939393,4
official_language,declarative,full_exact_match,0.0,0.0,0.0,4
official_language,declarative,contains_expected,0.0,0.0,0.0,4
official_language,declarative,answer_f1,0.0,0.0,0.0,4
official_language,declarative,answer_similarity,0.1376240172145326,0.10766836445953593,0.15906432748538013,4
official_language,qa,full_exact_match,0.0,0.0,0.0,4
official_language,qa,contains_expected,0.25,0.0,0.75,4
official_language,qa,answer_f1,0.049999999999999996,0.0,0.15,4
official_language,qa,answer_similarity,0.1798728813559322,0.15237980769230772,0.2230769230769231,4
official_language,raw_question,full_exact_match,0.0,0.0,0.0,4
official_language,raw_question,contains_expected,0.5,0.0,1.0,4
official_language,raw_question,answer_f1,0.29166666666666663,0.0,0.6052083333333329,4
official_language,raw_question,answer_similarity,0.5274170274170275,0.3144480519480519,0.7755952380952374,4
