country,prompt,expected_capital,top_prediction,generated_text,target_rank,target_margin,exact_match
Afghanistan,What is the capital of Afghanistan?,Kabul,,The capital of Afghanistan is,35,-9.3125,0.0
Albania,What is the capital of Albania?,Tirana,,The capital of Albania is,54,-11.0,0.0
Algeria,What is the capital of Algeria?,Algiers,,The capital of Algeria is,21,-9.8125,0.0
Andorra,What is the capital of Andorra?,Andorra la Vella,,"A) Barcelona
B",3,-3.25,0.0
Angola,What is the capital of Angola?,Luanda,,The capital of Angola is,24,-9.5625,0.0
Antigua and Barbuda,What is the capital of Antigua and Barbuda?,Saint John's,,"A) Barbados
B",86,-12.25,0.0
Argentina,What is the capital of Argentina?,Buenos Aires,,A) Buenos Aires,15,-8.0625,0.0
Armenia,What is the capital of Armenia?,Yerevan,,"A) Yerevan
B",26,-9.75,0.0
Australia,What is the capital of Australia?,Canberra,,"A) Sydney
B",6,-6.0,0.0
Austria,What is the capital of Austria?,Vienna,,"A) Vienna
B",9,-7.125,0.0
Azerbaijan,What is the capital of Azerbaijan?,Baku,,The capital of Azerbaijan is,43,-10.8125,0.0
Bahamas,What is the capital of Bahamas?,Nassau,,The capital of the Bahamas,85,-10.9375,0.0
Bahrain,What is the capital of Bahrain?,Manama,,The capital of Bahrain is,496,-13.6875,0.0
Bangladesh,What is the capital of Bangladesh?,Dhaka,,The capital of Bangladesh is,9,-7.5,0.0
Barbados,What is the capital of Barbados?,Bridgetown,,The capital of Barbados is,68,-11.375,0.0
Belarus,What is the capital of Belarus?,Minsk,,"A) Minsk
B",134,-12.0,0.0
Belgium,What is the capital of Belgium?,Brussels,,"A) Brussels
B",26,-9.75,0.0
Belize,What is the capital of Belize?,Belmopan,,A) San Juan,5,-5.875,0.0
Benin,What is the capital of Benin?,Porto-Novo,,The capital of Benin is,437,-13.8125,0.0
Bhutan,What is the capital of Bhutan?,Thimphu,,Bhutan is the capital,35,-9.25,0.0
Bolivia,What is the capital of Bolivia?,Sucre,,A) Buenos Aires,495,-13.8125,0.0
Bosnia and Herzegovina,What is the capital of Bosnia and Herzegovina?,Sarajevo,,"A) Sarajevo
B",4,-6.25,0.0
Botswana,What is the capital of Botswana?,Gaborone,,The capital of Botswana is,100,-11.875,0.0
Brazil,What is the capital of Brazil?,Brasília,,A) Rio de Janeiro,20,-9.0,0.0
Brunei,What is the capital of Brunei?,Bandar Seri Begawan,,A) Kuala Lumpur,377,-13.53125,0.0
Bulgaria,What is the capital of Bulgaria?,Sofia,,The capital of Bulgaria is,17,-8.3125,0.0
Burkina Faso,What is the capital of Burkina Faso?,Ouagadougou,,"A) Paris
B",157,-12.625,0.0
Burundi,What is the capital of Burundi?,Gitega,,The capital of Burundi is,202,-12.0,0.0
Cambodia,What is the capital of Cambodia?,Phnom Penh,,The capital of Cambodia is,9,-7.6875,0.0
Cameroon,What is the capital of Cameroon?,Yaoundé,,The capital of Cameroon is,636,-14.0625,0.0
Canada,What is the capital of Canada?,Ottawa,,"A) Toronto
B",24,-8.875,0.0
Cape Verde,What is the capital of Cape Verde?,Praia,,The capital of Cape Verde,93,-11.5625,0.0
Central African Republic,What is the capital of Central African Republic?,Bangui,,A) Addis Ababa,860,-15.1875,0.0
Chad,What is the capital of Chad?,N'Djamena,,The capital of Chad is,150,-11.5625,0.0
Chile,What is the capital of Chile?,Santiago,,A) Buenos Aires,16,-8.25,0.0
China,What is the capital of China?,Beijing,,The capital of China is,17,-8.25,0.0
Colombia,What is the capital of Colombia?,Bogotá,,"A) Lima
B",19,-9.1875,0.0
Comoros,What is the capital of Comoros?,Moroni,,The capital of Comoros,201,-12.0625,0.0
Costa Rica,What is the capital of Costa Rica?,San José,,The capital of Costa Rica,27,-9.0625,0.0
Croatia,What is the capital of Croatia?,Zagreb,,"A) Zagreb
B",7,-7.0,0.0
Cuba,What is the capital of Cuba?,Havana,,The capital of Cuba is,69,-10.6875,0.0
Cyprus,What is the capital of Cyprus?,Nicosia,,The capital of Cyprus is,158,-12.4375,0.0
Czechia,What is the capital of Czech Republic?,Prague,,The capital of Czech Republic,10,-7.375,0.0
