model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
qwen2_5_0_5b_instruct,capital,raw_question,invariant,capital:6,0.5,0.5,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_instruct,capital,declarative,invariant,capital:6,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,2,2
qwen2_5_0_5b_instruct,capital,qa,invariant,capital:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_instruct,capital,chat_template,invariant,capital:6,1.0,1.0,0.0,1.0,1.0,0.0,2,2
qwen2_5_0_5b_instruct,capital,raw_question,invariant,capital:7,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,35,29
qwen2_5_0_5b_instruct,capital,declarative,invariant,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,10,13
qwen2_5_0_5b_instruct,capital,qa,invariant,capital:7,0.25,0.25,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_instruct,capital,chat_template,invariant,capital:7,1.0,1.0,0.0,1.0,1.0,0.0,93,91
qwen2_5_0_5b_instruct,official_language,raw_question,invariant,official_language:6,0.19999999999999998,0.2222222222222222,-0.022222222222222227,1.0,1.0,0.0,13,14
qwen2_5_0_5b_instruct,official_language,declarative,invariant,official_language:6,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,7,7
qwen2_5_0_5b_instruct,official_language,qa,invariant,official_language:6,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_instruct,official_language,chat_template,invariant,official_language:6,1.0,1.0,0.0,1.0,1.0,0.0,7,6
qwen2_5_0_5b_instruct,official_language,raw_question,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,2,2
qwen2_5_0_5b_instruct,official_language,declarative,invariant,official_language:7,0.33333333333333337,0.0,0.33333333333333337,1.0,0.0,1.0,4,4
qwen2_5_0_5b_instruct,official_language,qa,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_instruct,official_language,chat_template,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,3,3
qwen2_5_0_5b_instruct,currency,raw_question,invariant,currency:6,0.8,0.8,0.0,1.0,1.0,0.0,7,8
qwen2_5_0_5b_instruct,currency,declarative,invariant,currency:6,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.0,6,7
qwen2_5_0_5b_instruct,currency,qa,invariant,currency:6,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_instruct,currency,chat_template,invariant,currency:6,0.4,0.4,0.0,0.0,0.0,0.0,3,3
qwen2_5_0_5b_instruct,currency,raw_question,invariant,currency:7,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,4,4
qwen2_5_0_5b_instruct,currency,declarative,invariant,currency:7,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,7,7
qwen2_5_0_5b_instruct,currency,qa,invariant,currency:7,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_instruct,currency,chat_template,invariant,currency:7,0.4,0.4,0.0,0.0,0.0,0.0,3,3
qwen2_5_0_5b_instruct,headquarters,raw_question,invariant,headquarters:6,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,310,315
qwen2_5_0_5b_instruct,headquarters,declarative,invariant,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,2,2
qwen2_5_0_5b_instruct,headquarters,qa,invariant,headquarters:6,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,5,3
qwen2_5_0_5b_instruct,headquarters,chat_template,invariant,headquarters:6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,83,72
qwen2_5_0_5b_instruct,headquarters,raw_question,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,2966,2731
qwen2_5_0_5b_instruct,headquarters,declarative,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,391,419
qwen2_5_0_5b_instruct,headquarters,qa,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,365,424
qwen2_5_0_5b_instruct,headquarters,chat_template,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,3169,3033
qwen2_5_0_5b_instruct,birth_place,raw_question,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,3752,3061
qwen2_5_0_5b_instruct,birth_place,declarative,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,20,21
qwen2_5_0_5b_instruct,birth_place,qa,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,122,79
qwen2_5_0_5b_instruct,birth_place,chat_template,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,868,872
qwen2_5_0_5b_instruct,birth_place,raw_question,invariant,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,123,111
qwen2_5_0_5b_instruct,birth_place,declarative,invariant,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,2,2
qwen2_5_0_5b_instruct,birth_place,qa,invariant,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,8,7
qwen2_5_0_5b_instruct,birth_place,chat_template,invariant,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,125,99
qwen2_5_0_5b_instruct,capital,raw_question,prompt_sensitive,capital:6,0.5,0.6666666666666666,-0.16666666666666663,1.0,1.0,0.0,1,4
qwen2_5_0_5b_instruct,capital,declarative,prompt_sensitive,capital:6,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,2,3
qwen2_5_0_5b_instruct,capital,qa,prompt_sensitive,capital:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_instruct,capital,chat_template,prompt_sensitive,capital:6,1.0,1.0,0.0,1.0,1.0,0.0,2,2
qwen2_5_0_5b_instruct,capital,raw_question,prompt_sensitive,capital:7,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,35,33
qwen2_5_0_5b_instruct,capital,declarative,prompt_sensitive,capital:7,0.0,0.25,-0.25,0.0,1.0,-1.0,10,8
qwen2_5_0_5b_instruct,capital,qa,prompt_sensitive,capital:7,0.25,0.2857142857142857,-0.0357142857142857,1.0,1.0,0.0,1,1
qwen2_5_0_5b_instruct,capital,chat_template,prompt_sensitive,capital:7,1.0,1.0,0.0,1.0,1.0,0.0,93,72
qwen2_5_0_5b_instruct,official_language,raw_question,prompt_sensitive,official_language:6,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,13,8
qwen2_5_0_5b_instruct,official_language,declarative,prompt_sensitive,official_language:6,0.33333333333333337,0.19999999999999998,0.1333333333333334,1.0,1.0,0.0,7,1
qwen2_5_0_5b_instruct,official_language,qa,prompt_sensitive,official_language:6,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_instruct,official_language,chat_template,prompt_sensitive,official_language:6,1.0,1.0,0.0,1.0,1.0,0.0,7,17
qwen2_5_0_5b_instruct,official_language,raw_question,prompt_sensitive,official_language:7,0.0,0.18181818181818182,-0.18181818181818182,0.0,1.0,-1.0,2,2
qwen2_5_0_5b_instruct,official_language,declarative,prompt_sensitive,official_language:7,0.33333333333333337,0.19999999999999998,0.1333333333333334,1.0,1.0,0.0,4,2
qwen2_5_0_5b_instruct,official_language,qa,prompt_sensitive,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_instruct,official_language,chat_template,prompt_sensitive,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,3,18
qwen2_5_0_5b_instruct,currency,raw_question,prompt_sensitive,currency:6,0.8,0.8,0.0,1.0,1.0,0.0,7,13
qwen2_5_0_5b_instruct,currency,declarative,prompt_sensitive,currency:6,0.22222222222222224,0.4,-0.17777777777777778,0.0,1.0,-1.0,6,6
qwen2_5_0_5b_instruct,currency,qa,prompt_sensitive,currency:6,0.22222222222222224,0.8,-0.5777777777777778,0.0,1.0,-1.0,1,2
qwen2_5_0_5b_instruct,currency,chat_template,prompt_sensitive,currency:6,0.4,0.4,0.0,0.0,0.0,0.0,3,5
qwen2_5_0_5b_instruct,currency,raw_question,prompt_sensitive,currency:7,0.6666666666666666,0.3636363636363636,0.30303030303030304,1.0,1.0,0.0,4,4
qwen2_5_0_5b_instruct,currency,declarative,prompt_sensitive,currency:7,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,7,11
qwen2_5_0_5b_instruct,currency,qa,prompt_sensitive,currency:7,0.22222222222222224,0.6666666666666666,-0.4444444444444444,0.0,1.0,-1.0,1,2
qwen2_5_0_5b_instruct,currency,chat_template,prompt_sensitive,currency:7,0.4,0.0,0.4,0.0,0.0,0.0,3,9
qwen2_5_0_5b_instruct,headquarters,raw_question,prompt_sensitive,headquarters:6,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,310,296
qwen2_5_0_5b_instruct,headquarters,declarative,prompt_sensitive,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,2,6
