model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
qwen2_5_0_5b_base,capital,raw_question,invariant,capital:6,1.0,1.0,0.0,1.0,1.0,0.0,4,3
qwen2_5_0_5b_base,capital,declarative,invariant,capital:6,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_base,capital,qa,invariant,capital:6,1.0,1.0,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_base,capital,chat_template,invariant,capital:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,71,77
qwen2_5_0_5b_base,capital,raw_question,invariant,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,84,62
qwen2_5_0_5b_base,capital,declarative,invariant,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,3,3
qwen2_5_0_5b_base,capital,qa,invariant,capital:7,1.0,1.0,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_base,capital,chat_template,invariant,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,128745,123688
qwen2_5_0_5b_base,official_language,raw_question,invariant,official_language:6,0.2222222222222222,0.0,0.2222222222222222,1.0,0.0,1.0,17,12
qwen2_5_0_5b_base,official_language,declarative,invariant,official_language:6,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,5,5
qwen2_5_0_5b_base,official_language,qa,invariant,official_language:6,1.0,1.0,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_base,official_language,chat_template,invariant,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,61211,47213
qwen2_5_0_5b_base,official_language,raw_question,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,2,2
qwen2_5_0_5b_base,official_language,declarative,invariant,official_language:7,0.0,0.2222222222222222,-0.2222222222222222,0.0,1.0,-1.0,1,1
qwen2_5_0_5b_base,official_language,qa,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_base,official_language,chat_template,invariant,official_language:7,0.19999999999999998,0.0,0.19999999999999998,1.0,0.0,1.0,2,3
qwen2_5_0_5b_base,currency,raw_question,invariant,currency:6,0.0,0.0,0.0,0.0,0.0,0.0,4,4
qwen2_5_0_5b_base,currency,declarative,invariant,currency:6,0.1818181818181818,0.1818181818181818,0.0,0.0,0.0,0.0,4,4
qwen2_5_0_5b_base,currency,qa,invariant,currency:6,0.5,0.5,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_base,currency,chat_template,invariant,currency:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,4,4
qwen2_5_0_5b_base,currency,raw_question,invariant,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,3,3
qwen2_5_0_5b_base,currency,declarative,invariant,currency:7,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,8,9
qwen2_5_0_5b_base,currency,qa,invariant,currency:7,0.5,0.5,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_base,currency,chat_template,invariant,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,5,6
qwen2_5_0_5b_base,headquarters,raw_question,invariant,headquarters:6,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,877,878
qwen2_5_0_5b_base,headquarters,declarative,invariant,headquarters:6,0.6,0.6,0.0,1.0,1.0,0.0,1,1
