model_name,model_family,model_variant,fact_id,relation,subject,expected_answer,prompt_family,split,generated_text,normalized_generated_text,top_prediction,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,same_subject_control_fact_id,same_subject_control_answer,same_subject_control_f1,same_subject_control_contains,same_relation_control_answer,same_relation_control_fact_id,same_relation_control_f1,same_relation_control_contains,lexical_distractor,lexical_distractor_f1,lexical_distractor_contains,max_control_f1,max_control_contains,target_selectivity,target_contains_selectivity,dominant_control
qwen2_5_0_5b_base,qwen,base,capital:0,capital,Afghanistan,Kabul,raw_question,analysis,The capital of Afghanistan is Kabul.,kabul,The,5,-1.8125,1.0,1.0,1.0,1.0,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,1.0,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:0,capital,Afghanistan,Kabul,declarative,analysis,located in the province of Kandahar.,located in the province of kandahar,located,5,-0.875,0.0,0.0,0.0,0.1,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:0,capital,Afghanistan,Kabul,qa,analysis,Kabul,kabul,Kabul,1,1.6875,1.0,1.0,1.0,1.0,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,1.0,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:0,capital,Afghanistan,Kabul,chat_template,analysis,ratulations! The capital of Afghanistan is Kabul.🤨,ratulations! the capital of afghanistan is kabul 🤨,ratulations,7,-2.375,0.0,1.0,0.2222222222222222,0.18181818181818182,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:1,capital,Albania,Tirana,raw_question,analysis,Albania is a country in Southeastern Europe. It,lbania is a country in southeastern europe it,Albania,13,-4.4375,0.0,0.0,0.0,0.11764705882352941,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:1,capital,Albania,Tirana,declarative,analysis,Tirana. It is the capital of the country,tirana it is the capital of the country,Tir,1,0.75,0.0,1.0,0.2222222222222222,0.26666666666666666,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:1,capital,Albania,Tirana,qa,analysis,Tirana,tirana,Tir,1,2.5,1.0,1.0,1.0,1.0,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,1.0,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:1,capital,Albania,Tirana,chat_template,analysis,Albania is a country in Europe. The capital city,lbania is a country in europe the capital city,Albania,366,-10.5,0.0,0.0,0.0,0.11538461538461539,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:2,capital,Algeria,Algiers,raw_question,analysis,Algeria is a country in North Africa. The capital,lgeria is a country in north africa the capital,Algeria,13,-4.1875,0.0,0.0,0.0,0.18518518518518517,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:2,capital,Algeria,Algiers,declarative,analysis,Algiers. It is the capital of the country,lgiers it is the capital of the country,Alg,1,1.4375,0.0,0.0,0.0,0.2608695652173913,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:2,capital,Algeria,Algiers,qa,analysis,Algiers,lgiers,Alg,1,4.25,0.0,0.0,0.0,0.9230769230769231,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:2,capital,Algeria,Algiers,chat_template,analysis,Algeria's capital city is Algiers. Lauderdale is,lgeria's capital city is algiers lauderdale is,Algeria,248,-9.6875,0.0,1.0,0.25,0.2641509433962264,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.25,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:3,capital,Andorra,Andorra la Vella,raw_question,analysis,Andorra la Vella is the capital of And,ndorra la vella is the capital of and,And,1,1.0,0.0,0.0,0.36363636363636365,0.5660377358490566,official_language:3,Catalan,0.0,0.0,Kabul,capital:0,0.0,0.0,Algiers,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:3,capital,Andorra,Andorra la Vella,declarative,analysis,Andorra la Vella. It is the seat,ndorra la vella it is the seat,And,1,0.25,0.0,0.0,0.4,0.6521739130434783,official_language:3,Catalan,0.0,0.0,Kabul,capital:0,0.0,0.0,Algiers,0.0,0.0,0.0,0.0,0.4,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:3,capital,Andorra,Andorra la Vella,qa,analysis,Andorra la Vella,ndorra la vella,And,1,0.8125,0.0,0.0,0.6666666666666666,0.967741935483871,official_language:3,Catalan,0.0,0.0,Kabul,capital:0,0.0,0.0,Algiers,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:3,capital,Andorra,Andorra la Vella,chat_template,analysis,The capital of Andorra is Andorra la V,ndorra la v,The,1172,-8.1875,0.0,0.0,0.3333333333333333,0.8148148148148148,official_language:3,Catalan,0.0,0.0,Kabul,capital:0,0.0,0.0,Algiers,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:4,capital,Angola,Luanda,raw_question,analysis,"Angola is a country located in Central Africa, border",ngola is a country located in central africa border,Angola,82,-6.5625,0.0,0.0,0.0,0.07017543859649122,official_language:4,Portuguese,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:4,capital,Angola,Luanda,declarative,analysis,"the city of Luanda, which is located in",the city of luanda which is located in,the,6,-0.5625,0.0,1.0,0.2222222222222222,0.2727272727272727,official_language:4,Portuguese,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:4,capital,Angola,Luanda,qa,analysis,Luanda,luanda,Lu,1,1.375,1.0,1.0,1.0,1.0,official_language:4,Portuguese,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,1.0,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:4,capital,Angola,Luanda,chat_template,analysis,ratulations! The capital of Angola is Luanda.,ratulations! the capital of angola is luanda,ratulations,121190,-17.9765625,0.0,1.0,0.25,0.24,official_language:4,Portuguese,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.25,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:5,capital,Antigua and Barbuda,Saint John's,raw_question,analysis,Antigua and Barbuda is a country located in,ntigua and barbuda is a country located in,Ant,79,-7.0625,0.0,0.0,0.0,0.18518518518518517,official_language:5,English,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:5,capital,Antigua and Barbuda,Saint John's,declarative,analysis,"the capital city of the country, which is located",the capital city of the country which is located,the,19,-2.5625,0.0,0.0,0.0,0.23333333333333334,official_language:5,English,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:5,capital,Antigua and Barbuda,Saint John's,qa,analysis,St. John's,st john's,St,3,-0.5625,0.0,0.0,0.5,0.8571428571428571,official_language:5,English,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.5,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:5,capital,Antigua and Barbuda,Saint John's,chat_template,analysis,The capital of Antigua and Barbuda is Port,port,The,67110,-14.28125,0.0,0.0,0.0,0.125,official_language:5,English,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:6,capital,Argentina,Buenos Aires,raw_question,analysis,The capital of Argentina is Buenos Aires.,buenos aires,The,4,-1.0,1.0,1.0,1.0,1.0,official_language:6,Guaraní,0.0,0.0,Kabul,capital:0,0.0,0.0,Baku,0.0,0.0,0.0,0.0,1.0,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:6,capital,Argentina,Buenos Aires,declarative,analysis,Buenos Aires. It is the capital of the country,buenos aires it is the capital of the country,Buenos,1,0.375,0.0,1.0,0.3636363636363636,0.42105263157894735,official_language:6,Guaraní,0.0,0.0,Kabul,capital:0,0.0,0.0,Baku,0.0,0.0,0.0,0.0,0.3636363636363636,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:6,capital,Argentina,Buenos Aires,qa,analysis,Buenos Aires,buenos aires,Buenos,1,2.75,1.0,1.0,1.0,1.0,official_language:6,Guaraní,0.0,0.0,Kabul,capital:0,0.0,0.0,Baku,0.0,0.0,0.0,0.0,1.0,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:6,capital,Argentina,Buenos Aires,chat_template,analysis,"Argentina's capital is Buenos Aires. navigationOptions
 navigationOptions",rgentina's capital is buenos aires navigationoptions navigationoptions,Argentina,71,-6.0625,0.0,1.0,0.4444444444444445,0.2926829268292683,official_language:6,Guaraní,0.0,0.0,Kabul,capital:0,0.0,0.0,Baku,0.0,0.0,0.0,0.0,0.4444444444444445,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:7,capital,Armenia,Yerevan,raw_question,analysis,Armenia is a country in the Caucasus region of,rmenia is a country in the caucasus region of,Armenia,84,-6.6875,0.0,0.0,0.0,0.15384615384615385,official_language:7,Armenian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:7,capital,Armenia,Yerevan,declarative,analysis,"____
A. Tbilisi
B.",____ a tbilisi b,__,3,-0.4375,0.0,0.0,0.0,0.08695652173913043,official_language:7,Armenian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:7,capital,Armenia,Yerevan,qa,analysis,Yerevan,yerevan,Y,1,0.5625,1.0,1.0,1.0,1.0,official_language:7,Armenian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,1.0,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:7,capital,Armenia,Yerevan,chat_template,analysis,Armenia is a country located in the South Caucasus,rmenia is a country located in the south caucasus,Armenia,128745,-18.3125,0.0,0.0,0.0,0.10714285714285714,official_language:7,Armenian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:8,capital,Australia,Canberra,raw_question,analysis,Australia is a country located in the southern hemisphere of,ustralia is a country located in the southern hemisphere of,Australia,11,-3.75,0.0,0.0,0.0,0.05970149253731343,official_language:8,English,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
qwen2_5_0_5b_base,qwen,base,capital:8,capital,Australia,Canberra,declarative,analysis,"______.
A. Canberra
B. Sydney",______ a canberra b sydney,______,3,-1.1875,0.0,1.0,0.33333333333333337,0.47058823529411764,official_language:8,English,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.33333333333333337,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:8,capital,Australia,Canberra,qa,analysis,Canberra,canberra,Canberra,1,2.25,1.0,1.0,1.0,1.0,official_language:8,English,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,1.0,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:8,capital,Australia,Canberra,chat_template,analysis,The capital of Australia is Canberra. Lauderdale is the,canberra lauderdale is the,The,42,-4.3125,0.0,1.0,0.4,0.47058823529411764,official_language:8,English,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.4,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:9,capital,Austria,Vienna,raw_question,holdout,The capital of Austria is Vienna.,vienna,The,4,-2.4375,1.0,1.0,1.0,1.0,official_language:9,German,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,1.0,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:9,capital,Austria,Vienna,declarative,holdout,"____
A. Vienna
B. Budapest",____ a vienna b budapest,__,2,-0.375,0.0,1.0,0.33333333333333337,0.4,official_language:9,German,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.33333333333333337,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:9,capital,Austria,Vienna,qa,holdout,Vienna,vienna,Vienna,1,2.3125,1.0,1.0,1.0,1.0,official_language:9,German,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,1.0,1.0,none
qwen2_5_0_5b_base,qwen,base,capital:9,capital,Austria,Vienna,chat_template,holdout,"The capital of Austria is Vienna. navigationOptions
 navigationOptions",vienna navigationoptions navigationoptions,The,2003,-8.78125,0.0,1.0,0.5,0.25,official_language:9,German,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.5,1.0,none
