model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
qwen2_5_0_5b_instruct,capital,raw_question,invariant,capital:3,0.0,0.4,-0.4,0.0,0.0,0.0,1,1
qwen2_5_0_5b_instruct,capital,declarative,invariant,capital:3,0.0,0.0,0.0,0.0,0.0,0.0,7,8
qwen2_5_0_5b_instruct,capital,qa,invariant,capital:3,0.0,0.0,0.0,0.0,0.0,0.0,3,3
qwen2_5_0_5b_instruct,capital,chat_template,invariant,capital:3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,21,27
qwen2_5_0_5b_instruct,official_language,raw_question,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,32,34
qwen2_5_0_5b_instruct,official_language,declarative,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,20,20
qwen2_5_0_5b_instruct,official_language,qa,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,2,2
qwen2_5_0_5b_instruct,official_language,chat_template,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,56,74
qwen2_5_0_5b_instruct,currency,raw_question,invariant,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,2272,2304
qwen2_5_0_5b_instruct,currency,declarative,invariant,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,887,938
qwen2_5_0_5b_instruct,currency,qa,invariant,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,18,18
qwen2_5_0_5b_instruct,currency,chat_template,invariant,currency:3,1.0,1.0,0.0,1.0,1.0,0.0,56,44
qwen2_5_0_5b_instruct,headquarters,raw_question,invariant,headquarters:3,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,397,378
qwen2_5_0_5b_instruct,headquarters,declarative,invariant,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,2,2
qwen2_5_0_5b_instruct,headquarters,qa,invariant,headquarters:3,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,6,2
qwen2_5_0_5b_instruct,headquarters,chat_template,invariant,headquarters:3,1.0,1.0,0.0,1.0,1.0,0.0,76,71
qwen2_5_0_5b_instruct,birth_place,raw_question,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,246,247
qwen2_5_0_5b_instruct,birth_place,declarative,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,101,99
qwen2_5_0_5b_instruct,birth_place,qa,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,40,40
qwen2_5_0_5b_instruct,birth_place,chat_template,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,23919,26285
qwen2_5_0_5b_instruct,capital,raw_question,prompt_sensitive,capital:3,0.0,0.0,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_instruct,capital,declarative,prompt_sensitive,capital:3,0.0,0.0,0.0,0.0,0.0,0.0,7,9
qwen2_5_0_5b_instruct,capital,qa,prompt_sensitive,capital:3,0.0,0.0,0.0,0.0,0.0,0.0,3,3
qwen2_5_0_5b_instruct,capital,chat_template,prompt_sensitive,capital:3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,21,19
qwen2_5_0_5b_instruct,official_language,raw_question,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,32,18
qwen2_5_0_5b_instruct,official_language,declarative,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,20,17
qwen2_5_0_5b_instruct,official_language,qa,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,2,3
qwen2_5_0_5b_instruct,official_language,chat_template,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,56,108
qwen2_5_0_5b_instruct,currency,raw_question,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,2272,1578
qwen2_5_0_5b_instruct,currency,declarative,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,887,757
qwen2_5_0_5b_instruct,currency,qa,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,18,15
qwen2_5_0_5b_instruct,currency,chat_template,prompt_sensitive,currency:3,1.0,0.0,1.0,1.0,0.0,1.0,56,61
qwen2_5_0_5b_instruct,headquarters,raw_question,prompt_sensitive,headquarters:3,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,397,279
qwen2_5_0_5b_instruct,headquarters,declarative,prompt_sensitive,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,2,3
qwen2_5_0_5b_instruct,headquarters,qa,prompt_sensitive,headquarters:3,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,6,5
qwen2_5_0_5b_instruct,headquarters,chat_template,prompt_sensitive,headquarters:3,1.0,0.3333333333333333,0.6666666666666667,1.0,0.0,1.0,76,68
qwen2_5_0_5b_instruct,birth_place,raw_question,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,246,349
qwen2_5_0_5b_instruct,birth_place,declarative,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,101,187
qwen2_5_0_5b_instruct,birth_place,qa,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,40,67
qwen2_5_0_5b_instruct,birth_place,chat_template,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,23919,18212
