relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,target_selectivity,chat_template,declarative,0.08915343915343915,-0.0620601851851852,0.2527777777777777,0.453125,18
birth_place,target_selectivity,chat_template,qa,0.15458553791887128,-0.0039682539682539455,0.3489021164021162,0.1796875,18
birth_place,target_selectivity,chat_template,raw_question,0.13703703703703704,-0.05583333333333331,0.3409259259259258,0.21875,18
birth_place,target_selectivity,declarative,qa,0.0654320987654321,-0.04966159611992945,0.18237433862433863,1.0,18
birth_place,target_selectivity,declarative,raw_question,0.047883597883597896,-0.13061507936507938,0.2254199735449735,0.7265625,18
birth_place,target_selectivity,qa,raw_question,-0.017548500881834215,-0.22408068783068782,0.1821538800705467,0.34375,18
capital,target_selectivity,chat_template,declarative,-0.16164021164021164,-0.3428604497354497,0.01023699294532628,0.143463134765625,18
capital,target_selectivity,chat_template,qa,-0.15961199294532627,-0.3412268518518518,0.00358575837742504,0.210113525390625,18
capital,target_selectivity,chat_template,raw_question,-0.0753968253968254,-0.26911375661375664,0.12077380952380938,0.34375,18
capital,target_selectivity,declarative,qa,0.0020282186948853715,-0.0217956349206349,0.022708333333333337,0.3876953125,18
capital,target_selectivity,declarative,raw_question,0.08624338624338625,-0.08460207231040565,0.2582120811287478,0.629058837890625,18
capital,target_selectivity,qa,raw_question,0.08421516754850086,-0.07412037037037039,0.2521351410934744,0.803619384765625,18
currency,target_selectivity,chat_template,declarative,-0.003880070546737212,-0.13713403880070543,0.13669532627865952,0.79052734375,18
currency,target_selectivity,chat_template,qa,0.007671957671957691,-0.07108245149911815,0.09481922398589064,0.2890625,18
currency,target_selectivity,chat_template,raw_question,-0.17513227513227514,-0.3197156084656084,-0.03146164021164022,0.0224609375,18
currency,target_selectivity,declarative,qa,0.011552028218694903,-0.09975088183421517,0.11587962962962965,1.0,18
currency,target_selectivity,declarative,raw_question,-0.17125220458553791,-0.2938425925925926,-0.031719576719576745,0.076812744140625,18
currency,target_selectivity,qa,raw_question,-0.1828042328042328,-0.29207010582010584,-0.08190696649029983,0.001953125,18
headquarters,target_selectivity,chat_template,declarative,0.024999999999999998,-0.06245480599647264,0.11138227513227508,0.3017578125,18
headquarters,target_selectivity,chat_template,qa,0.127689594356261,-0.07970458553791887,0.32205798059964713,0.34375,18
headquarters,target_selectivity,chat_template,raw_question,0.021119929453262805,-0.08307098765432099,0.14326609347442676,1.0,18
headquarters,target_selectivity,declarative,qa,0.10268959435626102,-0.05482804232804233,0.2554100529100529,1.0,18
headquarters,target_selectivity,declarative,raw_question,-0.0038800705467372026,-0.08857804232804231,0.09861111111111108,0.548828125,18
headquarters,target_selectivity,qa,raw_question,-0.10656966490299821,-0.26913139329805996,0.0871869488536155,0.11846923828125,18
official_language,target_selectivity,chat_template,declarative,0.040079365079365076,-0.024632936507936513,0.10999999999999993,1.0,18
official_language,target_selectivity,chat_template,qa,0.04206349206349206,-0.014285714285714294,0.10042658730158727,0.2890625,18
official_language,target_selectivity,chat_template,raw_question,-0.006790123456790124,-0.08951388888888889,0.06944444444444445,1.0,18
official_language,target_selectivity,declarative,qa,0.001984126984126983,-0.041666666666666664,0.04088293650793651,0.6875,18
official_language,target_selectivity,declarative,raw_question,-0.0468694885361552,-0.13826168430335095,0.036130952380952375,1.0,18
official_language,target_selectivity,qa,raw_question,-0.04885361552028218,-0.1202821869488536,0.024589947089947065,0.2890625,18
