relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,target_selectivity,chat_template,declarative,0.06249999999999999,-0.06666666666666667,0.22083333333333333,1.0,12
birth_place,target_selectivity,chat_template,qa,0.05555555555555555,-0.04218749999999997,0.1875,1.0,12
birth_place,target_selectivity,chat_template,raw_question,0.041666666666666664,-0.1111111111111111,0.2222222222222222,1.0,12
birth_place,target_selectivity,declarative,qa,-0.006944444444444438,-0.0876736111111111,0.06395833333333328,1.0,12
birth_place,target_selectivity,declarative,raw_question,-0.020833333333333325,-0.20972222222222223,0.17364583333333333,1.0,12
birth_place,target_selectivity,qa,raw_question,-0.013888888888888886,-0.18055555555555555,0.16666666666666666,1.0,12
capital,target_selectivity,chat_template,declarative,-0.1261784511784512,-0.2713425925925926,0.008110269360269323,0.2890625,12
capital,target_selectivity,chat_template,qa,-0.27592592592592596,-0.46115740740740746,-0.10736111111111116,0.03125,12
capital,target_selectivity,chat_template,raw_question,-0.16481481481481483,-0.3685648148148148,0.02226851851851847,0.375,12
capital,target_selectivity,declarative,qa,-0.1497474747474747,-0.21340698653198653,-0.08228535353535363,0.0078125,12
capital,target_selectivity,declarative,raw_question,-0.03863636363636363,-0.171300505050505,0.10752314814814805,0.2890625,12
capital,target_selectivity,qa,raw_question,0.1111111111111111,0.0,0.2222222222222222,0.5,12
currency,target_selectivity,chat_template,declarative,0.10835137085137087,-0.044667207792207786,0.22397862554112535,0.109375,12
currency,target_selectivity,chat_template,qa,0.05033670033670034,-0.08022727272727274,0.15847853535353532,0.453125,12
currency,target_selectivity,chat_template,raw_question,0.11388888888888889,-0.18916666666666665,0.3722916666666666,1.0,12
currency,target_selectivity,declarative,qa,-0.05801467051467052,-0.12746888528138528,0.01390722703222702,0.0703125,12
currency,target_selectivity,declarative,raw_question,0.005537518037518031,-0.15694399350649352,0.1760840548340547,0.75390625,12
currency,target_selectivity,qa,raw_question,0.06355218855218857,-0.1259111952861953,0.24823232323232317,1.0,12
headquarters,target_selectivity,chat_template,declarative,-0.01739417989417989,-0.150801917989418,0.10595238095238096,1.0,12
headquarters,target_selectivity,chat_template,qa,-0.003096440596440588,-0.16074735449735447,0.15239072270322263,1.0,12
headquarters,target_selectivity,chat_template,raw_question,-0.10455747955747956,-0.26388888888888884,0.03664622414622414,1.0,12
headquarters,target_selectivity,declarative,qa,0.014297739297739295,-0.03451809764309764,0.06193542568542568,0.375,12
headquarters,target_selectivity,declarative,raw_question,-0.08716329966329968,-0.16820180976430976,-0.023762626262626357,0.21875,12
headquarters,target_selectivity,qa,raw_question,-0.10146103896103897,-0.18479963323713325,-0.031415343915343924,0.0625,12
official_language,target_selectivity,chat_template,declarative,0.01401515151515151,-0.03446969696969698,0.0643981481481481,1.0,12
official_language,target_selectivity,chat_template,qa,0.03472222222222222,-0.05792824074074074,0.1273726851851851,0.6875,12
official_language,target_selectivity,chat_template,raw_question,-0.016666666666666666,-0.08708333333333332,0.03888888888888888,1.0,12
official_language,target_selectivity,declarative,qa,0.020707070707070705,-0.06670454545454545,0.11486111111111107,0.7265625,12
official_language,target_selectivity,declarative,raw_question,-0.03068181818181818,-0.07920454545454543,0.0068181818181818205,0.625,12
official_language,target_selectivity,qa,raw_question,-0.05138888888888888,-0.14444444444444446,0.037094907407407354,0.453125,12
