relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.0,0.0,0.0,4
birth_place,chat_template,contains_expected,0.75,0.25,1.0,4
birth_place,chat_template,answer_f1,0.5666666666666667,0.1825,0.8,4
birth_place,chat_template,answer_similarity,0.6208791208791209,0.33081043956043954,0.8673076923076923,4
birth_place,declarative,full_exact_match,0.0,0.0,0.0,4
birth_place,declarative,contains_expected,0.5,0.0,1.0,4
birth_place,declarative,answer_f1,0.30952380952380953,0.0,0.6315476190476188,4
birth_place,declarative,answer_similarity,0.47724487952895284,0.17237096774193547,0.7808020716685331,4
birth_place,qa,full_exact_match,0.25,0.0,0.75,4
birth_place,qa,contains_expected,0.5,0.0,1.0,4
birth_place,qa,answer_f1,0.45,0.0,0.9262499999999996,4
birth_place,qa,answer_similarity,0.6415436415436415,0.308733164983165,0.9716346153846154,4
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,4
birth_place,raw_question,contains_expected,0.5,0.0,1.0,4
birth_place,raw_question,answer_f1,0.4,0.0,0.8,4
birth_place,raw_question,answer_similarity,0.5551897714688412,0.21995670995671,0.8825845665961943,4
capital,chat_template,full_exact_match,0.0,0.0,0.0,4
capital,chat_template,contains_expected,0.5,0.0,1.0,4
capital,chat_template,answer_f1,0.2013888888888889,0.07239583333333333,0.3125,4
capital,chat_template,answer_similarity,0.3440421388534596,0.15857715397809738,0.6771488469601676,4
capital,declarative,full_exact_match,0.0,0.0,0.0,4
capital,declarative,contains_expected,0.25,0.0,0.75,4
capital,declarative,answer_f1,0.15555555555555556,0.0,0.33444444444444404,4
capital,declarative,answer_similarity,0.3199275362318841,0.18043478260869564,0.5551086956521739,4
capital,qa,full_exact_match,0.5,0.0,0.75,4
capital,qa,contains_expected,0.5,0.0,0.75,4
capital,qa,answer_f1,0.6666666666666666,0.25,0.9166666666666666,4
capital,qa,answer_similarity,0.9727047146401986,0.9423076923076923,0.9919354838709677,4
capital,raw_question,full_exact_match,0.25,0.0,0.75,4
capital,raw_question,contains_expected,0.25,0.0,0.75,4
capital,raw_question,answer_f1,0.34090909090909094,0.0,0.797727272727272,4
capital,raw_question,answer_similarity,0.46721749496444276,0.14255174291938996,0.8462831935709286,4
currency,chat_template,full_exact_match,0.0,0.0,0.0,4
currency,chat_template,contains_expected,0.5,0.0,1.0,4
currency,chat_template,answer_f1,0.3055555555555556,0.08194444444444446,0.5,4
currency,chat_template,answer_similarity,0.4271939428153737,0.30350224835696993,0.5186753946861763,4
currency,declarative,full_exact_match,0.0,0.0,0.0,4
currency,declarative,contains_expected,0.5,0.0,1.0,4
currency,declarative,answer_f1,0.33333333333333337,0.08194444444444446,0.611111111111111,4
currency,declarative,answer_similarity,0.44193646450828394,0.2391672366621067,0.7009803921568627,4
currency,qa,full_exact_match,0.0,0.0,0.0,4
currency,qa,contains_expected,0.5,0.0,1.0,4
currency,qa,answer_f1,0.5,0.14750000000000002,0.8,4
currency,qa,answer_similarity,0.6196210801393729,0.29029181184668984,0.8705357142857143,4
currency,raw_question,full_exact_match,0.0,0.0,0.0,4
currency,raw_question,contains_expected,0.0,0.0,0.0,4
currency,raw_question,answer_f1,0.1,0.0,0.30000000000000004,4
currency,raw_question,answer_similarity,0.3198194662480377,0.11017955259026688,0.46923076923076923,4
headquarters,chat_template,full_exact_match,0.0,0.0,0.0,4
headquarters,chat_template,contains_expected,0.75,0.25,1.0,4
headquarters,chat_template,answer_f1,0.4292929292929293,0.3636363636363636,0.5106060606060604,4
headquarters,chat_template,answer_similarity,0.4923387096774194,0.4395161290322581,0.5375000000000001,4
headquarters,declarative,full_exact_match,0.0,0.0,0.0,4
headquarters,declarative,contains_expected,0.5,0.0,0.75,4
headquarters,declarative,answer_f1,0.28253968253968254,0.085,0.4333333333333333,4
headquarters,declarative,answer_similarity,0.42803804382751753,0.2906593406593406,0.5213394062078271,4
headquarters,qa,full_exact_match,0.25,0.0,0.75,4
headquarters,qa,contains_expected,1.0,1.0,1.0,4
headquarters,qa,answer_f1,0.49646464646464644,0.26666666666666666,0.8055555555555556,4
headquarters,qa,answer_similarity,0.5371712158808933,0.2974193548387097,0.81,4
headquarters,raw_question,full_exact_match,0.0,0.0,0.0,4
headquarters,raw_question,contains_expected,0.75,0.25,1.0,4
headquarters,raw_question,answer_f1,0.4113636363636364,0.15,0.575,4
headquarters,raw_question,answer_similarity,0.4910098861711765,0.3330815018315018,0.5772465437788018,4
official_language,chat_template,full_exact_match,0.0,0.0,0.0,4
official_language,chat_template,contains_expected,0.0,0.0,0.0,4
official_language,chat_template,answer_f1,0.0,0.0,0.0,4
official_language,chat_template,answer_similarity,0.1701058201058201,0.11591931216931216,0.23333333333333334,4
official_language,declarative,full_exact_match,0.0,0.0,0.0,4
official_language,declarative,contains_expected,0.75,0.25,1.0,4
official_language,declarative,answer_f1,0.2666666666666667,0.08333333333333334,0.3666666666666667,4
official_language,declarative,answer_similarity,0.4290322580645161,0.2571428571428571,0.5191532258064516,4
official_language,qa,full_exact_match,0.25,0.0,0.75,4
official_language,qa,contains_expected,0.5,0.0,1.0,4
official_language,qa,answer_f1,0.3125,0.0,0.7828124999999995,4
official_language,qa,answer_similarity,0.6243589743589744,0.29423076923076924,0.9754166666666666,4
official_language,raw_question,full_exact_match,0.0,0.0,0.0,4
official_language,raw_question,contains_expected,0.0,0.0,0.0,4
official_language,raw_question,answer_f1,0.0,0.0,0.0,4
official_language,raw_question,answer_similarity,0.19531795946890285,0.16666666666666666,0.2361111111111111,4
