relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,-0.21772486772486774,-0.4095469576719577,-0.053657407407407466,0.0703125,18
birth_place,answer_f1,chat_template,qa,-0.3306878306878307,-0.5555555555555556,-0.14808201058201062,0.015625,18
birth_place,answer_f1,chat_template,raw_question,-0.3306878306878307,-0.5555555555555556,-0.14808201058201062,0.015625,18
birth_place,answer_f1,declarative,qa,-0.11296296296296296,-0.2271296296296296,-0.011111111111111112,0.125,18
birth_place,answer_f1,declarative,raw_question,-0.11296296296296296,-0.2271296296296296,-0.011111111111111112,0.125,18
birth_place,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,18
capital,answer_f1,chat_template,declarative,-0.3217813051146384,-0.5099503968253969,-0.11817901234567903,0.049041748046875,18
capital,answer_f1,chat_template,qa,-0.6037037037037037,-0.7925925925925925,-0.41472222222222227,0.000244140625,18
capital,answer_f1,chat_template,raw_question,-0.6037037037037037,-0.7925925925925925,-0.41472222222222227,0.000244140625,18
capital,answer_f1,declarative,qa,-0.2819223985890653,-0.35601190476190475,-0.20690696649029983,3.0517578125e-05,18
capital,answer_f1,declarative,raw_question,-0.2819223985890653,-0.35601190476190475,-0.20690696649029983,3.0517578125e-05,18
capital,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,18
currency,answer_f1,chat_template,declarative,0.0658690075356742,-0.05085487814654481,0.17899230399230395,1.0,18
currency,answer_f1,chat_template,qa,-0.21525974025974026,-0.34030814093314093,-0.11290704665704668,0.001953125,18
currency,answer_f1,chat_template,raw_question,-0.21525974025974026,-0.34030814093314093,-0.11290704665704668,0.001953125,18
currency,answer_f1,declarative,qa,-0.2811287477954145,-0.3542835097001764,-0.2141743827160494,3.0517578125e-05,18
currency,answer_f1,declarative,raw_question,-0.2811287477954145,-0.3542835097001764,-0.2141743827160494,3.0517578125e-05,18
currency,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,18
headquarters,answer_f1,chat_template,declarative,0.12499599166265833,0.026832010582010585,0.22313221500721495,0.00738525390625,18
headquarters,answer_f1,chat_template,qa,-0.3415023248356582,-0.43373496873496864,-0.22481802148468816,0.0001220703125,18
headquarters,answer_f1,chat_template,raw_question,-0.3415023248356582,-0.43373496873496864,-0.22481802148468816,0.0001220703125,18
headquarters,answer_f1,declarative,qa,-0.46649831649831647,-0.5825565175565176,-0.3098998917748918,0.0001220703125,18
headquarters,answer_f1,declarative,raw_question,-0.46649831649831647,-0.5825565175565176,-0.3098998917748918,0.0001220703125,18
headquarters,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,18
official_language,answer_f1,chat_template,declarative,-0.018386243386243395,-0.07903218694885362,0.03981701940035272,0.2265625,18
official_language,answer_f1,chat_template,qa,-0.1712962962962963,-0.2268518518518519,-0.1111111111111111,0.00048828125,18
official_language,answer_f1,chat_template,raw_question,-0.15895061728395063,-0.21450617283950618,-0.09876543209876543,0.00048828125,18
official_language,answer_f1,declarative,qa,-0.15291005291005294,-0.20260141093474424,-0.09969135802469135,0.00048828125,18
official_language,answer_f1,declarative,raw_question,-0.14056437389770726,-0.18897707231040564,-0.09125661375661379,0.00048828125,18
official_language,answer_f1,qa,raw_question,0.012345679012345678,0.0,0.037037037037037035,1.0,18
