relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,-0.11488095238095238,-0.23398313492063488,-0.029131944444444488,0.0625,12
birth_place,answer_f1,chat_template,qa,-0.06666666666666667,-0.19472222222222219,0.033333333333333326,1.0,12
birth_place,answer_f1,chat_template,raw_question,-0.13888888888888887,-0.2784722222222221,0.0,0.25,12
birth_place,answer_f1,declarative,qa,0.04821428571428571,-0.041666666666666664,0.1261904761904762,0.625,12
birth_place,answer_f1,declarative,raw_question,-0.024007936507936506,-0.10833333333333334,0.05717757936507933,1.0,12
birth_place,answer_f1,qa,raw_question,-0.07222222222222222,-0.18333333333333332,0.0,0.5,12
capital,answer_f1,chat_template,declarative,-0.06691919191919192,-0.16738846801346802,0.03680134680134678,0.34375,12
capital,answer_f1,chat_template,qa,0.6055555555555555,0.41553240740740743,0.770949074074074,0.00634765625,12
capital,answer_f1,chat_template,raw_question,0.05946969696969698,-0.13523463804713803,0.2829387626262625,1.0,12
capital,answer_f1,declarative,qa,0.6724747474747476,0.5054629629629629,0.8370370370370369,0.0009765625,12
capital,answer_f1,declarative,raw_question,0.1263888888888889,-0.06957386363636361,0.3528956228956228,1.0,12
capital,answer_f1,qa,raw_question,-0.5460858585858586,-0.7708333333333334,-0.29608585858585856,0.0078125,12
currency,answer_f1,chat_template,declarative,0.13427729677729677,0.01084701178451178,0.24671837421837425,0.1796875,12
currency,answer_f1,chat_template,qa,0.24537037037037038,0.12756944444444449,0.35659722222222207,0.00390625,12
currency,answer_f1,chat_template,raw_question,-0.010185185185185177,-0.20462962962962963,0.17513888888888873,1.0,12
currency,answer_f1,declarative,qa,0.11109307359307362,0.028414802789802796,0.19655708874458874,0.109375,12
currency,answer_f1,declarative,raw_question,-0.144462481962482,-0.29235464766714764,0.0056944444444444325,0.34375,12
currency,answer_f1,qa,raw_question,-0.2555555555555556,-0.44444444444444436,-0.0777777777777778,0.125,12
headquarters,answer_f1,chat_template,declarative,-0.11513347763347766,-0.24707145863395857,0.013593975468975426,1.0,12
headquarters,answer_f1,chat_template,qa,0.04322390572390573,-0.051492003367003374,0.163415404040404,0.6875,12
headquarters,answer_f1,chat_template,raw_question,-0.030651755651755652,-0.13284015752765752,0.06949044011544005,0.7265625,12
headquarters,answer_f1,declarative,qa,0.15835738335738336,0.006808261183261186,0.3275769600769601,0.5078125,12
headquarters,answer_f1,declarative,raw_question,0.08448172198172198,-0.06532377344877346,0.24900372775372775,0.2890625,12
headquarters,answer_f1,qa,raw_question,-0.07387566137566137,-0.2674484427609427,0.10014249639249628,1.0,12
official_language,answer_f1,chat_template,declarative,0.2611111111111111,0.15527777777777782,0.3444444444444445,0.01171875,12
official_language,answer_f1,chat_template,qa,0.5875,0.31583333333333335,0.8541666666666666,0.0390625,12
official_language,answer_f1,chat_template,raw_question,0.03888888888888889,-0.03148148148148148,0.11111111111111112,0.625,12
official_language,answer_f1,declarative,qa,0.32638888888888884,0.05968749999999996,0.6056597222222222,0.548828125,12
official_language,answer_f1,declarative,raw_question,-0.22222222222222224,-0.29629629629629634,-0.14810185185185187,0.001953125,12
official_language,answer_f1,qa,raw_question,-0.548611111111111,-0.798611111111111,-0.2985532407407408,0.0078125,12
