prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1,model_name,model_family,model_variant
chat_template,0.1236111111111111,0.1160714285714285,0.0027777777777777,0.0,0.0047619047619047,0.0075396825396825,gemma_270m_base,gemma,base
declarative,0.155508658008658,0.1243302068302068,0.0058080808080808,0.01,0.0187037037037037,0.0311784511784511,gemma_270m_base,gemma,base
qa,0.1084295334295334,0.0883898508898508,0.0,0.0089285714285714,0.0158730158730158,0.0200396825396825,gemma_270m_base,gemma,base
raw_question,0.1085858585858585,0.0899747474747474,0.0033333333333333,0.0111111111111111,0.0041666666666666,0.0186111111111111,gemma_270m_base,gemma,base
chat_template,0.2522222222222222,0.1955555555555555,0.0066666666666666,0.0166666666666666,0.05,0.0566666666666666,gemma_270m_it,gemma,instruct
declarative,0.1794215969215969,0.1715512265512265,0.0,0.0041666666666666,0.0078703703703703,0.0078703703703703,gemma_270m_it,gemma,instruct
qa,0.1868434343434343,0.1798063973063973,0.0,0.0037037037037037,0.007037037037037,0.007037037037037,gemma_270m_it,gemma,instruct
raw_question,0.2766137566137566,0.2446693121693121,0.0,0.0152777777777777,0.0208333333333333,0.0319444444444444,gemma_270m_it,gemma,instruct
chat_template,0.1942171717171717,0.1791498316498316,0.003030303030303,0.012037037037037,0.0037037037037037,0.01506734006734,qwen2_5_0_5b_base,qwen,base
declarative,0.2139081289081289,0.1847017797017797,0.0,0.0066666666666666,0.0225396825396825,0.0292063492063492,qwen2_5_0_5b_base,qwen,base
qa,0.4772138047138047,0.393510101010101,0.0,0.012037037037037,0.0753703703703703,0.0837037037037037,qwen2_5_0_5b_base,qwen,base
raw_question,0.1779437229437229,0.1368326118326118,0.0,0.012037037037037,0.0327777777777777,0.0411111111111111,qwen2_5_0_5b_base,qwen,base
chat_template,0.4047089947089947,0.3297089947089947,0.0,0.0083333333333333,0.075,0.075,qwen2_5_0_5b_instruct,qwen,instruct
declarative,0.1643049543049543,0.1528763828763829,0.0,0.0,0.0114285714285714,0.0114285714285714,qwen2_5_0_5b_instruct,qwen,instruct
qa,0.1853258778258778,0.1662518037518037,0.0,0.0078703703703703,0.0149074074074074,0.019074074074074,qwen2_5_0_5b_instruct,qwen,instruct
raw_question,0.2028932178932178,0.1754858104858105,0.0,0.0074074074074074,0.0237037037037037,0.0274074074074074,qwen2_5_0_5b_instruct,qwen,instruct
chat_template,0.2426587301587301,0.2101587301587301,0.0,0.0041666666666666,0.0325,0.0325,smollm2_360m_base,smollm2,base
declarative,0.277936507936508,0.2534126984126984,0.0,0.0114285714285714,0.0178571428571428,0.0245238095238095,smollm2_360m_base,smollm2,base
qa,0.3332804232804233,0.2918915343915343,0.0033333333333333,0.0152777777777777,0.0269444444444444,0.0413888888888888,smollm2_360m_base,smollm2,base
raw_question,0.243968253968254,0.2115608465608465,0.0037037037037037,0.0166666666666666,0.012037037037037,0.0324074074074074,smollm2_360m_base,smollm2,base
chat_template,0.3072498797498798,0.2739165464165464,0.0,0.0152777777777777,0.0222222222222222,0.0333333333333333,smollm2_360m_instruct,smollm2,instruct
declarative,0.2366558441558441,0.2086002886002886,0.0,0.0122222222222222,0.0213888888888888,0.0280555555555555,smollm2_360m_instruct,smollm2,instruct
qa,0.0,0.0,0.0,0.0,0.0,0.0,smollm2_360m_instruct,smollm2,instruct
raw_question,0.0037037037037037,0.0,0.0,0.0,0.0037037037037037,0.0037037037037037,smollm2_360m_instruct,smollm2,instruct
