model_name,model_family,model_variant,fact_id,relation,subject,expected_answer,prompt_family,split,generated_text,normalized_generated_text,top_prediction,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,same_subject_control_fact_id,same_subject_control_answer,same_subject_control_f1,same_subject_control_contains,same_relation_control_answer,same_relation_control_fact_id,same_relation_control_f1,same_relation_control_contains,lexical_distractor,lexical_distractor_f1,lexical_distractor_contains,max_control_f1,max_control_contains,target_selectivity,target_contains_selectivity,dominant_control
gemma_270m_base,gemma,base,capital:0,capital,Afghanistan,Kabul,raw_question,analysis,"What is the capital of Afghanistan?

What",what is the capital of afghanistan? what,"

",9,-3.6875,0.0,0.0,0.0,0.08888888888888889,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,capital:0,capital,Afghanistan,Kabul,declarative,analysis,"Kabul, the capital of the country. The capital",kabul the capital of the country the capital,Kabul,1,1.25,0.0,1.0,0.2222222222222222,0.20408163265306123,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,none
gemma_270m_base,gemma,base,capital:0,capital,Afghanistan,Kabul,qa,analysis,Afghanistan is a country in Central Asia. It is,fghanistan is a country in central asia it is,Afghanistan,3,-1.375,0.0,0.0,0.0,0.12,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,capital:0,capital,Afghanistan,Kabul,chat_template,analysis,"The capital of Afghanistan is Kabul.
User:",kabul user,The,3,-0.5625,0.0,1.0,0.6666666666666666,0.6666666666666666,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,none
gemma_270m_base,gemma,base,capital:1,capital,Albania,Tirana,raw_question,analysis,Albania is a country in the Balkans.,lbania is a country in the balkans,"

",51,-6.4375,0.0,0.0,0.0,0.15,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,capital:1,capital,Albania,Tirana,declarative,analysis,"Tirana, which is located in the north of",tirana which is located in the north of,Tir,1,0.25,0.0,1.0,0.2222222222222222,0.26666666666666666,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,none
gemma_270m_base,gemma,base,capital:1,capital,Albania,Tirana,qa,analysis,Albania is a country in the Balkans. It is,lbania is a country in the balkans it is,Albania,8,-3.75,0.0,0.0,0.0,0.13043478260869565,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,capital:1,capital,Albania,Tirana,chat_template,analysis,"Albania is the capital of Albania.
User:",lbania is the capital of albania user,Albania,64,-4.25,0.0,0.0,0.0,0.13953488372093023,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,capital:2,capital,Algeria,Algiers,raw_question,analysis,Algeria is a country in North Africa.,lgeria is a country in north africa,"

",28,-5.75,0.0,0.0,0.0,0.23809523809523808,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,capital:2,capital,Algeria,Algiers,declarative,analysis,the capital of the country of Algeria. It is,the capital of the country of algeria it is,the,3,-1.25,0.0,0.0,0.0,0.24,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
